Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
PWD,EE Dehra letter No.3182-86 dated 22.07.2021,2021_PWD_50682_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,500.0,Nil,Nil,No,1.0,ICICI BANK,Executive Engineer,Dehra Division HPPWD Dehra,Repair of temple complex,P/L white and yellow marble flooring I/c dismantling at Hawan hall front yard) Deposit work,Please refer to tender document ,NA ,,Civil Works - Buildings,Repair work ,Tender,75.0,60.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,1.0,Fee/PreQual/Technical,.pdf,Copy of receipt of online payment on account of cost of tender form and earnest money,"20,400",No,fixed,,Nil,Nil,02-Aug-2021 06:00 PM,10-Aug-2021 11:30 AM,02-Aug-2021 06:00 PM,09-Aug-2021 06:00 PM,02-Aug-2021 06:00 PM ,06-Aug-2021 04:00 PM ,02-Aug-2021 06:00 PM,09-Aug-2021 06:00 PM,28-Aug-2021 10:30 AM,AOC,1.0,228560.0,nekmohammad,09-Aug-2021 02:06 PM,Rejected-AOC,Rejected being highest bid amount,13-Oct-2021 03:22 PM,Technical,opening summary,Dinesh Kumar Dhiman,27-Aug-2021 12:55 PM,technical_75781.pdf,Finance,Financial bid opening summary,Dinesh Kumar Dhiman,01-Oct-2021 01:02 PM,finance_75781.pdf,BOQ Comparative Chart,1.0,228233.0,SUBHAM Sharma,INR,"1,658,232",PWD,2021_PWD_50682_7,EE Dehra letter No.3182-86 dated 22.07.2021,Repair of temple complex,EE Dehra,Internal,AE to EE Dehra DAO Dehra Superintendent Dehra HDM Dehra,Dinesh Kumar Dhiman,27-Aug-2021 03:40 PM,28-Aug-2021 10:30 AM,techsummary_75781.pdf (328.15 KB),EE Dehra,Internal,AE to EE Dehra DAO Dehra DHD Dehra Superintendent Dehra,Dinesh Kumar Dhiman,04-Oct-2021 01:03 PM,finsummary_75781.pdf (141.89 KB),13-Oct-2021,"INR 1,658,232",60.0,Dinesh Kumar Dhiman,13-Oct-2021 03:22 PM,Award-50682-7.pdf (655.00 KB),Award of work issued,AOC
,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of valid enlistment in appropriate class as per enlistment rules 2021,,,,,,,,,,,,,,,,AOC,2.0,228233.0,SUBHAM Sharma,09-Aug-2021 03:48 PM,Accepted-AOC,work awarded being lowest bid amount,13-Oct-2021 03:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff showing the name of bid regarding correctness of documents/information furnished with the bid,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. showing the detail of near relatives who are working in HPPWD as Gazetted/non Gazetted officer,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit with the declaration that he has not more than two works in hand,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
