Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Er.Rahul Dhiman EE,JSV Division Nagrota Bagwan,400.0,Nil,Nil,No,source level Aug Imp of distribution system of LWSS Gheena Morth Jassai,Source Level Aug Imp of distribution of LWSS Gheena Morth Jassai in Tehsil Baroh SH_RCC collection Storage tank 60000 ltrs capacity,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,120.0,Nagrota Bagwan,176047.0,NA ,NA ,NA ,Nagrota Bagwan,No ,No,"25,885",Yes,fixed,,Nil,Nil,"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Nagrota Bagwan",NGB-KNG01-773,2021_HPIPH_47960_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,31-May-2021 06:00 PM,07-Jun-2021 11:30 AM,31-May-2021 06:00 PM,07-Jun-2021 11:00 AM,NA ,NA ,31-May-2021 06:00 PM,07-Jun-2021 11:00 AM,17-Jun-2021 04:50 PM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Scanned copy of Cost of Form (online mode),AOC,12-Oct-2021,"INR 1,294,056",120.0,Rahul Dhiman,12-Oct-2021 03:30 PM,Award.pdf (789.00 KB),Award Letter,Technical,Technical bid opened on dated 07.06.2021,Rahul Dhiman,17-Jun-2021 04:41 PM,technical_71895.pdf,Finance,financial bid opened on dated 18.06.2021,Rahul Dhiman,12-Oct-2021 03:21 PM,finance_71895.pdf,BOQ Comparative Chart,1.0,215260.0,JEEVAN KUMAR,07-Jun-2021 10:28 AM,Accepted-AOC,Award Letter,12-Oct-2021 03:30 PM,Er.Rahul Dhiman EE,Internal,Sh S.P Verma Sr.DAO Smt Anita Rana Supdt. Smt.Kanchan Bala HDM,Rahul Dhiman,17-Jun-2021 04:43 PM,17-Jun-2021 04:50 PM,techsummary_71895.pdf (259.02 KB),Er.Rahul Dhiman EE,Internal,Sh S.P.Verma Sr.DAO Smt.Anita Rana Supdt.Gr-II,Rahul Dhiman,12-Oct-2021 03:24 PM,finsummary_71895.pdf (258.83 KB),"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Nagrota Bagwan",2021_HPIPH_47960_1,NGB-KNG01-773,source level Aug Imp of distribution system of LWSS Gheena Morth Jassai,1.0,215260.0,JEEVAN KUMAR,INR,"1,097,655",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Scanned copy of EMD (online mode),AOC,,,,,,,,,,,,,,,,,,,2.0,215222.0,KULBINDER SINGH GOVT CONTRACTOR,06-Jun-2021 06:41 PM,Rejected-Finance,Reject,12-Oct-2021 03:24 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Enlistment with IPH Deptt./JSV,AOC,,,,,,,,,,,,,,,,,,,3.0,215267.0,Sahil Sharma,07-Jun-2021 09:59 AM,Rejected-Finance,Reject,12-Oct-2021 03:24 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Income Tax/GST/EPF ESIC/Clearance certificate etc.,AOC,,,,,,,,,,,,,,,,,,,4.0,214804.0,Sanjeev kumar Dhiman,04-Jun-2021 02:24 PM,Rejected-Technical,Reject,17-Jun-2021 04:43 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Undertaking Contractor/firm should not have blacklist from any Govt. Agency.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DSC authorization( undertaking etc.),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form6,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Termsandconditions,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
