Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Stage
Sh Manish Sehgal,Internal,,Manish Sehgal,28-Oct-2021 12:40 PM,finsummary_50876.pdf (472.34 KB),28-Oct-2021,"INR 1,399,831",90.0,Manish Sehgal,28-Oct-2021 12:42 PM,AOC.pdf (1086.00 KB),PWD,2020_PWD_34718_1,Rud Panyali Lahar Machlaina Parmar Nagar,Providing and laying Annual Surfacing (Periodic Manitenance) on Rud Panyali Lahar Machlaina Parmar Nagar (Rakh) road Km 0/0to 1/0 (during the year 2020-21) of Rural roads in the state of HP,Sh Manish Sehgal,Internal,Bhumi Dev Rana AE to EE Harjeet Singh Supdt Pawan Kumar Gupta HDM Rajesh Sood Sr DAO Manjeet Kumar TA,Manish Sehgal,03-Mar-2020 02:23 PM,03-Mar-2020 02:25 PM,techsummary_50876.pdf (849.63 KB),Technical,Bid opening summary,Manish Sehgal,03-Mar-2020 02:21 PM,technical_50876.pdf,1.0,149354.0,M/s Kamala Enterprises,14-Feb-2020 12:24 PM,Accepted-AOC,Bidder Rank-L1,28-Oct-2021 12:42 PM,Finance,2020_PWD_34718_1,Manish Sehgal,28-Oct-2021 12:37 PM,finance_50876.pdf,BOQ Comparative Chart,1.0,149354.0,M/s Kamala Enterprises,INR,"1,272,304",AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form.In shape of demand draft as per SBD.,350.0,EE Bhawarna,Bhawarna,No,Providing and laying Annual Surfacing (Periodic Manitenance) on Rud Panyali Lahar Machlaina Parmar Nagar (Rakh) road Km 0/0to 1/0 (during the year 2020-21) of Rural roads in the state of HP,"Providing and laying Tack coat, Bituminous Concrete, Thermoplastic Paint and C/o V-shape drain in between Km 0/0 to 1/0",Please refer Tender documents. ,NA ,"9,48,482",Civil Works - Roads,NA ,Tender,120.0,90.0,Bhawarna,176083.0,NA ,NA ,NA ,EE Bhawarna,No ,No,E.E. HPPWD Division Bhawarna,E.E. HPPWD Division Bhawarna,PWD,Rud Panyali Lahar Machlaina Parmar Nagar,2020_PWD_34718_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,07-Feb-2020 04:25 PM,15-Feb-2020 12:00 PM,07-Feb-2020 04:30 PM,15-Feb-2020 11:00 AM,NA ,NA ,07-Feb-2020 05:00 PM,15-Feb-2020 11:00 AM,03-Mar-2020 02:25 PM,"19,000",No,fixed,,EE Bhawarna,Bhawarna,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,149585.0,Sanjeev,15-Feb-2020 01:34 AM,Rejected-AOC,Bidder Rank-L2,28-Oct-2021 12:42 PM,,,,,,,,,,,,AOC,,,.pdf,"Earnest money in shape of FDR duly pledged in favour of Executive Engineer, Bhawarna Division, HPPWD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractor registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit regarding no near relative working in HP PWD department.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form 7/8 duly signed by the contractor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of PAN.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
