Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMROO-722-TA-Tender- 6621-70 dated 16/08/2021,2021_HPIPH_51326_11,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as mentioned in NIT,Providing FHTC of LWSS Dhon under JJM in GP Rama Dhon Tehsil Nahan Distt. Sirmour HP,"Laying, jointing and dismantling of GMS pipes, retrofitting of LWSS Dhon) Job No. 1 under JJM",Please refer Tender documents. ,NA ,"12,88,309",Pipe Laying Works,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,17-Aug-2021 05:00 PM,25-Aug-2021 11:30 AM,17-Aug-2021 05:00 PM,25-Aug-2021 11:00 AM,NA ,NA ,17-Aug-2021 05:00 PM,25-Aug-2021 11:00 AM,01-Sep-2021 12:30 PM,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,"25,800",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,400.0,Executive Engineer Jal Shakti Division Nahan,Nahan,No,AOC,Technical,Technical Bid Opening Summary,Ashish Rana,01-Sep-2021 12:26 PM,technical_76734.pdf,Er Ashish Rana EE,Internal,TA Supdt HDM DAO EE,Ashish Rana,01-Sep-2021 12:27 PM,01-Sep-2021 12:30 PM,techsummary_76734.pdf (144.56 KB),"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2021_HPIPH_51326_11,NHN-SMROO-722-TA-Tender- 6621-70 dated 16/08/2021,Providing FHTC of LWSS Dhon under JJM in GP Rama Dhon Tehsil Nahan Distt. Sirmour HP,1.0,231846.0,Jawant Singh,INR,"784,452",08-Oct-2021,"INR 1,288,309",90.0,Ashish Rana,08-Oct-2021 05:22 PM,AOC.pdf (755.00 KB),Award to Contractor,1.0,232027.0,Anil Kumar,24-Aug-2021 05:52 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Sep-2021 12:26 PM,Er. Ashish Rana EE,Internal,DM HDM EE,Ashish Rana,08-Oct-2021 05:20 PM,finsummary_76734.pdf (755.22 KB),Finance,Financial Bid Opening Summary,Ashish Rana,01-Sep-2021 01:33 PM,finance_76734.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Cost of Tender Form as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,231846.0,Jawant Singh,24-Aug-2021 09:08 PM,Accepted-AOC,AOC,08-Oct-2021 05:22 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,Registration in JSV vibhag as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,232031.0,m/s suresh kumar,24-Aug-2021 06:37 PM,Rejected-Finance,Reject,08-Oct-2021 05:20 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,EPF Registration copy as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,232062.0,RAJENDER SINGH,24-Aug-2021 07:58 PM,Rejected-Finance,Reject,08-Oct-2021 05:20 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,PAN and GST No. as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,231997.0,RAVI DUTT CONTRACTOR,24-Aug-2021 04:39 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Sep-2021 12:26 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,Undertaking Joint Venture is not allowed as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,232100.0,VIRENDER SINGH,24-Aug-2021 10:53 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Sep-2021 12:26 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,Undertaking carefully study all terms and conditions as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,Affidavit specifying that the benefit availed under earnest money exemption has not been exhausted s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,Undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
