Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
16-Nov-2020,"INR 3,536,070",365.0,Munish Bhopal,14-Oct-2021 03:45 PM,AOC.pdf (587.00 KB),work awarded to M/s Ratwan Light House being L1,Er Dalip singh Patial EE,Internal,Smt Karuna Sharma Supdt Sh Amar Singh Draughtsman Sh Kapil Dev Soni Sr Asstt,Dalip singh Patial,31-Aug-2018 01:17 PM,finsummary_31615.pdf (796.70 KB),Er Sanjay Kumar SE,Internal,Er B S Gora EE Er D S Patial EE Er Naresh Sharma EO Sh Jeet Ram Supdt,Dalip singh Patial,30-Aug-2018 12:53 PM,30-Aug-2018 01:00 PM,techsummary_31615.pdf (1168.15 KB),PWD,2018_PWD_22497_1,PW/MED/TA/NIT /e-notice/18-19-2229-34 dt 21.06.18,Construction of Government Degree College Building at Rewalsar District Mandi HP SH Providing EI therein,1.0,91557.0,Ratwn Light House,INR,"3,536,070",Finance,Financial bid summary,Dalip singh Patial,31-Aug-2018 01:06 PM,finance_31615.pdf,BOQ Comparative Chart,Technical,technical bid summary,Dalip singh Patial,30-Aug-2018 12:50 PM,technical_31615.pdf,1.0,91614.0,DHARMENDER SINGH,09-Aug-2018 08:26 PM,Rejected-Technical,bid non responsive,30-Aug-2018 12:53 PM,AOC,"65,150",No,fixed,,Executive Engineer Electrical Division HPPWD Mand,Mandi HP,Executive Engineer Electrical Division HPPWD Mand,Executive Engineer Electrical Division HPPWD Mandi HP,1.0,DD - Demand Draft,PWD,PW/MED/TA/NIT /e-notice/18-19-2229-34 dt 21.06.18,2018_PWD_22497_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Construction of Government Degree College Building at Rewalsar District Mandi HP SH Providing EI therein,Construction of Government Degree College Building at Rewalsar District Mandi HP SH Providing EI therein,Please refer to NIT and bid document ,NA ,"38,41,428",Electrical Works,NA ,Tender,120.0,365.0,Rewalsar,175023.0,NA ,NA ,NA ,Electrical Division HPPWD Mandi H.P,No ,No,28-Jul-2018 10:00 AM,10-Aug-2018 11:30 AM,28-Jul-2018 10:00 AM,10-Aug-2018 10:00 AM,NA ,NA ,28-Jul-2018 10:00 AM,10-Aug-2018 10:00 AM,30-Aug-2018 01:00 PM,"1,500",Executive Engineer Electrical Division HPPWD Mand,Mandi HP,No,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER INDICATED IN SCHEDULE F,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,91617.0,LAL SINGH,09-Aug-2018 06:29 PM,Rejected-AOC,rejected being L6,14-Oct-2021 03:45 PM,AOC,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY INDICATED IN SHEDULE F,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,91557.0,Ratwn Light House,09-Aug-2018 01:44 PM,Accepted-AOC,work awarded being L1,14-Oct-2021 03:45 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION in appropriate Class - A,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,91529.0,Rohtash Verma,10-Aug-2018 07:26 AM,Rejected-AOC,rejected being L4,14-Oct-2021 03:45 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid electrical license REFER GENERAL RULES NO 23,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,91625.0,SHARMA ELECTRICAL CO.,09-Aug-2018 07:07 PM,Rejected-AOC,rejected being L2,14-Oct-2021 03:45 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"SALES TAX (GST), REGITRATION GENERAL RULES NO. 21",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,91646.0,SUNIL KAPOOR,09-Aug-2018 09:51 PM,Rejected-AOC,rejected being L3,14-Oct-2021 03:45 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PERMANENT ACCOUNT NUMBER (PAN),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,91629.0,TARUN GUPTA,09-Aug-2018 07:26 PM,Rejected-AOC,rejected being L5,14-Oct-2021 03:45 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,AOC
