S.No,Category,Sub Category,Sub Category Description,Format/File,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,PWD,PW/MED/TA/NIT/ e-notice/20-21-3818-23 dt 24.09.20,2020_PWD_41530_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,"50,450",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,"1,500","Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,No,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER INDICATED IN SCHEDULE F,","Executive Engineer, Electrical Division, HP.PWD Ma","Executive Engineer, Electrical Division, HP.PWD Mandi","Construction of Sanskriti Sadan at Motipur, District Mandi HP SH Supply, Erection, Testing and Commissioning of Video System in Auditorium therein","Construction of Sanskriti Sadan at Motipur, District Mandi HP SH Supply, Erection, Testing and Commissioning of Video System in Auditorium therein",Please refer to bid document ,NA ,"28,61,179",Electrical Works,NA ,Tender,75.0,365.0,Motipur,175001.0,NA ,NA ,NA ,"Electrical Division, HP.PWD Mandi H.P",No ,No,12-Oct-2020 10:00 AM,19-Oct-2020 11:30 AM,12-Oct-2020 10:00 AM,19-Oct-2020 10:00 AM,NA ,NA ,12-Oct-2020 10:00 AM,19-Oct-2020 10:00 AM,29-Oct-2020 04:30 PM,AOC,PWD,2020_PWD_41530_1,PW/MED/TA/NIT/ e-notice/20-21-3818-23 dt 24.09.20,"Construction of Sanskriti Sadan at Motipur, District Mandi HP SH Supply, Erection, Testing and Commissioning of Video System in Auditorium therein",Er Dalip Singh Patial EE,Internal,Smt Karuna Sharma Superintendent Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt,Dalip singh Patial,29-Oct-2020 04:17 PM,29-Oct-2020 04:30 PM,techsummary_61279.pdf (353.25 KB),Er Dalip Singh Patial EE,Internal,Smt Karuna Sharma Superintendent Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt,Dalip singh Patial,05-Nov-2020 03:46 PM,finsummary_61279.pdf (288.69 KB),07-Jul-2021,"INR 2,753,600",365.0,Munish Bhopal,08-Oct-2021 04:58 PM,AOC.pdf (602.00 KB),work awarded to MATRIX INTEGRATIONS being L1 firm,1.0,182869.0,Insat Techno Services,17-Oct-2020 04:40 PM,Rejected-Finance,rejected being L2 firm,05-Nov-2020 03:48 PM,Technical,Technical bid summary,Dalip singh Patial,29-Oct-2020 04:05 PM,technical_61279.pdf,1.0,182764.0,MATRIX INTEGRATIONS,INR,"2,753,600",Finance,financial bid summary,Dalip singh Patial,05-Nov-2020 03:35 PM,finance_61279.pdf,BOQ Comparative Chart,AOC
2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,.pdf,EARNEST MONEY INDICATED IN SHEDULE F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,182764.0,MATRIX INTEGRATIONS,17-Oct-2020 05:03 PM,Accepted-AOC,work awarded to L1,08-Oct-2021 04:58 PM,,,,,,,,,,,,,,,,,AOC
3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Approved OEM of Video System or authorized agency of approved OEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial turnover of last three years as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of similar work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Copy of CE,FCC, ISO Certification",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
