S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,DD - Demand Draft,26-Oct-2019 10:00 AM,05-Nov-2019 11:30 AM,26-Oct-2019 10:00 AM,05-Nov-2019 10:00 AM,NA ,NA ,26-Oct-2019 10:00 AM,05-Nov-2019 10:00 AM,08-Nov-2019 02:25 PM,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,PWD,PW/MED/TA/NIT/ e-notice/19-20-5046-51 dt 11.10.19,2019_PWD_32309_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,500.0,"Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,No,"Executive Engineer, Electrical Division, HP.PWD Ma","Executive Engineer, Electrical Division, HP.PWD Mandi",1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER as INDICATED IN SCHEDULE F,","Construction of Sanskrit Sadan at Motipur, District Mandi HP SH Providing and fixing One No. Electric Traction Lift Elevator 8 Passenger therein","Construction of Sanskrit Sadan at Motipur, District Mandi HP SH Providing and fixing One No. Electric Traction Lift Elevator 8 Passenger therein",Please refer to bid document ,NA ,"21,45,000",Electrical Works,NA ,Tender,120.0,180.0,Mandi,175001.0,NA ,NA ,NA ,"Electrical Division, HP.PWD Mandi H.P",No ,No,"39,700",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,AOC,Finance,Financial bid summary,Dalip singh Patial,08-Nov-2019 04:34 PM,finance_46440.pdf,BOQ Comparative Chart,1.0,135454.0,SHARMA ELECTRICAL CO.,INR,"1,740,000",1.0,135490.0,SHARMA ELECTRICAL AND ELECTRONIC CO.,03-Nov-2019 03:39 PM,Rejected-Finance,Rejected being L2 firm,08-Nov-2019 04:39 PM,Technical,Technical bid summary,Dalip singh Patial,08-Nov-2019 02:18 PM,technical_46440.pdf,Er Dalip Singh Patial EE,Internal,Sh Jai Ram HDM Sh Kapil Dev Sr Asstt Sh Manish Kumar TA,Dalip singh Patial,08-Nov-2019 02:20 PM,08-Nov-2019 02:25 PM,techsummary_46440.pdf (389.06 KB),PWD,2019_PWD_32309_1,PW/MED/TA/NIT/ e-notice/19-20-5046-51 dt 11.10.19,"Construction of Sanskrit Sadan at Motipur, District Mandi HP SH Providing and fixing One No. Electric Traction Lift Elevator 8 Passenger therein",08-Mar-2021,"INR 1,740,000",180.0,Munish Bhopal,14-Oct-2021 03:52 PM,AOC.pdf (582.00 KB),work awarded to SHARMA ELECTRICAL CO. being L1 firm,Er Dalip Singh Patial EE,Internal,Sh Jai Ram HDM Sh Kapil Dev Sr Asstt Sh Manish Kumar TA,Dalip singh Patial,08-Nov-2019 04:39 PM,finsummary_46440.pdf (442.61 KB),AOC
2.0,FDR - Fixed Deposit,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Earnest Money INDICATED IN SCHEDULE F,",,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,135454.0,SHARMA ELECTRICAL CO.,02-Nov-2019 04:47 PM,Accepted-AOC,work awarded being L1,14-Oct-2021 03:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Approved OEM (Lift) or authorized agency of approved OEM (Lift),,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES NO. 21,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average financial turnover of last three years as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
