Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Er.S.P.Dhiman EE,Internal,Supdt. HDM DAO,SHASHI PAL,31-Jul-2021 01:16 PM,finsummary_72736.pdf (457.98 KB),04-Oct-2021,"INR 1,208,244",60.0,SHASHI PAL,04-Oct-2021 03:40 PM,AOCJob6.pdf (881.00 KB),Work Awarded,PWD,2021_PWD_48527_1,No.BGN/2020-21-2229-48 dated 10.06.2021Job6,M/O road from Saili to Handola via via Kamoon Pattian road km. 0/000 to 11/120,Er. S.P.Dhiman EE,Internal,Tech bid opened,SHASHI PAL,28-Jul-2021 02:27 PM,29-Jul-2021 10:30 AM,techsummary_72736.pdf (497.64 KB),Technical,Tech bid opened,SHASHI PAL,28-Jul-2021 02:20 PM,technical_72736.pdf,1.0,218845.0,Ashok Kumar,28-Jun-2021 04:58 PM,Rejected-Technical,Non responsive,28-Jul-2021 02:28 PM,Finance,Fin bid opened,SHASHI PAL,31-Jul-2021 01:09 PM,finance_72736.pdf,BOQ Comparative Chart,1.0,218749.0,Ram,INR,"1,208,244",AOC,17-Jun-2021 11:00 AM,29-Jun-2021 11:00 AM,17-Jun-2021 11:30 AM,28-Jun-2021 06:00 PM,NA ,NA ,17-Jun-2021 11:30 AM,28-Jun-2021 06:00 PM,29-Jul-2021 10:30 AM,Executive Engineer HPPWD Division Bangana,Executive Engineer HPPWD Division Bangana,350.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form (Online mode),PWD,No.BGN/2020-21-2229-48 dated 10.06.2021Job6,2021_PWD_48527_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,M/O road from Saili to Handola via via Kamoon Pattian road km. 0/000 to 11/120,"P/L GSB, WMM and M/T in km. 10/620 to 11/120",Please refer Tender documents. ,NA ,"7,40,553",Civil Works - Others,NA ,Tender,120.0,60.0,Bangana Division,174307.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Bangana,No ,No,1.0,ICICI BANK,"14,900",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,219906.0,Balbir Singh Govt Contractor,28-Jun-2021 05:20 PM,Rejected-Technical,Non responsive,28-Jul-2021 02:28 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Earnest Money (Online mode),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,219720.0,Nitish Thakur,26-Jun-2021 09:33 PM,Rejected-Technical,Non responsive,28-Jul-2021 02:28 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,218749.0,Ram,28-Jun-2021 03:05 PM,Accepted-AOC,Lowest,04-Oct-2021 03:40 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,GST Registration and latest assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,219329.0,Ramesh Chand Sharma,28-Jun-2021 03:12 PM,Rejected-AOC,Higher side,04-Oct-2021 03:40 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format given in bidding document without liquidat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,219866.0,Satish Kumar,28-Jun-2021 03:40 PM,Rejected-Technical,Non responsive,28-Jul-2021 02:28 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in bidding document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,219942.0,Satwant Singh,28-Jun-2021 04:09 PM,Rejected-Technical,Non responsive,28-Jul-2021 02:28 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with proof of ownership or legal tie-up and list of laboratory equi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Affidavit Reg. no pending litigation with the Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
