S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,ICICI BANK,"27,600",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,1.0,Fee/PreQual/Technical,.pdf,Earnest Money in shape of FDR as mentioned in NIT,30-Jun-2021 05:00 PM,07-Jul-2021 11:30 AM,30-Jun-2021 05:00 PM,07-Jul-2021 11:00 AM,NA ,NA ,30-Jun-2021 05:00 PM,07-Jul-2021 11:00 AM,17-Jul-2021 05:45 PM,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,Restoration of rain damages LWSS Nahan Town in Tehsil Nahan Distt. Sirmour HP,"Drilling, Lowering, assembly and development of T/well 300mm dia, 30 mtrs deep 2 Nos",Please refer Tender documents. ,NA ,,Pumps/Motors,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMR00-722- 3970-4029 dt 28/06/21,2021_HPIPH_49241_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,400.0,Executive Engineer Jal Shakti Division Nahan,Nahan,No,AOC,Er JS Chauhan SE,Internal,SupdtWS CHD AED EED EENahan SE,Ashish Rana,18-Oct-2021 12:55 PM,finsummary_73768.pdf (661.85 KB),"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2021_HPIPH_49241_1,NHN-SMR00-722- 3970-4029 dt 28/06/21,Restoration of rain damages LWSS Nahan Town in Tehsil Nahan Distt. Sirmour HP,1.0,221370.0,M/S Sharma Enterpirses,INR,"2,063,911",Er. Ashsh Rana EE,Internal,Ta Supdt HDM DAO EE,Ashish Rana,17-Jul-2021 05:40 PM,17-Jul-2021 05:45 PM,techsummary_73768.pdf (182.32 KB),1.0,221464.0,M/S. Mast Ram Jaswal And Co.,05-Jul-2021 06:27 PM,Rejected-Finance,Reject,18-Oct-2021 12:55 PM,18-Oct-2021,"INR 1,377,940",90.0,Ashish Rana,18-Oct-2021 12:57 PM,AOC.pdf (662.00 KB),Award to Contractor,Finance,Financial Bid Opening Summary,Ashish Rana,17-Jul-2021 05:58 PM,finance_73768.pdf,BOQ Comparative Chart,Technical,Technical Bid Opening Summary,Ashish Rana,17-Jul-2021 05:39 PM,technical_73768.pdf,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,Cost of TEnder Form as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,221370.0,M/S Sharma Enterpirses,05-Jul-2021 02:43 PM,Accepted-AOC,AOC,18-Oct-2021 12:57 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,Registration in HP JSV as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,3.0,221382.0,Vats Associates,05-Jul-2021 07:10 PM,Rejected-Finance,Reject,18-Oct-2021 12:55 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,EPF Registration as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,PAN and GSt as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,UNdertaking joint venture is not allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,Experience of similar kind of work copy uploaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,UNdertaking carefully study all terms and condiitons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,affidavit specifying that the benefit availed under earnest money exemption has not been exhausted s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
