Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage
08-Oct-2021,"INR 822,042",60.0,Dinesh Kumar Dhiman,08-Oct-2021 04:22 PM,Award-49606-6.pdf (673.00 KB),Award of work issued,Er Dinesh Dhiman EE,Internal,Er Raghubir Singh AE to EE Sh Dalip Jha DAO Sh Rajneesh Kumar Superintendent Smt Sushma Sharma DHD,Dinesh Kumar Dhiman,15-Aug-2021 02:34 PM,finsummary_74248.pdf (172.77 KB),Er Dinesh Kumar Dhiman EE,Internal,Er Raghubir Singh AE to EE Sh Dalip Jha DAO Sh Rajneesh Kumar Superintendent Smt. Sushma Sharma DHD,Dinesh Kumar Dhiman,27-Jul-2021 05:42 PM,28-Jul-2021 10:30 AM,techsummary_74248.pdf (350.41 KB),PWD,2021_PWD_49606_6,EE Dehra letter No.2516-20 dated 30.06.2021,Restoration of rain damages on Khabli Dosarka to HLB Nadaun in Km. 0/0 to 4/0,Technical,Bid opening summary,Dinesh Kumar Dhiman,25-Jul-2021 02:57 PM,technical_74248.pdf,1.0,223140.0,Deep kumar Govt. Contractor,14-Jul-2021 05:22 PM,Rejected-AOC,Rejected being highest bid amount,08-Oct-2021 04:22 PM,1.0,223179.0,yashpal sharma,INR,"822,042",Finance,Financial bid opening summary,Dinesh Kumar Dhiman,15-Aug-2021 02:18 PM,finance_74248.pdf,BOQ Comparative Chart,AOC,Restoration of rain damages on Khabli Dosarka to HLB Nadaun in Km. 0/0 to 4/0,"Construction of U-shape drain at RD 1/350 to 1/750 Edge wall and Hume pipe culvert in various RD,s)",Please refer to tender document ,NA ,,Civil Works - Roads,Repair of road ,Tender,75.0,60.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,Executive Engineer,Dehra Division HPPWD Dehra,08-Jul-2021 10:00 AM,16-Jul-2021 11:30 AM,08-Jul-2021 10:00 AM,15-Jul-2021 06:00 PM,08-Jul-2021 10:00 AM ,14-Jul-2021 04:00 PM ,08-Jul-2021 10:00 AM,15-Jul-2021 06:00 PM,28-Jul-2021 10:30 AM,1.0,Fee/PreQual/Technical,.pdf,Copy of receipt of online payment on account of cost of tender form and earnest money,350.0,Nil,Nil,No,PWD,EE Dehra letter No.2516-20 dated 30.06.2021,2021_PWD_49606_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"13,800",No,fixed,,Nil,Nil,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,223389.0,M/S Surjeet Singh Govt. Contractor,15-Jul-2021 02:47 PM,Rejected-AOC,Rejected being highest bid amount,08-Oct-2021 04:22 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of valid enlistment in appropriate class,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,223179.0,yashpal sharma,14-Jul-2021 02:01 PM,Accepted-AOC,Work awarded being lowest bid amount,08-Oct-2021 04:22 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff showing the name of bid regarding correctness of documents/information furnished with the bid,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. showing the detail of near relatives who are working in HPPWD as Gazetted/non Gazetted officer,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit with the declaration that he has not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF and Miscellaneous Provision Act 1952,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
