Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),"5,900",Nil,Nil,No,25-Aug-2021 11:00 AM,02-Sep-2021 11:00 AM,25-Aug-2021 11:00 AM,01-Sep-2021 05:00 PM,NA ,NA ,25-Aug-2021 11:00 AM,01-Sep-2021 05:00 PM,07-Sep-2021 11:00 AM,"1,07,800",No,fixed,,Nil,Nil,Construction of Mini Stadium and boundary wall of playground in Govt. Sr. Sec. School Badhera Teh. Haroli Distt. Una (HP).,Construction of Mini Stadium and boundary wall of playground in Govt. Sr. Sec. School Badhera Teh. Haroli Distt. Una (HP).,Please refer Tender documents. ,NA ,"75,34,144",Civil Works,NA ,Tender,120.0,240.0,Badhera (Una),177209.0,NA ,NA ,NA ,HPSIDC Ltd. Shimla,No ,No,HP SIDC Limited,Job No. 7,2021_SIDC_51572_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,Executive Engineer,HPSIDC Ltd. Shimla,AOC,12-Oct-2021,"INR 8,287,429",240.0,Sushant Singh Negi,28-Oct-2021 10:58 AM,badhera.pdf (1429.00 KB),Award letter,1.0,233334.0,RAM PARSHAD VERMA GOVT CONTRACTOR,INR,"8,287,429",SE,Internal,"DM, Manager(F), EE(HQ)",Sushant Singh Negi,13-Sep-2021 05:29 PM,finsummary_77059.pdf (33.87 KB),HP SIDC Limited,2021_SIDC_51572_1,Job No. 7,Construction of Mini Stadium and boundary wall of playground in Govt. Sr. Sec. School Badhera Teh. Haroli Distt. Una (HP).,Finance,Financial summary,Sushant Singh Negi,13-Sep-2021 05:26 PM,finance_77059.pdf,BOQ Comparative Chart,Technical,Technical summary,Sushant Singh Negi,06-Sep-2021 12:23 PM,technical_77059.pdf,SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,06-Sep-2021 12:25 PM,07-Sep-2021 11:00 AM,techsummary_77059.pdf (426.56 KB),1.0,233304.0,Ashlesh,01-Sep-2021 01:34 PM,Rejected-Technical,Not qualified in the bid capacity,06-Sep-2021 12:25 PM,AOC
,,.pdf,Signed copy of agreement form and approved make for materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,233463.0,Chetan Chabba,01-Sep-2021 04:02 PM,Rejected-Finance,Third lowest bidder,13-Sep-2021 05:29 PM,AOC
,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,232882.0,M/S Parminder Singh Bagga Govt Contractor,31-Aug-2021 11:56 PM,Rejected-Finance,Second lowest bidder,13-Sep-2021 05:29 PM,AOC
,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,233334.0,RAM PARSHAD VERMA GOVT CONTRACTOR,01-Sep-2021 03:26 PM,Accepted-AOC,AOC,28-Oct-2021 10:58 AM,AOC
,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Copy of successfully completed work done certificate (as per tender conditions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Copy of existing commitments / ongoing work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Details of machineries equipments/ skilled engineers/ technical staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
