Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Executive Engineer,Internal,"Supdt,HDM,DAO",Anil Nagpal,19-Oct-2021 02:12 PM,finsummary_77400.pdf (394.78 KB),19-Oct-2021,"INR 2,188,909",30.0,Anil Nagpal,19-Oct-2021 02:15 PM,AOCKashmirSingh.pdf (1909.00 KB),Attached,PWD,2021_PWD_51770_1,Annual Maintenance Plan Samtana Khurd to Thana (po,Annual Maintenance Plan Samtana Khurd to Thana (portion Baroti Bhel),Executive Engineer,Internal,"GA,Supdt,HDM,DAO",Anil Nagpal,22-Sep-2021 04:21 PM,23-Sep-2021 03:00 PM,techsummary_77400.pdf (692.06 KB),Technical,Attached,Anil Nagpal,22-Sep-2021 04:17 PM,technical_77400.pdf,1.0,235046.0,BALJEET SINGH,09-Sep-2021 09:16 AM,Rejected-AOC,L1L2L3,19-Oct-2021 02:15 PM,Finance,Attached,Anil Nagpal,19-Oct-2021 02:09 PM,finance_77400.pdf,BOQ Comparative Chart,1.0,234325.0,KASMIR SINGH CONTACTOR,INR,"2,217,731.25",AOC,"40,400",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,1. Cost of Tender Form,Executive Engineer,Executive Engineer Barsar Division HPPWD Barsar,500.0,Nil,Nil,No,PWD,Annual Maintenance Plan Samtana Khurd to Thana (po,2021_PWD_51770_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,02-Sep-2021 10:30 AM,10-Sep-2021 10:30 AM,02-Sep-2021 10:30 AM,10-Sep-2021 10:30 AM,NA ,NA ,02-Sep-2021 10:30 AM,10-Sep-2021 10:30 AM,23-Sep-2021 03:00 PM,Annual Maintenance Plan Samtana Khurd to Thana (portion Baroti Bhel),SH Providing and laying bituminous concrete 30 mm thick in km 0/0 to 2/00) DRRP No HP-03-05 VR0116) Under PMGSY with paver finisher,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,60.0,30.0,Barsar,174305.0,NA ,NA ,NA ,EE Barsar,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,235219.0,Gian Chand Contactor,10-Sep-2021 08:23 AM,Rejected-AOC,L1L2L3,19-Oct-2021 02:15 PM,,,,,,,,,,,,AOC,,,,,,,,,.pdf,2. EMD,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,234325.0,KASMIR SINGH CONTACTOR,05-Sep-2021 06:10 PM,Accepted-AOC,L1L2L3,19-Oct-2021 02:15 PM,,,,,,,,,,,,AOC,,,,,,,,,.pdf,3. Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,4. Similar Work Done certificate (Only Completed Work),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,"5. GST No. with latest clearance return, EPF No. with latest clearance return, Labour License, PAN C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,6. List of Machinery tools and plant with ownership documents/ Affidavit Magistrate/ Notary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,7. Affidavit that information submitted by bidder is true and correct attested by Magistrate/ Notary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,8. Work in hand certificate countersigned by the Engineer in Charge not below the rank of Executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,9. Affidavit Bidder should not have morethan 2 contracts at a time each of Rs. 100.0Lakhsormore in c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,10. Affidavit regarding seen the site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
