S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,21-May-2021 06:00 PM,31-May-2021 11:30 AM,21-May-2021 06:00 PM,31-May-2021 10:30 AM,NA ,NA ,21-May-2021 06:00 PM,31-May-2021 10:30 AM,07-Jun-2021 02:00 PM,C/O Police Station for State Vigilance Department and Anticorruption Bureau at Hamirpur,SH C/O building Portion W S and S I Rain water harvesting tank and septic tank,Please refer Tender documents. ,NA ,,Civil Works - Buildings,NA ,Tender,60.0,365.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,"2,35,000",No,fixed,,Nil,Nil,EE Hamirpur,Executive Engineer HPPWD Hamirpur,"5,000",Nil,Nil,No,PWD,C/O Police Station for State Vigilance Department,2021_PWD_47689_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC,PWD,2021_PWD_47689_1,C/O Police Station for State Vigilance Department,C/O Police Station for State Vigilance Department and Anticorruption Bureau at Hamirpur,EE Hamirpur,Internal,SupdtHDMSrDAO,Vivek Sharma,05-Jun-2021 06:11 PM,07-Jun-2021 02:00 PM,techsummary_71558.pdf (1737.55 KB),EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,18-Oct-2021 11:13 AM,finsummary_71558.pdf (2756.07 KB),18-Oct-2021,"INR 19,508,698",365.0,Vivek Sharma,18-Oct-2021 11:19 AM,VigilanceFAward.pdf (2756.00 KB),Award,1.0,213736.0,Kumar Associates,31-May-2021 03:29 AM,Rejected-Technical,Rjected due to Work in hand neither signed by bidder and counter signed by the Engineer in charge. (As per SBD General Rules and Directions -16),05-Jun-2021 06:11 PM,Technical,Attached,Vivek Sharma,05-Jun-2021 05:40 PM,technical_71558.pdf,1.0,213409.0,SANDEEP SHARMA,INR,"19,976,719.97",Finance,Attached,Vivek Sharma,18-Oct-2021 11:09 AM,finance_71558.pdf,BOQ Comparative Chart,AOC
2.0,ICICI NEFT/RTGS,,,.pdf,Work in hand Certificate AS PER SBD GENERAL RULES AND DIRECTIONS-16 SIMILAR WORK DONE 40 PERSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,214273.0,MSC Roads and Bridges Private Limited,30-May-2021 06:44 PM,Rejected-AOC,l2,18-Oct-2021 11:19 AM,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,213409.0,SANDEEP SHARMA,28-May-2021 08:14 PM,Accepted-AOC,l1,18-Oct-2021 11:19 AM,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,GST and EPF Registration and GST and EPF Clearness latest statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Detail of machinery as per SBD with proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Working Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Financial Turn Over of last five year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,PWD Form No 8 in SBD duly signed by the bidder and upload,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
