Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
PWD,EE Dehra letter No.3182-86 dated 22.07.2021,2021_PWD_50682_24,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,04-Aug-2021 10:00 AM,10-Aug-2021 11:30 AM,04-Aug-2021 10:00 AM,09-Aug-2021 06:00 PM,04-Aug-2021 10:00 AM ,06-Aug-2021 04:00 PM ,04-Aug-2021 10:00 AM,09-Aug-2021 06:00 PM,28-Aug-2021 10:30 AM,350.0,Nil,Nil,No,A/R and M/O various roads under HPPWD Sub-Division Dehra Sub-Division,Repair of pot holes Section Dhaliara,Please refer to tender documents ,NA ,,Civil Works - Roads,Repair of road ,Tender,75.0,30.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,Executive Engineer,HPPWD Division Dehra,"10,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Copy of receipt of online payment on account of cost of tender form and earnest money,1.0,ICICI BANK,AOC,1.0,228362.0,Ravinder Kumar,INR,"830,038",13-Oct-2021,"INR 830,038",30.0,Dinesh Kumar Dhiman,13-Oct-2021 04:17 PM,Award-50682-24.pdf (671.00 KB),Award of work issued,PWD,2021_PWD_50682_24,EE Dehra letter No.3182-86 dated 22.07.2021,A/R and M/O various roads under HPPWD Sub-Division Dehra Sub-Division,EE Dehra,Internal,AE to EE Dehra DAO Dehra DHD Dehra Superintendent Dehra,Dinesh Kumar Dhiman,04-Oct-2021 03:26 PM,finsummary_75819.pdf (147.44 KB),Finance,Financial bid opening summary,Dinesh Kumar Dhiman,01-Oct-2021 01:18 PM,finance_75819.pdf,BOQ Comparative Chart,1.0,228362.0,Ravinder Kumar,08-Aug-2021 07:00 PM,Accepted-AOC,Work awarded being lowest bid amount,13-Oct-2021 04:17 PM,Technical,opening summary,Dinesh Kumar Dhiman,27-Aug-2021 01:16 PM,technical_75819.pdf,EE Dehra,Internal,AE to EE Dehra DAO Dehra Superintendent Dehra DHD Dehra,Dinesh Kumar Dhiman,27-Aug-2021 04:48 PM,28-Aug-2021 10:30 AM,techsummary_75819.pdf (347.02 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of valid enlistment in appropriate class as per enlistment rules 2021,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,228562.0,Vipan Kumar,09-Aug-2021 01:40 PM,Rejected-AOC,Rejected being lowest bid amount,13-Oct-2021 04:17 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff showing the name of bid regarding correctness of documents/information furnished with the bid,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. showing the detail of near relatives who are working in HPPWD as Gazetted/non Gazetted officer,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit with the declaration that he has not more than two works in hand,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
