S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
1.0,216997.0,Kulvinder,INR,"8,809,771.94",Finance,Summary,R.K Dhiman,28-Jun-2021 03:17 PM,finance_72668.pdf,BOQ Comparative Chart,Technical,Summary,R.K Dhiman,26-Jun-2021 03:28 PM,technical_72668.pdf,1.0,218245.0,G.P.ACHARYA,22-Jun-2021 03:15 PM,Rejected-AOC,Rejected due to higher rates bidder L4,07-Oct-2021 11:45 AM,24-Aug-2021,"INR 7,303,284",60.0,R.K Dhiman,07-Oct-2021 11:45 AM,Award.pdf (463.00 KB),Award,Executive Engineer,Internal,"Executive Engineer, Supdt G-II, HDM, DA",R.K Dhiman,28-Jun-2021 03:22 PM,finsummary_72668.pdf (236.36 KB),Executive Engineer,Internal,"Executive Engineer, Supdt. G-II, HDM,",R.K Dhiman,26-Jun-2021 03:33 PM,28-Jun-2021 10:30 AM,techsummary_72668.pdf (300.44 KB),PWD,2021_PWD_48488_1,Periodic Maintenance of HAMIRPUR SUJANPUR THURAL M,Periodic Maintenance of HAMIRPUR SUJANPUR THURAL MARANDA ROAD DRRPNo.HP0407MDR08657201(Under AMP 2021-22 MDR ROADS),AOC,1.0,ICICI BANK,PWD,Periodic Maintenance of HAMIRPUR SUJANPUR THURAL M,2021_PWD_48488_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Periodic Maintenance of HAMIRPUR SUJANPUR THURAL MARANDA ROAD DRRPNo.HP0407MDR08657201(Under AMP 2021-22 MDR ROADS),"Providing and laying 30 mm thick Bituminous concrete laying with paver finisher, road marking strips of hot applied thermoplastic compound (Painting line) and V-Shape drain between Km 24/140 to 25/00, 25/00 to 26/00, 26/00 to 27/00, 27/00 to 28/00",Please refer Tender documents. ,NA ,"73,03,284",Civil Works - Roads,NA ,Tender,120.0,60.0,Jaisinghpur4,176095.0,NA ,NA ,NA ,Jaisinghpur,No ,No,"2,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,The valid enlistment/registration of contractor in appropriate class,14-Jun-2021 02:00 PM,23-Jun-2021 11:00 AM,14-Jun-2021 02:30 PM,22-Jun-2021 05:00 PM,NA ,NA ,14-Jun-2021 02:30 PM,22-Jun-2021 05:00 PM,28-Jun-2021 10:30 AM,"1,05,600",No,fixed,,Nil,Nil,Executive Engineer,Executive Engineer HP PWD Division Jaisinghpur,AOC
,,,,,,,,,,,,,,,,2.0,216997.0,Kulvinder,22-Jun-2021 12:57 PM,Accepted-AOC,Accepted due to lowest rates bidder L1,07-Oct-2021 11:45 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST/PAN/ EPF and Audit Balance Sheet.,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,218460.0,MSC Roads and Bridges Private Limited,22-Jun-2021 12:05 PM,Rejected-AOC,Rejected due to higher rates bidder L2,07-Oct-2021 11:45 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done detail / work in hand in last five year,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,218059.0,Sanjeev,19-Jun-2021 03:18 PM,Rejected-Technical,Non Responsive,26-Jun-2021 03:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid capacity in similar work last five years alongwith audit balance sheet,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5.0,218441.0,VISHAL ACHARYA,22-Jun-2021 04:09 PM,Rejected-AOC,Rejected due to higher rates bidder L3,07-Oct-2021 11:45 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate and one work not less than 40 percent of estimated cost in similar nature,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery along with photo copy of RC and staff,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HPPWD department attested by notary / 1st class maji,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the contractor has not more than two work in hand attested by notary / 1st class maji,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid (Name of work) is correct in all respect. attested,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 duly signed on judicial paper.,,,,,,,,,,,,,,,,,,AOC
