Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Category,Sub Category,Sub Category Description,Format/File,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No.1,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Er Dalip Singh Patial EE,Internal,Smt Karuna Sharma Superintendent Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt,Dalip singh Patial,07-Oct-2020 05:26 PM,finsummary_60289.pdf (348.34 KB),07-Jul-2021,"INR 2,244,590",365.0,Munish Bhopal,16-Oct-2021 12:04 PM,AOC.pdf (609.00 KB),work awarded to Sh TARUN GUPTA being L1 contr,PWD,2020_PWD_40884_1,PW/MED/TA/NIT/ e-notice/20-21-3323-29 dt 04.09.20,"Construction of Civil Hospital Building at Kotli, District Mandi HP SH Providing E.I therein",Er Dalip Singh Patial EE,Internal,Smt Karuna Sharma Superintendent Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt,Dalip singh Patial,06-Oct-2020 04:28 PM,06-Oct-2020 04:35 PM,techsummary_60289.pdf (315.69 KB),Technical,Technical bid summary,Dalip singh Patial,06-Oct-2020 04:16 PM,technical_60289.pdf,1.0,179377.0,Digvijay Sharma,25-Sep-2020 04:49 PM,Rejected-Technical,bid non responsive and rejected,06-Oct-2020 04:30 PM,1.0,179371.0,TARUN GUPTA,INR,"2,244,590",Finance,financial bid summary,Dalip singh Patial,07-Oct-2020 05:17 PM,finance_60289.pdf,BOQ Comparative Chart,AOC,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER INDICATED IN SCHEDULE F,",19-Sep-2020 10:00 AM,26-Sep-2020 11:30 AM,19-Sep-2020 10:00 AM,25-Sep-2020 06:00 PM,NA ,NA ,19-Sep-2020 10:00 AM,25-Sep-2020 06:00 PM,06-Oct-2020 04:35 PM,"Executive Engineer, Electrical Division, HP.PWD Ma","Executive Engineer, Electrical Division, HP.PWD Mandi",1.0,DD - Demand Draft,500.0,"Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,No,"Construction of Civil Hospital Building at Kotli, District Mandi HP SH Providing E.I therein","Construction of Civil Hospital Building at Kotli, District Mandi HP SH Providing E.I therein",Please refer to bid document ,NA ,"18,10,484",Electrical Works,NA ,Tender,75.0,365.0,Kotli,175003.0,NA ,NA ,NA ,"Electrical Division, HP.PWD Mandi H.P",No ,No,PWD,PW/MED/TA/NIT/ e-notice/20-21-3323-29 dt 04.09.20,2020_PWD_40884_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"34,700",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,179391.0,Ratwan Light House,25-Sep-2020 04:42 PM,Rejected-Technical,bid non responsive and rejected,06-Oct-2020 04:30 PM,,,,,,,,,,,,AOC,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,.pdf,EARNEST MONEY INDICATED IN SHEDULE F,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,179383.0,Rohtash Verma,25-Sep-2020 04:05 PM,Rejected-Finance,rejected being L3 contractor,07-Oct-2020 05:28 PM,,,,,,,,,,,,AOC,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,.pdf,valid contractor enlistment HPPWD Electrical Class A or B with valid electrical license,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,179352.0,SHARMA ELECTRICAL CO.,25-Sep-2020 10:40 AM,Rejected-Technical,bid non responsive and rejected,06-Oct-2020 04:30 PM,,,,,,,,,,,,AOC,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,179456.0,SUNIL KAPOOR,25-Sep-2020 03:37 PM,Rejected-Finance,rejected being L2 contractor,07-Oct-2020 05:28 PM,,,,,,,,,,,,AOC,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,.pdf,FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,179371.0,TARUN GUPTA,25-Sep-2020 12:34 PM,Accepted-AOC,work awarded,16-Oct-2021 12:04 PM,,,,,,,,,,,,AOC,,,,,,,,.pdf,Attested copies of similar work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,.pdf,Financial turnover of last three years as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
