Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
27-Oct-2021,"INR 1,135,116",60.0,Ajay Gazta,27-Oct-2021 05:09 PM,AOC.pdf (89.00 KB),AOC,Er JC Kanungo,Internal,Er JC Kanungo Suptt DAO DHD TA,Ajay Gazta,27-Oct-2021 05:06 PM,finsummary_74297.pdf (44.55 KB),Er JC Kanungo,Internal,Er JC Kanungo Suptt DAO DHD TA,J.C. Kango,28-Jul-2021 03:46 PM,28-Jul-2021 03:50 PM,techsummary_74297.pdf (84.17 KB),PWD,2021_PWD_49646_1,PW_CHD_CBE9/2021- 1980-2079 dt 03-06-2021,C/O link road from main road to Samaik basti Charach km 0/0 to 1/0,1.0,223194.0,surender singh,INR,"1,135,116",Finance,Bid Opening Summary,Ajay Gazta,27-Oct-2021 04:56 PM,finance_74297.pdf,BOQ Comparative Chart,Technical,Bid Opening Summary,J.C. Kango,28-Jul-2021 03:40 PM,technical_74297.pdf,1.0,223165.0,rakesh,14-Jul-2021 01:56 PM,Rejected-AOC,Rejected,27-Oct-2021 05:09 PM,AOC,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),500.0,EE CHOPAL,CHOPAL,No,"20,000",No,fixed,,EE CHOPAL,CHOPAL,EE CHOPAL,HPPWD CHOPAL,1.0,DD - Demand Draft,PWD,PW_CHD_CBE9/2021- 1980-2079 dt 03-06-2021,2021_PWD_49646_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,09-Jul-2021 05:00 PM,15-Jul-2021 11:00 AM,09-Jul-2021 05:00 PM,14-Jul-2021 05:00 PM,NA ,NA ,09-Jul-2021 05:00 PM,14-Jul-2021 05:00 PM,28-Jul-2021 03:50 PM,C/O link road from main road to Samaik basti Charach km 0/0 to 1/0,Formation cutting between km RDS 0/300 to 0/700 and wire crated wall between in different RDS,Please refer Tender documents ,NA ,"9,85,400",Civil Works - Roads,NA ,Tender,120.0,60.0,CHOPAL,171211.0,NA ,NA ,NA ,CHOPAL,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,223194.0,surender singh,14-Jul-2021 02:48 PM,Accepted-AOC,Accepted,27-Oct-2021 05:09 PM,AOC,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,223139.0,Uma Govt. Contractor,14-Jul-2021 12:40 PM,Rejected-AOC,Rejected,27-Oct-2021 05:09 PM,AOC,,,.pdf,Contractors Registration (Refer General Rules No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,223043.0,VIKAS,13-Jul-2021 08:12 PM,Rejected-AOC,Rejected,27-Oct-2021 05:09 PM,AOC,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work Done/ Work In Hand As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No 8 (Refer General Rules No.26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
