S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Category,Sub Category,Sub Category Description,Format/File,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Instrument Type,Name,Address,Tender Stage
1.0,159821.0,SHARMA ELECTRICAL CO.,INR,"2,989,950",Finance,financial bid summary,Dalip singh Patial,20-Jun-2020 03:56 PM,finance_55099.pdf,BOQ Comparative Chart,Technical,technical bid summary,Dalip singh Patial,20-Jun-2020 11:39 AM,technical_55099.pdf,1.0,161063.0,Digvijay Sharma,04-Jun-2020 04:42 PM,Rejected-Technical,bid rejected,20-Jun-2020 11:50 AM,Er Dalip Singh Patial EE,Internal,Smt Karuna Sharma Superintendent Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt,Dalip singh Patial,23-Jun-2020 10:43 AM,finsummary_55099.pdf (315.53 KB),12-Mar-2021,"INR 2,989,950",180.0,Munish Bhopal,13-Oct-2021 04:12 PM,AOC.pdf (565.00 KB),work awarded to SHARMA ELECTRICAL CO. being L1 firm,PWD,2020_PWD_37392_1,PW/MED/TA/NIT/ e-notice/20-21-79-85 dt 08.05.2020,"Construction of Sanskriti Sadan at Motipur, District Mandi HP SH Supplying, Installation, Testing and Commissioning of 250 KVA Silent D.G Set therein",Er Dalip Singh Patial EE,Internal,Smt Karuna Sharma Superintendent Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt,Dalip singh Patial,20-Jun-2020 11:50 AM,20-Jun-2020 12:00 PM,techsummary_55099.pdf (403.95 KB),AOC,26-May-2020 10:00 AM,06-Jun-2020 11:00 AM,26-May-2020 10:00 AM,04-Jun-2020 06:00 PM,NA ,NA ,26-May-2020 10:00 AM,04-Jun-2020 06:00 PM,20-Jun-2020 12:00 PM,"1,500","Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,No,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER INDICATED IN SCHEDULE F,",1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"Construction of Sanskriti Sadan at Motipur, District Mandi HP SH Supplying, Installation, Testing and Commissioning of 250 KVA Silent D.G Set therein","Construction of Sanskriti Sadan at Motipur, District Mandi HP SH Supplying, Installation, Testing and Commissioning of 250 KVA Silent D.G Set therein",Please refer to bid document  ,NA ,"29,50,517",Electrical Works,NA ,Tender,120.0,180.0,Motipur,175001.0,NA ,NA ,NA ,"Electrical Division, HP.PWD Mandi H.P",No ,No,"51,800",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,PWD,PW/MED/TA/NIT/ e-notice/20-21-79-85 dt 08.05.2020,2020_PWD_37392_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,"Executive Engineer, Electrical Division, HP.PWD Ma","Executive Engineer, Electrical Division, HP.PWD Mandi",AOC
,,,,,,,,,,,,,,,,2.0,160481.0,Kalra Hardware and Electric Store,03-Jun-2020 03:06 PM,Rejected-Technical,bid responsive but disqualified,20-Jun-2020 11:50 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY INDICATED IN SHEDULE F,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,AOC
,,,,,,,,,,,,,,,,3.0,160212.0,KUMAR ELECTRONICS CO.,01-Jun-2020 01:33 PM,Rejected-Finance,Rejected being L2 firm,23-Jun-2020 10:43 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,Approved OEM of DG Set or Electrical Contractor Class A duly authorized by the approved OEM DG Set,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,159821.0,SHARMA ELECTRICAL CO.,29-May-2020 12:21 PM,Accepted-AOC,work awarded being L1,13-Oct-2021 04:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES NO. 21,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,Financial turnover of last three years as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
