Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Copy of receipt of online payment on account of cost of tender form and earnest money,PWD,EE Dehra letter No.3182-86 dated 22.07.2021,2021_PWD_50682_20,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,350.0,Nil,Nil,No,A/R and M/O various roads under Haripur Sub-Division,Providing and supplying,Please refer to tender document ,NA ,,Civil Works,supply ,Tender,75.0,30.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,04-Aug-2021 10:00 AM,10-Aug-2021 11:30 AM,04-Aug-2021 10:00 AM,09-Aug-2021 06:00 PM,04-Aug-2021 10:00 AM ,06-Aug-2021 04:00 PM ,04-Aug-2021 10:00 AM,09-Aug-2021 06:00 PM,08-Sep-2021 10:30 AM,Executive Engineer,Dehra Division HPPWD Dehra,1.0,ICICI BANK,"4,200",No,fixed,,Nil,Nil,AOC,08-Oct-2021,"INR 186,750",30.0,Dinesh Kumar Dhiman,08-Oct-2021 05:27 PM,Award-50682-20.pdf (657.00 KB),Award of work issued,1.0,228323.0,Ashok Kumar,INR,"186,750",EE Dehra,Internal,AE to EE Dehra DAO Dehra DHD Dehra Superintendent Dehra,Dinesh Kumar Dhiman,04-Oct-2021 02:18 PM,finsummary_75808.pdf (180.50 KB),PWD,2021_PWD_50682_20,EE Dehra letter No.3182-86 dated 22.07.2021,A/R and M/O various roads under Haripur Sub-Division,Finance,Financial bid opening summary,Dinesh Kumar Dhiman,01-Oct-2021 01:12 PM,finance_75808.pdf,BOQ Comparative Chart,EE Dehra,Internal,AE to EE Dehra DAO Dehra Superintendent Dehra DHD Dehra,Dinesh Kumar Dhiman,07-Sep-2021 04:46 PM,08-Sep-2021 10:30 AM,techsummary_75808.pdf (341.91 KB),Technical,opening summary,Dinesh Kumar Dhiman,27-Aug-2021 01:12 PM,technical_75808.pdf,1.0,228323.0,Ashok Kumar,08-Aug-2021 09:45 AM,Accepted-AOC,Work awarded being lowest bid amount,08-Oct-2021 05:27 PM,AOC
,,.pdf,Copy of valid enlistment in appropriate class as per enlistment rules 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,228013.0,NISHANT SHARMA GOV CONTRACTER,06-Aug-2021 07:30 PM,Rejected-AOC,Rejected being highest bid amount,08-Oct-2021 05:27 PM,AOC
,,.pdf,Copy of GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,227845.0,RAJIV SHARMA GOVT CONTRACT SERVICE,09-Aug-2021 01:07 PM,Rejected-AOC,Rejected being highest bid amount,08-Oct-2021 05:27 PM,AOC
,,.pdf,Form 8 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,228559.0,vishev jyoti govt. cont.,09-Aug-2021 02:46 PM,Rejected-Technical,Non Responsive,07-Sep-2021 04:46 PM,AOC
,,.pdf,Aff showing the name of bid regarding correctness of documents/information furnished with the bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,228241.0,WALIA CONSTRUCTIONS,07-Aug-2021 04:44 PM,Rejected-Technical,Non Responsive,07-Sep-2021 04:46 PM,AOC
,,.pdf,Aff. showing the detail of near relatives who are working in HPPWD as Gazetted/non Gazetted officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit with the declaration that he has not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Copy of PAN card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Copy of registration under EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
