Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"2,000",EE CHOPAL,CHOPAL,No,1.0,DD - Demand Draft,"9,76,300",Yes,fixed,,EE CHOPAL,CHOPAL,PWD,PW_CHD_CBE9/2020-13506-13556 dt 20-03-2021,2021_PWD_45923_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,24-Mar-2021 06:00 PM,09-Apr-2021 11:00 AM,24-Mar-2021 06:00 PM,07-Apr-2021 06:00 PM,NA ,NA ,24-Mar-2021 06:00 PM,07-Apr-2021 06:00 PM,24-Apr-2021 11:50 AM,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),C/o Link road from huin to Nagah via dhar Kanda Batewari in Km 0/0 to 8/00,Formation cutting R wall and B wall HPC Essential soling road side katcha drain essential parapetrs F Singh bord Km. stone and dumping structure etc in Km. 0.0 to 8/00 under NABARD RIDF XXIV,Please refer Tender documents. ,NA ,"4,88,14,463",Civil Works - Roads,NA ,Tender,120.0,60.0,CHOUPAL,171211.0,NA ,NA ,NA ,CHOPAL,No ,No,EE CHOPAL,HPPWD CHOPAL,AOC,1.0,207706.0,Trilok Singh Rathour,06-Apr-2021 06:27 PM,Accepted-AOC,Accepted,30-Oct-2021 11:54 AM,Technical,Bid Opening Summary,J.C. Kango,24-Apr-2021 11:38 AM,technical_69128.pdf,Finance,Bid Opening Summary,J.C. Kango,03-Jun-2021 05:46 PM,finance_69128.pdf,BOQ Comparative Chart,1.0,207706.0,Trilok Singh Rathour,INR,"50,571,071",PWD,2021_PWD_45923_1,PW_CHD_CBE9/2020-13506-13556 dt 20-03-2021,C/o Link road from huin to Nagah via dhar Kanda Batewari in Km 0/0 to 8/00,Er JC Kanungo,Internal,Er JC Kanungo Suptt DAO DHD TA,J.C. Kango,24-Apr-2021 11:48 AM,24-Apr-2021 11:50 AM,techsummary_69128.pdf (450.59 KB),Er JC Kanungo,Internal,Er JC Kanungo Suptt DAO DHD TA,J.C. Kango,30-Oct-2021 11:53 AM,finsummary_69128.pdf (42.38 KB),30-Oct-2021,"INR 50,571,071",60.0,J.C. Kango,30-Oct-2021 11:54 AM,AOC.pdf (44.00 KB),AOC,AOC
,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,AOC,2.0,207711.0,Uttej Rathour,06-Apr-2021 06:51 PM,Rejected-AOC,Rejected,30-Oct-2021 11:54 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done/ Work In Hand As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
