Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,Prebid,Arvind Lakhanpal,18-Sep-2021 03:28 PM,finance_75809.pdf,BOQ Comparative Chart,1.0,227897.0,Piar Chand Chauhan,INR,"3,992,625",Technical,summary,Arvind Lakhanpal,16-Aug-2021 03:49 PM,technical_75809.pdf,1.0,229674.0,MSC Roads and Bridges Private Limited,12-Aug-2021 05:53 PM,Rejected-AOC,Higher,21-Oct-2021 10:36 AM,EE,Internal,SUPDT/HDM/DAO,Arvind Lakhanpal,18-Sep-2021 03:35 PM,finsummary_75809.pdf (115.54 KB),06-Oct-2021,"INR 5,073,233",60.0,Arvind Lakhanpal,21-Oct-2021 10:36 AM,PiarChandMicroKhiah.pdf (142.00 KB),AOC,PWD,2021_PWD_50698_1,No.PWD/TDD/GA-TD-,(i) Link road Khaih to Bhatera Via Thalakna Bharnot in Km. 0/0 to 1/0 (ii) Rain shelter to Bhalana to Chuhak Swahal in Km. 0/0 to 0/600 (iii) Ranger Dhail Khad in Km. 1/0 to 3/0 (iv) link road to Kashiri Mahadev Duhak Chhatruroo road in Km. 3/0 to 5/,EE,Internal,SUPDT/HDM/DAO/AE,Arvind Lakhanpal,19-Aug-2021 06:05 PM,21-Aug-2021 10:30 AM,techsummary_75809.pdf (212.48 KB),AOC,1.0,ICICI BANK,"83,500",No,fixed,,Nil,Nil,1.0,corrigendum,Date,,PWD,No.PWD/TDD/GA-TD-,2021_PWD_50698_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,fee,02-Aug-2021 04:25 PM,13-Aug-2021 11:00 AM,02-Aug-2021 04:25 PM,13-Aug-2021 11:00 AM,NA ,NA ,02-Aug-2021 04:25 PM,13-Aug-2021 11:00 AM,21-Aug-2021 10:30 AM,"Executive Engineer, HPPWD Division Tauni Devi","Executive Engineer, HPPWD Division Tauni Devi",(i) Link road Khaih to Bhatera Via Thalakna Bharnot in Km. 0/0 to 1/0 (ii) Rain shelter to Bhalana to Chuhak Swahal in Km. 0/0 to 0/600 (iii) Ranger Dhail Khad in Km. 1/0 to 3/0 (iv) link road to Kashiri Mahadev Duhak Chhatruroo road in Km. 3/0 to 5/,P/L micro surfacing for preventive maintenance of various roads,Please refer Tender documents. ,NA ,"50,73,233",Civil Works,NA ,Tender,90.0,60.0,Tauni Devi Executive Engineer,177023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Tauni Devi",No ,No,"2,000",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,2.0,229610.0,M/S R.R.Builders,12-Aug-2021 04:40 PM,Rejected-AOC,Higher,21-Oct-2021 10:36 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,2.0,corrigendum,Technical Bid,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,227897.0,Piar Chand Chauhan,12-Aug-2021 04:50 PM,Accepted-AOC,Lowest 1,21-Oct-2021 10:36 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration(General Rule No. 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,228223.0,S.S.Chauhans Construction Private Limted,08-Aug-2021 06:52 PM,Rejected-AOC,Higher,21-Oct-2021 10:36 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No. along with latest return of GST ( also see General Rule 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate (General Rule No. 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate (General Rule No.19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool , Plant for micro surfacing as per SBD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Document proof/Deed/Registration Certificate any other for Micro Surfacing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
