Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
27-Oct-2021,"INR 1,465,151.25",270.0,Manish Sehgal,27-Oct-2021 02:55 PM,AOC.pdf (592.00 KB),AOC,Sh Manish Sehgal,Internal,,Manish Sehgal,27-Oct-2021 02:46 PM,finsummary_49341.pdf (68.72 KB),Sh Manish Sehgal,Internal,Manjeet Kumar TA Harjeet Singh Supdt Pawan Kumar HDM Dayal Singh Sr Asst Bhumi Dev Rana AE to EE,Manish Sehgal,04-Feb-2020 04:50 PM,04-Feb-2020 04:55 PM,techsummary_49341.pdf (1032.41 KB),PWD,2020_PWD_34013_1,6198-57 HPPWD Bhawarna,Construction of Veterinary Dispensary Kiarwan District Kangra (HP),Technical,BID OPENING SUMMARY,Manish Sehgal,04-Feb-2020 04:44 PM,technical_49341.pdf,1.0,146037.0,Alpna Sharma,20-Jan-2020 10:45 AM,Rejected-AOC,Bidder Rank-L2,27-Oct-2021 02:55 PM,Finance,2020_PWD_34013_1,Manish Sehgal,27-Oct-2021 02:42 PM,finance_49341.pdf,BOQ Comparative Chart,1.0,145547.0,Ashok,INR,"1,465,151",AOC,13-Jan-2020 03:25 PM,21-Jan-2020 11:30 AM,13-Jan-2020 03:30 PM,21-Jan-2020 11:00 AM,NA ,NA ,13-Jan-2020 03:35 PM,21-Jan-2020 11:00 AM,04-Feb-2020 04:55 PM,Construction of Veterinary Dispensary Kiarwan District Kangra (HP),"Construction of building portion including water supply and sanitary installation, construction of septic tank and providing rain water harvesting system",Please refer Tender documents. ,NA ,"12,35,210",Civil Works - Buildings,NA ,Tender,120.0,270.0,Bhawarna,176083.0,NA ,NA ,NA ,Bhawarna,No ,No,PWD,6198-57 HPPWD Bhawarna,2020_PWD_34013_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,500.0,EE Bhawarna,EE Bhawarna,No,1.0,DD - Demand Draft,Executive Engineer,HPPWD Division Bhawarna,"24,800",No,fixed,,EE Bhawarna,EE Bhawarna,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document in shape of D.D. as per SBD.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,145547.0,Ashok,18-Jan-2020 03:40 PM,Accepted-AOC,Bidder Rank-L1,27-Oct-2021 02:55 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,.pdf,Earnest money/Bid Security in shape of F.D.R. as per SBD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,145526.0,ISHWAR SINGH RANA,20-Jan-2020 11:31 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Feb-2020 04:44 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,145556.0,M/S KEWAL KRISHAN,18-Jan-2020 04:50 PM,Rejected-AOC,Bidder Rank-L3,27-Oct-2021 02:55 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with the bid are true,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and Equipment as per SBD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the Contractor,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Card,AOC
