Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,prebid,Arvind Lakhanpal,18-Sep-2021 03:50 PM,None,BOQ Comparative Chart,1.0,227895.0,Piar Chand Chauhan,INR,"5,982,600",Technical,summary,Arvind Lakhanpal,16-Aug-2021 03:56 PM,None,1.0,229675.0,MSC Roads and Bridges Private Limited,12-Aug-2021 06:02 PM,Rejected-AOC,Higher,21-Oct-2021 10:40 AM,06-Oct-2021,"INR 7,601,796",60.0,Arvind Lakhanpal,21-Oct-2021 10:40 AM,PiarChandMicroSujanpur.pdf (137.00 KB),AOC,EE,Internal,SUPDT/HDM/DAO,Arvind Lakhanpal,18-Sep-2021 03:58 PM,finsummary_75823.pdf (114.56 KB),EE,Internal,SUPDT/HDM/DAO/AE,Arvind Lakhanpal,19-Aug-2021 06:08 PM,21-Aug-2021 10:30 AM,techsummary_75823.pdf (132.37 KB),PWD,2021_PWD_50698_2,No.PWD/TDD/GA-TD-,(i) Sujanpur Sandhol Marhi road in Km. 4/0 to 11/0 and 11/0 to 12/00 (ii) Tauni Devi hal Kakkar Bajrol Jungle Beri road In Km. 15/0 to 18/0,AOC,"2,000",Nil,Nil,No,02-Aug-2021 04:45 PM,13-Aug-2021 11:00 AM,02-Aug-2021 04:45 PM,13-Aug-2021 11:00 AM,NA ,NA ,02-Aug-2021 04:45 PM,13-Aug-2021 11:00 AM,21-Aug-2021 10:30 AM,PWD,No.PWD/TDD/GA-TD-,2021_PWD_50698_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,08,500",No,fixed,,Nil,Nil,1.0,corrigendum,Date,,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,fee,"Executive Engineer, HPPWD Division Tauni Devi","Executive Engineer, HPPWD Division Tauni Devi",(i) Sujanpur Sandhol Marhi road in Km. 4/0 to 11/0 and 11/0 to 12/00 (ii) Tauni Devi hal Kakkar Bajrol Jungle Beri road In Km. 15/0 to 18/0,P/L micro surfacing for preventive maintenance of various roads MDR-38 MDR-105,Please refer Tender documents. ,NA ,"76,01,796",Civil Works,NA ,Tender,90.0,60.0,Tauni Devi Executive Engineer,177023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Tauni Devi",No ,No,AOC
,,,,,,,,,,,,,,,,2.0,229609.0,M/S R.R.Builders,12-Aug-2021 04:27 PM,Rejected-AOC,Higher,21-Oct-2021 10:40 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,corrigendum,Technical Bid,,2.0,ICICI NEFT/RTGS,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,227895.0,Piar Chand Chauhan,12-Aug-2021 04:41 PM,Accepted-AOC,Lowest 1,21-Oct-2021 10:40 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration(General Rule No. 23),,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,228225.0,S.S.Chauhans Construction Private Limted,08-Aug-2021 06:54 PM,Rejected-AOC,Higher,21-Oct-2021 10:40 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No. along with latest return of GST ( also see General Rule 21),,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate (General Rule No. 19),,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate (General Rule No.19),,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool , Plant for micro surfacing as per SBD",,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Document proof/Deed/Registration Certificate any other for Micro Surfacing,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,AOC
