Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
Technical,Bid opening summary,Manish Sehgal,03-Mar-2020 01:02 PM,technical_50826.pdf,1.0,149352.0,M/s Kamala Enterprises,14-Feb-2020 11:03 AM,Accepted-AOC,Bidder Rank-L1,27-Oct-2021 04:02 PM,Finance,Bid opening summary,Manish Sehgal,27-Oct-2021 03:56 PM,finance_50826.pdf,BOQ Comparative Chart,1.0,149352.0,M/s Kamala Enterprises,INR,"1,331,349",27-Oct-2021,"INR 1,473,372.5",90.0,Manish Sehgal,27-Oct-2021 04:02 PM,AOC.pdf (1087.00 KB),AOC,Sh Manish Sehgal,Internal,,Manish Sehgal,27-Oct-2021 03:58 PM,finsummary_50826.pdf (469.45 KB),Sh Manish Sehgal,Internal,Bhumi Dev Rana AE to EE Harjeet Singh Supdt Pawan Kumar Gupta HDM Rajesh Sood Sr DAO Manjeet Kumar TA,Manish Sehgal,03-Mar-2020 01:05 PM,03-Mar-2020 01:10 PM,techsummary_50826.pdf (861.52 KB),PWD,2020_PWD_34689_1,Panyali to Taperh road in Km 6/0 to 7/0,Providing and laying Annual Surfacing (Periodic Maintenance) on Panyali to Taperh road in Km 6/0 to 7/0 (during the year 2020-21) of Rural roads in the state of HP,AOC,07-Feb-2020 03:15 PM,15-Feb-2020 12:00 PM,07-Feb-2020 03:20 PM,15-Feb-2020 11:00 AM,NA ,NA ,07-Feb-2020 03:40 PM,15-Feb-2020 11:00 AM,03-Mar-2020 01:10 PM,350.0,EE Bhawarna,Bhawarna,No,1.0,DD - Demand Draft,PWD,Panyali to Taperh road in Km 6/0 to 7/0,2020_PWD_34689_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form.In shape of demand draft as per SBD.,Providing and laying Annual Surfacing (Periodic Maintenance) on Panyali to Taperh road in Km 6/0 to 7/0 (during the year 2020-21) of Rural roads in the state of HP,"Providing and laying Tack coat, Bituminous Concrete, Thermoplastic Paint and C/o V-shape drain in between Km 6/0 to 7/0",Please refer Tender documents. ,NA ,"9,90,592",Civil Works - Roads,NA ,Tender,120.0,90.0,Bhawarna,176083.0,NA ,NA ,NA ,EE Bhawarna,No ,No,"19,900",No,fixed,,EE Bhawarna,Bhawarna,E.E. HPPWD Division Bhawarna,E.E. HPPWD Division Bhawarna,AOC
,,,,,2.0,149590.0,Sanjeev,15-Feb-2020 01:48 AM,Rejected-AOC,Bidder Rank-L2,27-Oct-2021 04:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,.pdf,"Earnest money in shape of FDR duly pledged in favour of Executive Engineer, Bhawarna Division, HPPWD",,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HP PWD department.,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the contractor.,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN.,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
