Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,S.No.1,Instrument Type,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
PWD,PW/MED/TA/NIT/ e-notice/20-21-5567-73 dt 03.12.20,2020_PWD_43328_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"36,800",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,500.0,"Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,No,"Providing Fire Alarm and Public Addressable System at Combined Office Building at Thunag, District Mandi HP","Providing Fire Alarm and Public Addressable System at Combined Office Building at Thunag, District Mandi HP",Please refer to bid document ,NA ,,Electrical Works,NA ,Tender,75.0,365.0,Thunag,175048.0,NA ,NA ,NA ,"Electrical Division, HP.PWD Mandi H.P",No ,No,18-Dec-2020 09:00 AM,24-Dec-2020 11:30 AM,18-Dec-2020 09:00 AM,23-Dec-2020 06:00 PM,NA ,NA ,18-Dec-2020 09:00 AM,23-Dec-2020 06:00 PM,04-Mar-2021 03:05 PM,"Executive Engineer, Electrical Division, HP.PWD Ma","Executive Engineer, Electrical Division, HP.PWD Mandi",1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER and EARNEST MONEY INDICATED IN SCHEDULE F,",1.0,DD - Demand Draft,AOC,PWD,2020_PWD_43328_1,PW/MED/TA/NIT/ e-notice/20-21-5567-73 dt 03.12.20,"Providing Fire Alarm and Public Addressable System at Combined Office Building at Thunag, District Mandi HP",Er Dalip Singh Patial EE,Internal,Smt Karuna Sharma Superintendent Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt,Dalip singh Patial,04-Mar-2021 03:04 PM,04-Mar-2021 03:05 PM,techsummary_64212.pdf (336.47 KB),Er Dalip Singh Patial EE,Internal,Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt Sh Manish Kumar TA,Dalip singh Patial,17-Jun-2021 05:02 PM,finsummary_64212.pdf (299.16 KB),12-Aug-2021,"INR 1,795,660",365.0,Munish Bhopal,08-Oct-2021 04:16 PM,AOC.pdf (559.00 KB),work awarded to AMBICA ELECTRICALS being L1 firm,1.0,193452.0,AMBICA ELECTRICALS,INR,"1,795,660",Finance,financial summary,Dalip singh Patial,17-Jun-2021 04:58 PM,finance_64212.pdf,BOQ Comparative Chart,1.0,193452.0,AMBICA ELECTRICALS,23-Dec-2020 03:53 PM,Accepted-AOC,work awarded,08-Oct-2021 04:16 PM,Technical,technical bid summary,Dalip singh Patial,04-Mar-2021 02:56 PM,technical_64212.pdf,AOC
,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OEM (Fire alarm) or auth agency of OEM / firm authorized for executing specl job by HPPWD E,2.0,FDR - Fixed Deposit,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,193520.0,COMPLETE COOLING SOLUTIONS LLP,23-Dec-2020 05:29 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Mar-2021 02:56 PM,,,,,,AOC
,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES NO. 21,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,193497.0,KUMAR ELECTRONICS CO.,23-Dec-2020 03:07 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Mar-2021 02:56 PM,,,,,,AOC
,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,193494.0,NITIN PROP A VIGHNA ELECTRICALS,23-Dec-2020 02:56 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Mar-2021 02:56 PM,,,,,,AOC
,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial turnover of last three years as per Technical qualification criteria,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,193018.0,SHARMA ELECTRICAL CO.,22-Dec-2020 03:49 PM,Rejected-Technical,bid responsive but disqualified,04-Mar-2021 03:04 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,192660.0,Vowels Technology and Services,23-Dec-2020 11:30 AM,Rejected-Finance,Rejected being L2 firm,17-Jun-2021 05:02 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
