S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
1.0,231627.0,HARINDER KUMAR VERMA.,INR,"839,527","HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2021_HPIPH_51326_8,NHN-SMROO-722-TA-Tender- 6621-70 dated 16/08/2021,Providing FHTC by Aug. of LWSS Sarol Chamenji under JJM in GP Chamenji Tehsil Pachhad Distt. Sirmour HP,Er Ashish Rana EE,Internal,DM HDM EE,Ashish Rana,06-Oct-2021 12:52 PM,finsummary_76728.pdf (664.77 KB),1.0,231659.0,ANOOP VERMA,24-Aug-2021 06:28 PM,Rejected-Finance,Reject,06-Oct-2021 12:52 PM,Er Ashish Rana EE,Internal,TA Supdt HDM DAO EE,Ashish Rana,01-Sep-2021 12:20 PM,01-Sep-2021 12:25 PM,techsummary_76728.pdf (144.62 KB),Technical,Technical Bid Opening Summary,Ashish Rana,01-Sep-2021 12:19 PM,technical_76728.pdf,Finance,Financial Bid Opening Summary,Ashish Rana,01-Sep-2021 01:27 PM,finance_76728.pdf,BOQ Comparative Chart,06-Oct-2021,"INR 682,381",90.0,Ashish Rana,06-Oct-2021 01:27 PM,AOC.pdf (665.00 KB),Award to Contractor,AOC,"13,648",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMROO-722-TA-Tender- 6621-70 dated 16/08/2021,2021_HPIPH_51326_8,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,ICICI BANK,17-Aug-2021 05:00 PM,25-Aug-2021 11:30 AM,17-Aug-2021 05:00 PM,25-Aug-2021 11:00 AM,NA ,NA ,17-Aug-2021 05:00 PM,25-Aug-2021 11:00 AM,01-Sep-2021 12:25 PM,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as mentioned in NIT,Providing FHTC by Aug. of LWSS Sarol Chamenji under JJM in GP Chamenji Tehsil Pachhad Distt. Sirmour HP,Laying jointing and testing of GMS pipes of various dia distribution system and Providing FHTC for house hold connection) under JJM,Please refer Tender documents. ,NA ,"6,82,381",Pipe Laying Works,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,250.0,Executive Engineer Jal Shakti Division Nahan,Nahan,No,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,AOC
,,,,,,,,,,,,,,,2.0,231917.0,BHAW SINGH KAPOOR CONTRACTOR,24-Aug-2021 03:21 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Sep-2021 12:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,.pdf,Cost of Tender Form as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3.0,231627.0,HARINDER KUMAR VERMA.,24-Aug-2021 06:22 PM,Accepted-AOC,AOC,06-Oct-2021 01:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration in JSV vibhag as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4.0,231983.0,RAVI DUTT CONTRACTOR,24-Aug-2021 04:37 PM,Rejected-Finance,Reject,06-Oct-2021 12:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration copy as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN and GST No. as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking Joint Venture is not allowed as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking carefully study all terms and conditions as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit specifying that the benefit availed under earnest money exemption has not been exhausted s,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC
