Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
PWD,PW/MED/TA/NIT/ e-notice/21-22-903-13 dt 05.05.21,2021_PWD_47580_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,ICICI BANK,"Executive Engineer, Electrical Division, HP.PWD M","Executive Engineer, Electrical Division, HP.PWD Mandi",20-May-2021 10:00 AM,27-May-2021 11:30 AM,20-May-2021 10:00 AM,27-May-2021 10:00 AM,NA ,NA ,20-May-2021 10:00 AM,27-May-2021 10:00 AM,11-Jun-2021 01:00 PM,"19,950",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER and EARNEST MONEY as INDICATED IN SHEDULE F,500.0,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,No,"Construction of Additional Accommodation at Circuit House Mandi, District Mandi HP SH Providing E I in Attic floor left side Passenger additional suits and Yard lighting therein","Construction of Additional Accommodation at Circuit House Mandi, District Mandi HP SH Providing E I in Attic floor left side Passenger additional suits and Yard lighting therein",Please refer to bid document  ,NA ,,Electrical Works,NA ,Tender,75.0,365.0,Mandi,175001.0,NA ,NA ,NA ,"Electrical Division, HPPWD Mandi H.P",No ,No,AOC,1.0,213449.0,Man Singh,INR,"967,980",Finance,finsummary,Dalip singh Patial,23-Jun-2021 02:44 PM,finance_71396.pdf,BOQ Comparative Chart,1.0,213465.0,Krishana Traders,24-May-2021 12:06 PM,Rejected-Finance,Rejected being L2 firm/ contractor,23-Jun-2021 02:59 PM,Technical,techbidsummary,Dalip singh Patial,11-Jun-2021 11:45 AM,technical_71396.pdf,PWD,2021_PWD_47580_1,PW/MED/TA/NIT/ e-notice/21-22-903-13 dt 05.05.21,"Construction of Additional Accommodation at Circuit House Mandi, District Mandi HP SH Providing E I in Attic floor left side Passenger additional suits and Yard lighting therein",Er Dalip Singh Patial EE,Internal,Smt Karuna Sharma Superintendent Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt,Dalip singh Patial,11-Jun-2021 12:57 PM,11-Jun-2021 01:00 PM,techsummary_71396.pdf (360.26 KB),Er Dalip Singh Patial EE,Internal,Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt Sh Manish Kumar TA,Dalip singh Patial,23-Jun-2021 02:59 PM,finsummary_71396.pdf (284.18 KB),19-Aug-2021,"INR 967,980",365.0,Munish Bhopal,16-Oct-2021 12:12 PM,AOC.pdf (556.00 KB),work awarded to Man Singh being L1,AOC
,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,.pdf,CONTRACTORS REGISTRATION in HPPWD in appropriate Class B or C (Electrical) with valid Elect license,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,213780.0,LAL SINGH CONTRACTOR,26-May-2021 02:24 PM,Rejected-Finance,Rejected being L2 firm/ contractor,23-Jun-2021 02:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,.pdf,"PAN, GST and EPF REGITRATION GENERAL RULES NO. 21",,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,213449.0,Man Singh,24-May-2021 11:58 AM,Accepted-AOC,work awarded,16-Oct-2021 12:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,.pdf,FORM NO 7/8 duly signed REFER GENERAL RULES NO 26.7,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4.0,213921.0,NITIN PROP A VIGHNA ELECTRICALS,27-May-2021 01:54 AM,Rejected-Technical,Bid non responsive and unqualified,11-Jun-2021 12:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5.0,213778.0,PRAGATI ELECTRICAL AND ELECTRONIC CO,26-May-2021 11:10 AM,Rejected-Technical,Bid non responsive and unqualified,11-Jun-2021 12:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,6.0,213838.0,VISHAL ELECTONICS,26-May-2021 03:03 PM,Rejected-Technical,Bid non responsive and unqualified,11-Jun-2021 12:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES 16,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information being furnished with the bid is true and correct in all respect,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the bidder has not been blacklisted in any Govt Deptt / Board / PSU.,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
