EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Category,Sub Category,Sub Category Description,Format/File,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"11,900",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,"Executive Engineer, Electrical Division, HP.PWD M","Executive Engineer, Electrical Division, HP.PWD Mandi",350.0,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,No,PWD,PW/MED/TA/NIT/ e-notice/21-22-1074-84 dt 17.05.21,2021_PWD_47979_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,03-Jun-2021 10:00 AM,14-Jun-2021 11:30 AM,03-Jun-2021 10:00 AM,14-Jun-2021 10:00 AM,NA ,NA ,03-Jun-2021 10:00 AM,14-Jun-2021 10:00 AM,23-Jun-2021 12:30 PM,Providing and fixing International Cooling Visual Control ICVC Parametre in Shri Lal Bahadur Shastri Govt. Medical College at Nerchowk District Mandi HP,Providing and fixing International Cooling Visual Control ICVC Parametre in Shri Lal Bahadur Shastri Govt. Medical College at Nerchowk District Mandi HP,Please refer to bid document ,NA ,,Electrical Works,NA ,Tender,75.0,60.0,Nerchowk,175008.0,NA ,NA ,NA ,"Electrical Division, HPPWD Mandi H.P",No ,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER and EARNEST MONEY as INDICATED IN SHEDULE F,1.0,ICICI BANK,AOC,Er Dalip Singh Patial EE,Internal,Smt Karuna Sharma Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt,Dalip singh Patial,23-Jun-2021 12:09 PM,23-Jun-2021 12:30 PM,techsummary_71914.pdf (332.13 KB),PWD,2021_PWD_47979_1,PW/MED/TA/NIT/ e-notice/21-22-1074-84 dt 17.05.21,Providing and fixing International Cooling Visual Control ICVC Parametre in Shri Lal Bahadur Shastri Govt. Medical College at Nerchowk District Mandi HP,30-Jun-2021,"INR 576,500",60.0,Munish Bhopal,08-Oct-2021 02:56 PM,AOC.pdf (529.00 KB),Work awarded to L1 firm M/s Sharma Elect co,Er Dalip Singh Patial EE,Internal,Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt Sh Manish Kumar TA,Dalip singh Patial,29-Jun-2021 04:14 PM,finsummary_71914.pdf (299.11 KB),1.0,216616.0,PRAGATI ELECTRICAL AND ELECTRONIC CO,14-Jun-2021 09:56 AM,Rejected-Finance,Rejected being L2 firm/ contractor,29-Jun-2021 04:14 PM,Technical,Technical bid summary,Dalip singh Patial,23-Jun-2021 11:06 AM,technical_71914.pdf,1.0,216441.0,SHARMA ELECTRICAL CO.,INR,"576,500",Finance,finsummary,Dalip singh Patial,29-Jun-2021 04:06 PM,finance_71914.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,.pdf,OEM (HVAC system) / Auth. Agency of OEM / approved firm for executing specialized job by HPPWD E,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,216441.0,SHARMA ELECTRICAL CO.,13-Jun-2021 11:57 AM,Accepted-AOC,awarded being L1,08-Oct-2021 02:56 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,.pdf,"PAN, GST and EPF REGITRATION GENERAL RULES NO. 21",,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,.pdf,"FORM NO 7/8 duly signed REFER GENERAL RULES NO 26.7,",,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES 16,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information being furnished with the bid is true and correct in all respect,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the bidder has not been blacklisted in any Govt Deptt / Board / PSU.,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
