Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
23-Aug-2021 01:35 PM,31-Aug-2021 11:00 AM,23-Aug-2021 02:00 PM,30-Aug-2021 05:00 PM,NA ,NA ,23-Aug-2021 02:00 PM,30-Aug-2021 05:00 PM,06-Sep-2021 11:00 AM,PWD,C/O Shaheed Pancham Chand Village Gander,2021_PWD_51534_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"16,000",No,fixed,,Nil,Nil,C/O Shaheed Pancham Chand Village Gander P.O. Marera Km 0/0 to 0/175,"Improvement and widening of road at RD 0/070 to 0/0175, C/O Edge wall at RD 0/040 to 0/055(left side) and 0/058 to 0/068 (Both side) and C/O 2.00 mtr span RCC slab culvert at RD 0/057) (MMGSY)",Please refer Tender documents. ,NA ,"7,87,326",Civil Works - Roads,NA ,Tender,75.0,60.0,Jaisinghpur,176095.0,NA ,NA ,NA ,Jaisinghpur,No ,No,Executive Engineer,"Executive Engineer, HP.PWD Division Jaisinghpur",1.0,Fee/PreQual/Technical,.pdf,The valid enlistment/registration of contractor in appropriate class,1.0,ICICI BANK,350.0,Nil,Nil,No,AOC,Executive Engineer,Internal,"Executive Engineer, Supdt G-II, HDM, DA",R.K Dhiman,04-Sep-2021 12:42 PM,06-Sep-2021 11:00 AM,techsummary_77017.pdf (244.28 KB),PWD,2021_PWD_51534_1,C/O Shaheed Pancham Chand Village Gander,C/O Shaheed Pancham Chand Village Gander P.O. Marera Km 0/0 to 0/175,24-Sep-2021,"INR 787,327",60.0,R.K Dhiman,07-Oct-2021 11:58 AM,Award.pdf (415.00 KB),Award,Executive Engineer,Internal,"Executive Engineer, Supdt G-II, HDM",R.K Dhiman,08-Sep-2021 11:28 AM,finsummary_77017.pdf (223.21 KB),1.0,232315.0,AJAY KUMAR,30-Aug-2021 01:42 PM,Rejected-AOC,Rejected due to higher rates bidder L2,07-Oct-2021 11:58 AM,Technical,Summary,R.K Dhiman,04-Sep-2021 12:40 PM,technical_77017.pdf,Finance,Summary,R.K Dhiman,08-Sep-2021 11:24 AM,finance_77017.pdf,BOQ Comparative Chart,1.0,232560.0,ASHWANI KUMAR,INR,"827,503",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST/PAN/ EPF,2.0,ICICI NEFT/RTGS,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,232560.0,ASHWANI KUMAR,28-Aug-2021 02:44 PM,Accepted-AOC,Accepted due to lowest rates bidder L1,07-Oct-2021 11:58 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done detail/work in hand in last five year with base year indicated in performa of Schedule F i,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,232380.0,jeevan rana,27-Aug-2021 12:46 PM,Rejected-AOC,Rejected due to higher rates bidder L3,07-Oct-2021 11:58 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate and one work not less than 40 percent of estimated cost in similar nature,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,232772.0,SUDHA THAKUR,28-Aug-2021 07:16 PM,Rejected-AOC,Rejected due to higher rates bidder L4,07-Oct-2021 11:58 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery along with photo copy of RC and staff,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HPPWD department attested by notary / 1st class maji,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the contractor has not more than two work in hand attested by notary / 1st class maji,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid (Name of work) is correct in all respect. attested,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 duly signed on judicial paper.,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender form (Indicated in schedule F),,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
