S.No,Category,Sub Category,Sub Category Description,Format/File,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Instrument Type,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"1,500","Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,No,"Construction of 50 Bedded Hospital at Bagsaid, District Mandi HP SH Providing and installation of Fire Fighting System therein","Construction of 50 Bedded Hospital at Bagsaid, District Mandi HP SH Providing and installation of Fire Fighting System therein",Please refer to bid document ,NA ,"29,25,667",Electrical Works,NA ,Tender,120.0,180.0,Bagsaid,175035.0,NA ,NA ,NA ,"Electrical Division, HP.PWD Mandi H.P",No ,No,1.0,DD - Demand Draft,"Executive Engineer, Electrical Division, HP.PWD Ma","Executive Engineer, Electrical Division, HP.PWD Mandi",16-Apr-2020 10:00 AM,27-Apr-2020 11:00 AM,16-Apr-2020 10:00 AM,24-Apr-2020 05:00 PM,NA ,NA ,16-Apr-2020 10:00 AM,24-Apr-2020 05:00 PM,20-May-2020 12:00 PM,"51,400",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER INDICATED IN SCHEDULE F,PWD,PW/MED/TA/NIT/ e-notice/19-20-9670-75 dt 30.03.20,2020_PWD_36622_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,Finance,FINANCIAL BID SUMMARY,Dalip singh Patial,20-May-2020 03:42 PM,finance_54076.pdf,BOQ Comparative Chart,1.0,157105.0,SHARMA ELECTRICAL CO.,INR,"2,745,520",1.0,157105.0,SHARMA ELECTRICAL CO.,22-Apr-2020 10:23 AM,Accepted-AOC,work awarded,16-Oct-2021 11:29 AM,Technical,Technical bid summary,Dalip singh Patial,20-May-2020 11:35 AM,technical_54076.pdf,Er Dalip Singh Patial EE,Internal,Sh Jai Ram HDM Smt. Karuna Sharma Supdt Sh Kapil Dev soni Sr Asstt,Dalip singh Patial,20-May-2020 11:44 AM,20-May-2020 12:00 PM,techsummary_54076.pdf (386.62 KB),PWD,2020_PWD_36622_1,PW/MED/TA/NIT/ e-notice/19-20-9670-75 dt 30.03.20,"Construction of 50 Bedded Hospital at Bagsaid, District Mandi HP SH Providing and installation of Fire Fighting System therein",05-Sep-2020,"INR 2,745,520",180.0,Munish Bhopal,16-Oct-2021 11:29 AM,AOC.pdf (557.00 KB),work awarded to M/s SHARMA ELECTRICAL CO. being L1,Er Dalip Singh Patial EE,Internal,Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt Sh Manish Kumar clerk,Dalip singh Patial,20-May-2020 03:53 PM,finsummary_54076.pdf (344.53 KB),AOC
2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY INDICATED IN SHEDULE F,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,157113.0,TARUN FIRE SYSTEM,23-Apr-2020 05:05 PM,Rejected-Finance,Rejected being L2 firm,20-May-2020 03:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Approved OEM Fire Fighting or auth. agency of OEM (FF)/ Elect contr A or firm auth for exex spcl job,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES NO. 21,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average financial turnover of last three years as per Technical qualification criteria,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
