Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Technical,Attached,Vinod Kanwar,18-Sep-2021 01:03 PM,technical_77076.pdf,1.0,232998.0,KASMIR SINGH CONTACTOR,30-Aug-2021 06:53 PM,Rejected-AOC,L1L2L3L4,19-Oct-2021 05:29 PM,Finance,Attached,Vinod Kanwar,19-Oct-2021 05:23 PM,finance_77076.pdf,BOQ Comparative Chart,1.0,233417.0,M/S R.R.Builders,INR,"3,465,000",Executive Engineer,Internal,"Supdt,HDM,DAO",Vinod Kanwar,19-Oct-2021 05:26 PM,finsummary_77076.pdf (632.52 KB),19-Oct-2021,"INR 3,465,000",60.0,Vinod Kanwar,19-Oct-2021 05:29 PM,AOCRRBuildier.pdf (1916.00 KB),Attached,PWD,2021_PWD_51583_1,Micro Surfacing on Pilot bases for the preventive,Micro Surfacing on Pilot bases for the preventive maintenance on Barsar Dhaneta Road road Km. 0/0 to 14/00,Executive Engineer,Internal,"Supdt Gr-II, HDM, DAO",Vinod Kanwar,18-Sep-2021 01:06 PM,21-Sep-2021 03:00 PM,techsummary_77076.pdf (1034.12 KB),AOC,Executive Engineer,Executive Engineer Barsar Division HPPWD Barsar,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,1. Cost of Tender Form,26-Aug-2021 10:30 AM,02-Sep-2021 10:30 AM,26-Aug-2021 10:30 AM,02-Sep-2021 10:30 AM,NA ,NA ,26-Aug-2021 10:30 AM,02-Sep-2021 10:30 AM,21-Sep-2021 03:00 PM,Micro Surfacing on Pilot bases for the preventive maintenance on Barsar Dhaneta Road road Km. 0/0 to 14/00,SH Providing and laying Micro Surfacing in km 0/00 to 4/00 and 8/00 to 10/00,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,120.0,60.0,Barsar,174305.0,NA ,NA ,NA ,EE Barsar,No ,No,PWD,Micro Surfacing on Pilot bases for the preventive,2021_PWD_51583_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"72,800",No,fixed,,Nil,Nil,"2,000",Nil,Nil,No,AOC
,,,,,2.0,233417.0,M/S R.R.Builders,01-Sep-2021 03:35 PM,Accepted-AOC,L1L2L3L4,19-Oct-2021 05:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,ICICI NEFT/RTGS,,,.pdf,2. EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,233343.0,Piar Chand Chauhan,01-Sep-2021 04:53 PM,Rejected-AOC,L1L2L3L4,19-Oct-2021 05:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,3. Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,4.0,232750.0,S.S.Chauhans Construction Private Limted,01-Sep-2021 06:22 PM,Rejected-AOC,L1L2L3L4,19-Oct-2021 05:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,4. Similar Work Done certificate (Only Completed Work),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,"5. GST No. with latest clearance return, EPF No. with latest clearance return, Labour License, PAN C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,6. List of Machinery tools and plant with ownership documents/ Affidavit Magistrate/ Notary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,7. Affidavit that information submitted by bidder is true and correct attested by Magistrate/ Notary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,8. Work in hand certificate countersigned by the Engineer in Charge not below the rank of Executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,9. Affidavit Bidder should not have morethan 2 contracts at a time each of Rs. 100.0Lakhsormore in c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,10. Affidavit regarding seen the site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
