S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,142220.0,JASBIR SINGH,INR,"674,510",Finance,Financial Bid Open Summary,Atma Ram Kalia,06-Jan-2020 02:33 PM,finance_48064.pdf,BOQ Comparative Chart,Technical,Technical Bid Open Summary,Vishwa Nath Prasher,27-Dec-2019 01:31 PM,technical_48064.pdf,1,142206,Ajay Thakur,24-Dec-2019 10:26 AM,Rejected-Finance,Due to L5,06-Jan-2020 02:43 PM,Executive Engineer,Internal,SUPDT HDM AETOEE,Atma Ram Kalia,06-Jan-2020 02:43 PM,finsummary_48064.pdf (571.17 KB),08-Mar-2020,"INR 867,534",90.0,Vishwa Nath Prasher,08-Mar-2020 11:29 AM,agreement328.PDF (1480.00 KB),Award letter,PWD,2019_PWD_33375_1,PW-NBT/CB/Tender/2018/12893-98 dated 16.11.2019,R/M on C.M.M. road NH-205 Km. 86/0 to 105/0 (SH- Removal of slips in Km. 86/0 to 105/0),Executive Engineer,Internal,SUPDT HDM AETOEE,Vishwa Nath Prasher,27-Dec-2019 01:35 PM,27-Dec-2019 02:00 PM,techsummary_48064.pdf (2340.62 KB),AOC,R/M on C.M.M. road NH-205 Km. 86/0 to 105/0 (SH- Removal of slips in Km. 86/0 to 105/0),R/M on C.M.M. road NH-205 Km. 86/0 to 105/0 (SH- Removal of slips in Km. 86/0 to 105/0),Refer in SBD ,NA ,"8,67,534",Civil Works,NA ,Tender,120.0,90.0,Bilaspur,174001.0,NA ,NA ,NA ,EE Bilaspur Division No. 2 HPPWD Bilaspur,No ,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender and Earnest Money refer in Schedule F,PWD,PW-NBT/CB/Tender/2018/12893-98 dated 16.11.2019,2019_PWD_33375_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"17,400",No,fixed,,EE Bilaspur Division No. 2 HPPWD Bilaspur,Bilaspur,EE Bilaspur Division No. 2 HPPWD Bilaspur,EE Bilaspur Division No. 2 HPPWD Bilaspur,350.0,EE Bilaspur Division No. 2 HPPWD Bilaspur,Bilaspur,No,16-Dec-2019 10:00 AM,24-Dec-2019 11:00 AM,16-Dec-2019 10:00 AM,24-Dec-2019 10:30 AM,NA ,NA ,16-Dec-2019 10:00 AM,24-Dec-2019 10:30 AM,27-Dec-2019 02:00 PM,AOC
,,,,,,,,,,,,,,,,2,142220,JASBIR SINGH,23-Dec-2019 07:19 PM,Accepted-AOC,Due to L1,08-Mar-2020 11:29 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Contractor Registration refer General rule No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,142092,LAKHANPAL SHARMA,23-Dec-2019 03:59 PM,Rejected-Finance,Due to L7,06-Jan-2020 02:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST, PAN and EPF refer General rule No 21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,142035,M/s Vishal kundi,23-Dec-2019 07:46 PM,Rejected-Finance,Due to L2,06-Jan-2020 02:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate and work in hand certificate refer General rule No 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,142244,Pawan Kumar,24-Dec-2019 10:05 AM,Rejected-Finance,Due to L9,06-Jan-2020 02:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, Tool, Plant refer in Schedule F with reference to clause 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,142140,PURSHOTAM CHAND,24-Dec-2019 09:43 AM,Rejected-Finance,Due to L2,06-Jan-2020 02:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Correctness of all documents by bidder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,142160,RAVINDER KUMAR,23-Dec-2019 03:59 PM,Rejected-Finance,Due to L8,06-Jan-2020 02:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,142217,Roshan Lal,23-Dec-2019 07:05 PM,Rejected-Finance,Due to L7,06-Jan-2020 02:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate/affidavit may be uploaded of not more than two works in HPPWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,142163,Sanjev Kumar,24-Dec-2019 10:13 AM,Rejected-Finance,Due to L4,06-Jan-2020 02:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,142234,SUNIL KUMAR,23-Dec-2019 09:17 PM,Rejected-Finance,Due to L3,06-Jan-2020 02:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
