EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"29,100",No,fixed,,EE HPPWD Division Tanda at Nagrota Bagwan,Tanda at Nagrota Bagwan,PWD,PWD CIVIL-4098-4138-TANDA,2019_PWD_32727_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form in Shape of DD as per SBD (Nationalized Bank),1.0,DD - Demand Draft,Executive Engineer,HP PWD Division Tanda at Nagrota Bagwan,500.0,EE HPPWD Division Tanda at Nagrota Bagwan,Kangra,No,"Construction of Additional Accommodation for Govt. Sen. Sec. School at Baroh in Tehsil Baroh, Distt. Kangra (H.P.)","Construction of 2 Nos. class room under RMSA, site development work by formation cutting by providing breast wall at RD 0/000 to 0/020",Please refer Tender documents. ,NA ,"14,51,440",Civil Works - Buildings,NA ,Tender,120.0,180.0,TANDA,176002.0,NA ,NA ,NA ,EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,19-Nov-2019 05:00 PM,06-Dec-2019 11:30 AM,19-Nov-2019 05:00 PM,05-Dec-2019 05:00 PM,NA ,NA ,19-Nov-2019 05:00 PM,05-Dec-2019 05:00 PM,08-Jan-2020 11:00 AM,AOC,1.0,138859.0,Arpit Sharma,INR,"1,721,001",Finance,Sum,Suresh Kumar Walia,17-Jan-2020 11:35 AM,finance_47193.pdf,BOQ Comparative Chart,1.0,138340.0,Alpna Sharma,03-Dec-2019 03:16 PM,Rejected-AOC,L3,09-Mar-2020 01:31 PM,Technical,Sum,Suresh Kumar Walia,04-Jan-2020 04:42 PM,technical_47193.pdf,PWD,2019_PWD_32727_1,PWD CIVIL-4098-4138-TANDA,"Construction of Additional Accommodation for Govt. Sen. Sec. School at Baroh in Tehsil Baroh, Distt. Kangra (H.P.)",Dr Suresh Kumar walia,Internal,Er Ankit AE Sh Pankaj Rana TA Ajit Kumar Supdt Gr II Suraj Parkash DAO Vijay Sharma HDM,Suresh Kumar Walia,04-Jan-2020 04:44 PM,08-Jan-2020 11:00 AM,techsummary_47193.pdf (782.22 KB),Dr Suresh Kumar walia,Internal,Er Ankit AE Sh Pankaj Rana TA Ajit Kumar Supdt Gr II Suraj Parkash DAO Vijay Sharma HDM,Suresh Kumar Walia,17-Jan-2020 11:38 AM,finsummary_47193.pdf (782.22 KB),05-Mar-2020,"INR 1,721,001",180.0,Suresh Kumar Walia,09-Mar-2020 01:31 PM,Award.pdf (494.00 KB),Award,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money in shape of FDR as per SBD,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,138777.0,AMIT KUMAR SHARMA,05-Dec-2019 01:10 PM,Rejected-Technical,Not Fulfill criteria,04-Jan-2020 04:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,138859.0,Arpit Sharma,05-Dec-2019 04:36 PM,Accepted-AOC,L1,09-Mar-2020 01:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4.0,138629.0,SUNIL DUTT DHIMAN,04-Dec-2019 04:59 PM,Rejected-AOC,L2,09-Mar-2020 01:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
