Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Instrument Type,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
Technical,TechnicalBidOpeningSummary,Bhupinder Singh,03-Jan-2020 05:52 PM,technical_48489.pdf,1.0,143513.0,m/s kathuria constrution co.,02-Jan-2020 03:21 PM,Rejected-AOC,ok,10-Mar-2020 12:04 PM,Finance,Proceedingregardingopeningoffinancialbids,Ravi Dutt Sharma,18-Jan-2020 10:10 AM,finance_48489.pdf,BOQ Comparative Chart,1.0,143495.0,Sohan Singh Govt. Contractor,INR,"20,990,308",Er. Sanjeev Agnihotri E.E,Internal,"Er. Kuldeep Singh AE to EE R.D. Sharma AE Harish Chander Head Draughtsman , Dinesh Kumar, DAO, Jagpal Singh Supdt. Gr-II Tara Singh Senior Assistant",Ravi Dutt Sharma,18-Jan-2020 10:12 AM,finsummary_48489.pdf (691.19 KB),09-Mar-2020,"INR 19,278,963",548.0,Bhupinder Singh,10-Mar-2020 12:04 PM,Awardletter.PDF (1336.00 KB),Awardletter,PWD,2019_PWD_33647_1,Construction of Ware House for Storage of EVMS and,"Construction of Ware House for Storage of EVMS and VVPATS at Una, Tehsil and Distt. Una H.P. Sub Head Construction of Building Portion, Water Supply and Sanitary Installation, Rain Water Harvesting Tank, Septic Tank with Soak Pit,, Boundary wall and",Er. Sanjeev Agnihotri E.E,Internal,"Er. Kuldeep Singh AE to EE R.D. Sharma AE Harish Chander Head Draughtsman , Dinesh Kumar, DAO, Jagpal Singh Supdt. Gr-II Tara Singh Senior Assistant",Ravi Dutt Sharma,15-Jan-2020 11:24 AM,17-Jan-2020 10:00 AM,techsummary_48489.pdf (136.98 KB),AOC,1.0,FDR - Fixed Deposit,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una","5,000","Executive Engineer, Una Division, HPPWD, Una",Una,No,"Construction of Ware House for Storage of EVMS and VVPATS at Una, Tehsil and Distt. Una H.P. Sub Head Construction of Building Portion, Water Supply and Sanitary Installation, Rain Water Harvesting Tank, Septic Tank with Soak Pit,, Boundary wall and","Construction of Ware House for Storage of EVMS and VVPATS at Una, Tehsil and Distt. Una H.P. Sub Head Construction of Building Portion, Water Supply and Sanitary Installation, Rain Water Harvesting Tank, Septic Tank with Soak Pit,, Boundary wall and",Please refer to Bidding Documents ,NA ,"1,92,78,963",Civil Works - Buildings,NA ,Tender,120.0,548.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,"2,25,300",No,fixed,,"Executive Engineer, Una Division, HPPWD, Una",Una,26-Dec-2019 10:00 AM,03-Jan-2020 11:00 AM,26-Dec-2019 10:30 AM,02-Jan-2020 05:00 PM,NA ,NA ,26-Dec-2019 10:30 AM,02-Jan-2020 05:00 PM,17-Jan-2020 10:00 AM,PWD,Construction of Ware House for Storage of EVMS and,2019_PWD_33647_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),AOC
,,,,,2.0,143495.0,Sohan Singh Govt. Contractor,02-Jan-2020 10:28 AM,Accepted-AOC,ok,10-Mar-2020 12:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money ( Indicated In Schedule F),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No.23 ),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and copy of the latest return filed.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and copy of latest return filed,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity/ C.A. Annual Report a/w balance sheet as Per General Rules 28.2a and 28.2b,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Credit facility of minimum 10Percent of estimated cost from the Scheduled Bank be attached.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work Done Certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equival",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work in hand certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equi",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Machinery Tool Plant as per bid documents along with documentary proof.,AOC
