Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Category,Sub Category,Sub Category Description,Format/File,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Instrument Type,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Technical,Summary,Atma Ram Kalia,23-Jan-2020 11:44 AM,technical_47962.pdf,1.0,144423.0,Bhupinder Paul Mahajan,09-Jan-2020 08:19 PM,Rejected-AOC,L-5,20-Mar-2020 11:40 AM,Finance,Fin opening summary,Manohar Lal Sharma,05-Feb-2020 10:36 AM,finance_47962.pdf,BOQ Comparative Chart,1.0,142305.0,M/S STRIKER & BROS,INR,"223,388,100","Chief Engineer, Hamirpur Zone",Internal,"Supdt,J.C Mandi, EEGhu,EEHamirpur,SEBLP SED",Manohar Lal Sharma,13-Mar-2020 11:31 AM,finsummary_47962.pdf (1638.40 KB),20-Mar-2020,"INR 223,388,100",548.0,Manohar Lal Sharma,20-Mar-2020 11:40 AM,LOA.CRF.PDF (944.00 KB),LOA attached,PWD,2019_PWD_33296_1,Upgradation of Panol Jhandutta Nand Nagroun road C,Up-gradation of the road stretch from Panol- Jhandutta Nand-Nagroun road and construction of Bridge at Nand-Nagroun on Govind Sagar lake including approaches road up to Jejwin From Km 0.0 to 21.250,Superintending Engineer,Internal,E.E. Ghumarwin A.E. D Circle Sr DAO Ghumarwin,Atma Ram Kalia,23-Jan-2020 11:46 AM,03-Feb-2020 11:30 AM,techsummary_47962.pdf (848.14 KB),AOC,"34,00,000",No,fixed,,E.E. Ghumarwin,S.E. Bilaspur,PWD,Upgradation of Panol Jhandutta Nand Nagroun road C,2019_PWD_33296_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,11-Dec-2019 01:00 PM,10-Jan-2020 11:30 AM,11-Dec-2019 01:00 PM,10-Jan-2020 11:00 AM,11-Dec-2019 01:00 PM ,11-Dec-2019 06:00 PM ,11-Dec-2019 06:00 PM,10-Jan-2020 11:00 AM,03-Feb-2020 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of form,1.0,Corrigendum-III,Date,,"12,000",E.E. Ghumarwin,S.E. Bilaspur,No,1.0,DD - Demand Draft,Superintending Engineer 10th Circle HPPWD Bilaspur,Superintending Engineer 10th Circle HPPWD Bilaspur,Up-gradation of the road stretch from Panol- Jhandutta Nand-Nagroun road and construction of Bridge at Nand-Nagroun on Govind Sagar lake including approaches road up to Jejwin From Km 0.0 to 21.250,Category-MDR-095 length road 21.250 and Bridge length 330.00 metre SH Construction of road portion between chainage 0.00 to 21.250 i.e. FC in extended portion from single lane to intermediate lane cross drainage works granular sub-base WM,Please refer Tender documents. ,NA ,"22,67,60,105",Civil Works - Roads,NA ,Tender,120.0,548.0,Ghumarwin,174021.0,Chief Engineer(HZ) HPPWD Hamirpur ,Chief Engineer(HZ) HPPWD Hamirpur ,20-Dec-2019 11:00 AM ,Superintending Engineer 10th Circle HPPWD Bilaspur,No ,No,AOC
,,,,,2.0,143632.0,GAnpati Builders,03-Jan-2020 04:30 PM,Rejected-AOC,L-2,20-Mar-2020 11:40 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,.pdf,Bid Security,2.0,Change in BOQ Column No 13 and 53,Financial Bid,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,143653.0,M/s SRM CONTRACTORS PVT. LTD.,09-Jan-2020 05:25 PM,Rejected-AOC,L-4,20-Mar-2020 11:40 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,.pdf,Copy of Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,4.0,142305.0,M/S STRIKER & BROS,01-Jan-2020 08:27 PM,Accepted-AOC,L-1,20-Mar-2020 11:40 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,.pdf,Annual Turnover last five year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,5.0,141859.0,P K Construction Shimla Pvt Ltd,20-Dec-2019 06:22 PM,Rejected-AOC,L-3,20-Mar-2020 11:40 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5.0,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,,,,,,,,,,,,,.pdf,Work Done Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,.pdf,Credit Facility Duly issued by Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,.pdf,List of Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery plants and equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding any litigation case of arbitration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Balance Sheet Last five year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
