Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
11-Mar-2020,"INR 531,755",180.0,Kamal Singh Pal,11-Mar-2020 05:15 PM,51.pdf (167.00 KB),AOC,Er KS Pal,Internal,Suptt DAO DHD TA,Kamal Singh Pal,11-Mar-2020 05:12 PM,finsummary_39591.pdf (169.89 KB),Er KS Pal,Internal,Suptt DOA DHD TA,Kamal Singh Pal,20-Jul-2019 11:13 AM,20-Jul-2019 12:00 PM,techsummary_39591.pdf (261.21 KB),PWD,2019_PWD_27723_3,PW.CHD.CB-E-9/2018 13374-473 DT 2.2.19,C/O Mashrain to Bharan road Km. 0/0 to 4/0,1.0,116806.0,Chander Kumar Govt. Contractor,INR,"531,755",Finance,Bid Opening Summary,Kamal Singh Pal,11-Mar-2020 05:09 PM,finance_39591.pdf,BOQ Comparative Chart,Technical,Bid Opening Summary,Kamal Singh Pal,20-Jul-2019 11:03 AM,technical_39591.pdf,1.0,116806.0,Chander Kumar Govt. Contractor,02-Mar-2019 04:22 PM,Accepted-AOC,Accepted,11-Mar-2020 05:15 PM,AOC,EE Chopal,HPPWD CHOPAL,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),22-Feb-2019 01:00 PM,04-Mar-2019 11:30 AM,22-Feb-2019 01:00 PM,02-Mar-2019 05:00 PM,NA ,NA ,22-Feb-2019 01:00 PM,02-Mar-2019 05:00 PM,20-Jul-2019 12:00 PM,1.0,DD - Demand Draft,C/O Mashrain to Bharan road Km. 0/0 to 4/0,SH Laying of Bearing coat GI Between KM. RDs. 0/0 to 1/0,Please refer Tender documents. ,NA ,"2,59,327",Civil Works - Roads,NA ,Tender,120.0,180.0,Chopal,171211.0,NA ,NA ,NA ,Chopal,No ,No,"6,000",No,fixed,,EE Chopal,Chopal,PWD,PW.CHD.CB-E-9/2018 13374-473 DT 2.2.19,2019_PWD_27723_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,500.0,EE Chopal,Chopal,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,116821.0,HPPWD,02-Mar-2019 04:47 PM,Rejected-Technical,Non Responsive,20-Jul-2019 11:13 AM,AOC,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,116634.0,IPH,01-Mar-2019 03:45 PM,Rejected-Technical,Non Responsive,20-Jul-2019 11:13 AM,AOC,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,116817.0,Manjul Kumar Govt. Contractor,02-Mar-2019 04:52 PM,Rejected-AOC,Rejected,11-Mar-2020 05:15 PM,AOC,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,116603.0,Sandeep,01-Mar-2019 01:36 PM,Rejected-Technical,Non Responsive,20-Jul-2019 11:13 AM,AOC,,,,,.pdf,Work In Hand As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
