Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
250.0,Executive Engineer IPH Division Nahan,Nahan,No,Water Quality Monitoring and Surveillance under NRDWP Programme under Sirmour District HP,Supplying and Installation of various apparatus and Chemicals for water testing Lab. in Nahan and Paonta Sahib,Please refer Tender documents. ,NA ,"6,97,825",Miscellaneous Goods,Chemicals etc ,Tender,120.0,30.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",IPH-DN(Nahan)TA-Tend/19-20- 13143-223 dt 28-1-2020,2020_HPIPH_34441_1,Yes,Open Tender,Item Rate,Goods,2.0,No,No,Both(Online/Offline),No,No,No,Executive Engineer IPH Division Nahan,Executive Engineer IPH Division Nahan,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as per NIT,10-Feb-2020 06:00 PM,18-Feb-2020 11:30 AM,10-Feb-2020 06:00 PM,18-Feb-2020 11:00 AM,NA ,NA ,10-Feb-2020 06:00 PM,18-Feb-2020 11:00 AM,20-Feb-2020 04:35 PM,"13,957",Yes,fixed,,Executive Engineer IPH Division Nahan,Nahan,AOC,1.0,149430.0,Jyoti Trading Company,15-Feb-2020 01:35 PM,Accepted-AOC,AOC,04-Mar-2020 02:55 PM,Dr. Mandeep Gupta EE,Internal,EE HDM DAO Supdt TA,Mandeep Gupta,20-Feb-2020 04:34 PM,20-Feb-2020 04:35 PM,techsummary_50342.pdf (101.98 KB),04-Mar-2020,"INR 697,825",30.0,Mandeep Gupta,04-Mar-2020 02:55 PM,AOC.pdf (664.00 KB),Award to Contractor,Technical,Technical Bid Opening Summary,Mandeep Gupta,20-Feb-2020 04:10 PM,technical_50342.pdf,Finance,Financial Bid Opening Summary,Mandeep Gupta,20-Feb-2020 05:44 PM,finance_50342.pdf,BOQ Comparative Chart,Dr. Mandeep Gupta EE,Internal,HDM DM EE,Mandeep Gupta,04-Mar-2020 02:52 PM,finsummary_50342.pdf (664.00 KB),"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2020_HPIPH_34441_1,IPH-DN(Nahan)TA-Tend/19-20- 13143-223 dt 28-1-2020,Water Quality Monitoring and Surveillance under NRDWP Programme under Sirmour District HP,1.0,149430.0,Jyoti Trading Company,INR,"622,050",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Cost of TEnder Form as per NIT,,,,,,,,,,,,,,,,AOC,2.0,149897.0,shiv iron general engineers,17-Feb-2020 08:47 PM,Rejected-Finance,Rejected,04-Mar-2020 02:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration in HPIPH Deptt as per NIT,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration as per NIT,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking Joint Venture is not allowed,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No. and GST No. as per NIT,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,UNdertaking carefully study all terms and condition,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Experience of same kind of work,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AN affidavit specifying that the benefit availed under earnest money exemption has not been exhauste,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
