Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Technical,Sum,Suresh Kumar Walia,24-Feb-2020 04:05 PM,technical_50310.pdf,1.0,149473.0,BITTHAL BHARDWAJ,14-Feb-2020 05:49 PM,Rejected-AOC,L2,17-Mar-2020 12:35 PM,1.0,149835.0,Shadil Thakur,INR,"2,291,885",Finance,Sum,Suresh Kumar Walia,02-Mar-2020 01:28 PM,finance_50310.pdf,BOQ Comparative Chart,Dr Suresh Kumar walia,Internal,Er JN Sharma AE Sh Pankaj Rana TA Ajit Kumar Supdt Gr II Suraj Parkash DAO Vijay Sharma HDM,Suresh Kumar Walia,02-Mar-2020 01:31 PM,finsummary_50310.pdf (197.28 KB),13-Mar-2020,"INR 2,291,885",270.0,Suresh Kumar Walia,17-Mar-2020 12:35 PM,Award.pdf (350.00 KB),Award,PWD,2020_PWD_34412_1,PWD Civil Work -34600-Tanda,C/O Bridge over Chor Nallah on Pathiar Chahri Nagrota road in Distt Kangra (HP) (SH-Balance work of Extension of 10.37 mtr. Span RCC Bridge over Chor Nallah at Rd 0/105),Dr Suresh Kumar walia,Internal,Er JN SharmaAE Ajit Kumar Supdt Gr II Suraj Parkash DAO Vijay Sharma HDM,Suresh Kumar Walia,24-Feb-2020 04:07 PM,27-Feb-2020 11:30 AM,techsummary_50310.pdf (785.25 KB),AOC,Executive Engineer,EE HP PWD Division Tanda at Nagrota Bagwan,500.0,Executive Engineer HP PWD Tanda,Kangra,No,1.0,DD - Demand Draft,C/O Bridge over Chor Nallah on Pathiar Chahri Nagrota road in Distt Kangra (HP) (SH-Balance work of Extension of 10.37 mtr. Span RCC Bridge over Chor Nallah at Rd 0/105),C/O Bridge over Chor Nallah on Pathiar Chahri Nagrota road in Distt Kangra (HP) (SH-Balance work of Extension of 10.37 mtr. Span RCC Bridge over Chor Nallah at Rd 0/105),Please refer Tender documents. ,NA ,"18,04,673",Civil Works,NA ,Tender,120.0,270.0,Tanda,176002.0,NA ,NA ,NA ,EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,29-Jan-2020 03:00 PM,18-Feb-2020 11:30 AM,29-Jan-2020 03:00 PM,17-Feb-2020 05:00 PM,NA ,NA ,29-Jan-2020 03:00 PM,17-Feb-2020 05:00 PM,27-Feb-2020 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form in Shape of DD as per SBD,PWD,PWD Civil Work -34600-Tanda,2020_PWD_34412_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"34,600",No,fixed,,Executive Engineer HP PWD Tanda,Tanda at Nagrota Bagwan,AOC
,,,,,2.0,149445.0,Neeraj,14-Feb-2020 04:17 PM,Rejected-AOC,L4,17-Mar-2020 12:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money in shape of FDR as per SBD,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,149849.0,RAJEEV KUMAR ANAND,17-Feb-2020 03:43 PM,Rejected-AOC,L3,17-Mar-2020 12:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,4.0,149835.0,Shadil Thakur,17-Feb-2020 02:22 PM,Accepted-AOC,L1,17-Mar-2020 12:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,5.0,149463.0,Sunny Kumar,14-Feb-2020 04:30 PM,Rejected-AOC,L5,17-Mar-2020 12:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,6.0,149768.0,VP SHARMA,16-Feb-2020 10:04 PM,Rejected-Technical,Not Fulfill criteria,24-Feb-2020 04:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,AOC
