Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
27-Sep-2019 06:00 PM,15-Oct-2019 11:30 AM,27-Sep-2019 06:00 PM,15-Oct-2019 11:00 AM,NA ,NA ,27-Sep-2019 06:00 PM,15-Oct-2019 11:00 AM,16-Oct-2019 04:30 PM,1.0,ICICI BANK,Providing LWSS to village Kheri Shalyar and its adjoining habitation under GP Surla Janot in Tehsil Pachhad,"Providing, Laying, jointing and testing of MSERW pipes, Laying, jointing, Testing of GMS pipes of 50mm dia in Rising, feeder pipe 40mm and Supply and errection of centrifugal pumping machinery with allied accessories",Please refer Tender documents. ,NA ,"14,81,695",Pipe Laying Works,with Pumping machinery ,Tender,120.0,180.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,1.0,Fee/PreQual/Technical,.pdf,Earnest Money,"29,650",Yes,fixed,,Executive Engineer IPH Division Nahan,Nahan,400.0,Executive Engineer IPH Division Nahan,Nahan,No,Executive Engineer,Executive Engineer IPH Division Nahan,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",IPH-DN-Nahan-TA-Tender/19-20 7155-7215 dt 19-09-19,2019_HPIPH_31824_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,AOC,Er. JS Chouhan SE,Internal,SE EED EEN CHD AED Supdt WS,Mandeep Gupta,07-Mar-2020 03:32 PM,finsummary_45796.pdf (646.81 KB),1.0,134112.0,Surjeet Singh Thakur,INR,"1,984,578","HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2019_HPIPH_31824_2,IPH-DN-Nahan-TA-Tender/19-20 7155-7215 dt 19-09-19,Providing LWSS to village Kheri Shalyar and its adjoining habitation under GP Surla Janot in Tehsil Pachhad,07-Mar-2020,"INR 1,481,695",180.0,Mandeep Gupta,07-Mar-2020 03:35 PM,AOC.pdf (647.00 KB),Award to Contractor,Finance,Financial Bid Opening Summary,Mandeep Gupta,25-Oct-2019 04:49 PM,finance_45796.pdf,BOQ Comparative Chart,Technical,Technical Bid Opening Summary,Mandeep Gupta,16-Oct-2019 04:14 PM,technical_45796.pdf,Er. Mandeep Gupta,Internal,EE Supdt HDM DAO TA,Mandeep Gupta,16-Oct-2019 04:25 PM,16-Oct-2019 04:30 PM,techsummary_45796.pdf (103.66 KB),1.0,134088.0,Anand Bhushan,15-Oct-2019 10:05 AM,Rejected-Finance,Rejected,07-Mar-2020 03:32 PM,AOC
,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of TEnder Form,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,133353.0,shiv iron general engineers,12-Oct-2019 07:04 PM,Rejected-Finance,Rejected,07-Mar-2020 03:32 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration in HPIPH Deptt in valid class,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,134112.0,Surjeet Singh Thakur,14-Oct-2019 08:08 PM,Accepted-AOC,AOC,07-Mar-2020 03:35 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF No.,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking Joint Venture is not allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN and GST No.,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking carefully study all terms and conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Delership/Sub dealership of quated Pumping machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking of the curve charts along with selection of pumps and motors.,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,affidavit specifying that the benefit availed under earnest money exemption has not been exhausted s,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
