Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Category,Sub Category,Sub Category Description,Format/File,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Instrument Type,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","Construction of Type-II, Type-III and Type-IV Qtrs. 4No each for staff of Hospital of Mental Health and rehabilitation at Boileauganj Shimla-5. (SH- Civil work including site development, WS and SI works and rain harvesting tank etc.)","Construction of Type-II, Type-III and Type-IV Qtrs. 4No each for staff of Hospital of Mental Health and rehabilitation at Boileauganj Shimla-5. (SH- Civil work including site development, WS and SI works and rain harvesting tank etc.)",As per bidding documents ,NA ,"2,59,45,499",Civil Works - Buildings,NA ,Tender,120.0,545.0,Boileauganj Shimla,171005.0,NA ,NA ,NA ,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",No ,No,"5,000","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",Shimla,No,PWD,SD-III-CB-Tender/2019-20-9500 dated 06-08-2019,2019_PWD_31092_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,26-Aug-2019 05:00 PM,07-Sep-2019 11:00 AM,26-Aug-2019 05:00 PM,06-Sep-2019 05:00 PM,NA ,NA ,26-Aug-2019 05:00 PM,06-Sep-2019 05:00 PM,17-Sep-2019 02:00 PM,1.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3),"2,92,000",No,fixed,,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",Shimla,1.0,DD - Demand Draft,AOC,PWD,2019_PWD_31092_1,SD-III-CB-Tender/2019-20-9500 dated 06-08-2019,"Construction of Type-II, Type-III and Type-IV Qtrs. 4No each for staff of Hospital of Mental Health and rehabilitation at Boileauganj Shimla-5. (SH- Civil work including site development, WS and SI works and rain harvesting tank etc.)",ER. A.K.Soni,Internal,Sh.G.R.Thakur Sh.R.L.Sharma. Sh.R.S.Thakur.,Ajay Kumar Soni,17-Sep-2019 01:45 PM,17-Sep-2019 02:00 PM,techsummary_44743.pdf (298.91 KB),ER.A.K.SONI,Internal,Sh.G.R.Thakur Sh.R.L.Sharma. Sh.R.S.Thakur.,Rajeev Shaunak,24-Feb-2020 03:00 PM,finsummary_44743.pdf (213.34 KB),18-Mar-2020,"INR 25,945,199",545.0,Rajeev Shaunak,04-Mar-2020 04:41 PM,31092-1.pdf (508.00 KB),AOC,1.0,129848.0,Sat Dev Vij,INR,"30,323,761",Finance,Bid opening summary,Ajay Kumar Soni,17-Sep-2019 03:08 PM,finance_44743.pdf,BOQ Comparative Chart,1.0,129924.0,13 G Construction,06-Sep-2019 10:01 AM,Rejected-Technical,OK,17-Sep-2019 01:45 PM,Technical,Bid opening summary,Ajay Kumar Soni,07-Sep-2019 05:09 PM,technical_44743.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,.pdf,Earnest Money as per schedule F (6.5),,,,,,,2.0,FDR - Fixed Deposit,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,129963.0,", D.S.Rathore",06-Sep-2019 04:16 PM,Rejected-AOC,Ok,04-Mar-2020 04:41 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,129848.0,Sat Dev Vij,05-Sep-2019 02:58 PM,Accepted-AOC,Ok,04-Mar-2020 04:41 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD Form No-8,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,129969.0,Tarkeshwar shah,06-Sep-2019 03:47 PM,Rejected-AOC,OK,04-Mar-2020 04:41 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration as per General Rule No 21. Copy of GST No.,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sales tax registration as per General Rule No 21 (in H.P.) Copy of Tin No.,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Card.,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
