S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Tender Stage
1.0,146059.0,punjab irrigation and farm solutions,INR,"172,117,422","HP Irrigation and Public Health||Bilaspur Circle,Irrigation and Public Health,HP||Bilaspur,Irrigation and Public Health,HP",2020_HPIPH_33918_1,18319-418 dated 07-01-2020,"Engineering, procurement, construction , testing , commissioning , trial run for retrofitting of various ongoing WSS to achieve FHTC under SHRI NAINA DEVI JI Constituency Distt. Bilaspur (H.P.) under Jal Jiwan mission (Har Ghar Ko Nal Se Jal) in sin",Er Arvind Kumar Verma Executive Engineer,Internal,Sh Roop Lal Chandel DHD Sh Sanjay Kumar Shah DAO Gr-I Sh Ravinder Kishore Senior Assistant,ARVIND KUMAR VERMA,01-Feb-2020 02:43 PM,finsummary_49026.pdf (139.66 KB),05-Mar-2020,"INR 172,117,422",730.0,ARVIND KUMAR VERMA,06-Mar-2020 05:02 PM,Awardletter.pdf (13647.00 KB),"The work has been awarded to M/S Punjab Irrigation and Farms Solutions Dakha, College Roa, Mandi Mullanpur District Ludhiana (PB) vide this office letter No. 23129-39 dated 05-03-2020 Rs.172117422/-",Finance,BOQ of bidder downloaded and boq comparative chart generated successfully.,ARVIND KUMAR VERMA,01-Feb-2020 02:40 PM,finance_49026.pdf,BOQ Comparative Chart,Technical,Proceeding Technical Bid Cover-II,ARVIND KUMAR VERMA,01-Feb-2020 01:32 PM,technical_49026.pdf,Er Arvind Kumar Verma Executive Engineer,Internal,Sh Roop Lal Chandel DHD Sh Sanjay Kumar Shah DAO Gr-I Sh Ravinder Kishore Senior Assistant,ARVIND KUMAR VERMA,01-Feb-2020 01:35 PM,01-Feb-2020 01:40 PM,techsummary_49026.pdf (3579.05 KB),1.0,146059.0,punjab irrigation and farm solutions,20-Jan-2020 07:16 PM,Accepted-AOC,Accepted,06-Mar-2020 05:02 PM,AOC,Executive Engineer,IPH Division Bilaspur,07-Jan-2020 05:00 PM,21-Jan-2020 11:30 AM,07-Jan-2020 05:00 PM,21-Jan-2020 11:00 AM,07-Jan-2020 05:00 PM ,21-Jan-2020 11:00 AM ,07-Jan-2020 05:00 PM,21-Jan-2020 11:00 AM,01-Feb-2020 01:40 PM,"Engineering, procurement, construction , testing , commissioning , trial run for retrofitting of various ongoing WSS to achieve FHTC under SHRI NAINA DEVI JI Constituency Distt. Bilaspur (H.P.) under Jal Jiwan mission (Har Ghar Ko Nal Se Jal) in sin","Engineering, procurement, construction , testing , commissioning , trial run for retrofitting of various ongoing WSS to achieve FHTC under SHRI NAINA DEVI JI Constituency Distt. Bilaspur (H.P.) under Jal Jiwan mission (Har Ghar Ko Nal Se Jal) in sin",Please refer tender documents ,NA ,"12,64,92,195",Civil Works,NA ,Tender,120.0,730.0,Under IPH Sub Division Jukhala Swarghat Bassi,174001.0,Hamirpur ,Chief Engineer Hamirpur Zone IPH Department Hamirpur ,17-Jan-2020 11:00 AM ,IPH Division Bilaspur,No ,No,1.0,Corrigendum,Fee,,"12,97,430",No,fixed,,EE IPH Division Bilaspur,IPH Division Bilaspur,1.0,Fee,.pdf,Cost of bid proof,"2,500",EE IPH Division Bilaspur,IPH Division Bilaspur,No,"HP Irrigation and Public Health||Bilaspur Circle,Irrigation and Public Health,HP||Bilaspur,Irrigation and Public Health,HP",18319-418 dated 07-01-2020,2020_HPIPH_33918_1,Yes,Open Tender,Turn-key,Works,3.0,No,No,Both(Online/Offline),No,No,No,1.0,ICICI BANK,AOC
2.0,146196.0,Unipro Techno Infrastructure Pvt Ltd,INR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,146196.0,Unipro Techno Infrastructure Pvt Ltd,20-Jan-2020 05:38 PM,Accepted-AOC,Accepted,06-Mar-2020 05:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of earnest money,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Certificate of registration with IPH Department or any other state/central Govt. department,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Certificate of EPF registration. If not registered then the successful bidder should get reg,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual Turnover of last three years i.e. 2016-17 to 2018-19,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN (Permanent Account No.), GST registration",,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The authorization letter regarding digital signature certificate (DSC) of the person authorized by t,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A scanned copy of undertaking (as per Chapter IV of Form 12) that I have carefully studied all the,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work done, Experience Certificates as per Pre-qualification criteria",,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,a) Make/ model of the proposed pumping machinery along with the characteristic curves.,,,,,,,,,,,,,,,,,,,,,AOC
