Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Instrument Type,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"5,000","Executive Engineer, HPPWD Division Sangrah",UCO Bank Sangrah,No,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah",1.0,Corrigendum,Fee,,"5,00,000",No,fixed,,"Executive Engineer, HPPWD Division Sangrah",UCO Bank Sangrah,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER,PWD,8269-8319 Dated 30.11.2019,2019_PWD_33277_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Up gradation of M/T on Road from Nohradhar to Punner Dhar via Bharari 0/0 to 18/390 including link to village Bharari of 1.390 km,"Removal of formation deficiencies , C/O Retaining /Breast Walls, Cross Drainage works, P/L sub base WBM-I, M/T, Road side drain and road side essential parapets in km 0/0 to 18/390) under NABARD RIDF -XXV",Please refer Tender documents. ,NA ,"5,57,60,815",Civil Works,NA ,Tender,90.0,730.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,12-Dec-2019 02:00 PM,26-Dec-2019 05:00 PM,12-Dec-2019 02:00 PM,26-Dec-2019 05:00 PM,NA ,NA ,12-Dec-2019 02:00 PM,26-Dec-2019 05:00 PM,01-Jan-2020 03:15 PM,1.0,DD - Demand Draft,AOC,Finance,SUMMARY,Rattan Kumar Sharma,01-Jan-2020 03:34 PM,finance_47940.pdf,BOQ Comparative Chart,1.0,142355.0,Ranjeet Singh,INR,"75,462,228",1.0,142293.0,Atul Sharma,25-Dec-2019 05:04 PM,Rejected-Finance,NOT THE LOWEST BIDDER,06-Mar-2020 11:18 AM,Technical,SUMMARY,Rattan Kumar Sharma,01-Jan-2020 03:06 PM,technical_47940.pdf,PWD,2019_PWD_33277_1,8269-8319 Dated 30.11.2019,Up gradation of M/T on Road from Nohradhar to Punner Dhar via Bharari 0/0 to 18/390 including link to village Bharari of 1.390 km,Executive Engineer,Internal,Superintendent G-II DHD DAO,Rattan Kumar Sharma,01-Jan-2020 03:09 PM,01-Jan-2020 03:15 PM,techsummary_47940.pdf (697.32 KB),Executive Engineer,Internal,Superintendent G-II DHD DAO Tender Assistant,Rattan Kumar Sharma,06-Mar-2020 11:18 AM,finsummary_47940.pdf (477.94 KB),11-Mar-2020,"INR 55,760,815",730.0,Rattan Kumar Sharma,11-Mar-2020 10:51 AM,88.pdf (1181.00 KB),AOC,AOC
,,,,,,2.0,Corrigendum,Other,,,,,,,,,,.pdf,EARNEST MONEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC,,,,,,,,,,,,2.0,142055.0,M/s Chauhan Construction,24-Dec-2019 05:09 PM,Rejected-Finance,NOT THE LOWEST BIDDER,06-Mar-2020 11:18 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,142355.0,Ranjeet Singh,25-Dec-2019 06:24 AM,Accepted-AOC,AOC,11-Mar-2020 10:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4.0,142317.0,Trilok Singh Rathour,25-Dec-2019 05:12 PM,Rejected-Finance,NOT THE LOWEST BIDDER,06-Mar-2020 11:18 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,WORK DONE CERTIFICATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,WORK IN HAND CERTIFICATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,"LIST OF MACHINERY, TOOL, PLANT AS PER SBD CONDITIONS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,FORM NO 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,BIDDING CAPACITY/C.A. ANNUAL REPORT AS PER GENERAL RULES 28.2A AND 28.2B.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,UNDERTAKING THAT THE CONTRACTOR DOES NOT HAVE MORE THAN TWO CONTRACTS ABOVE RS.100.00 LACS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
