Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
Er. B.S. Dehal E.E.,Internal,"Er. Kuldeep Singh AE to EE R.D. Sharma AE Harish Chander Head Draughtsman , Jagpal Singh Supdt. Gr-II Tara Singh Senior Assistant , Prem Chand, Sr. Assistant",Bhupinder Singh,23-Mar-2020 03:23 PM,finsummary_51080.pdf (1245.04 KB),23-Mar-2020,"INR 989,653",182.0,Ravi Dutt Sharma,27-Mar-2020 11:46 AM,Awardletter.PDF (1245.00 KB),Award letter,PWD,2020_PWD_34852_1,Job 5 Construction of Hall at Govt. Sr. Sec. Schoo,"Job 5 Construction of Hall at Govt. Sr. Sec. School, Basdehra, Distt. Una. HP. Deposit work",Er. B.S. Dehal E.E.,Internal,"Er. Kuldeep Singh AE to EE R.D. Sharma AE Harish Chander Head Draughtsman , Jagpal Singh Supdt. Gr-II Tara Singh Senior Assistant , Prem Chand, Sr. Assistant",Bhupinder Singh,25-Feb-2020 06:37 PM,26-Feb-2020 03:00 PM,techsummary_51080.pdf (365.72 KB),Technical,TechnicalBidOpeningSummary,Bhupinder Singh,25-Feb-2020 06:10 PM,technical_51080.pdf,1.0,149880.0,keshav sharma,17-Feb-2020 06:11 PM,Rejected-AOC,ok,27-Mar-2020 11:46 AM,1.0,150084.0,MAHESH ANGRA,INR,"1,057,042",Finance,Proceedingregardingopeningoffinancialbids,Bhupinder Singh,27-Feb-2020 06:27 PM,finance_51080.pdf,BOQ Comparative Chart,AOC,500.0,"Executive Engineer, Una Division, HPPWD, Una",Una,No,"Job 5 Construction of Hall at Govt. Sr. Sec. School, Basdehra, Distt. Una. HP. Deposit work","Job 5 Construction of Hall at Govt. Sr. Sec. School, Basdehra, Distt. Una. HP. Deposit work",Please refer to Bidding Documents ,NA ,"9,89,653",Civil Works - Buildings,NA ,Tender,120.0,182.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,"19,800",No,fixed,,"Executive Engineer, Una Division, HPPWD, Una",Una,12-Feb-2020 10:00 AM,19-Feb-2020 11:00 AM,12-Feb-2020 10:30 AM,18-Feb-2020 05:00 PM,NA ,NA ,12-Feb-2020 10:30 AM,18-Feb-2020 05:00 PM,26-Feb-2020 03:00 PM,1.0,FDR - Fixed Deposit,PWD,Job 5 Construction of Hall at Govt. Sr. Sec. Schoo,2020_PWD_34852_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,150084.0,MAHESH ANGRA,18-Feb-2020 04:59 PM,Accepted-AOC,ok,27-Mar-2020 11:46 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money ( Indicated In Schedule F),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,149912.0,Rajinder Kumar,17-Feb-2020 10:33 PM,Rejected-AOC,ok,27-Mar-2020 11:46 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No.23 ),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,149811.0,Shallu Malik Govt Contractor,17-Feb-2020 11:11 AM,Rejected-Technical,As per technical Evaluation,25-Feb-2020 06:37 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and copy of the latest return filed.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,149697.0,varun kumar,18-Feb-2020 03:54 PM,Rejected-AOC,ok,27-Mar-2020 11:46 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and copy of latest return filed,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,149866.0,Vivek Bharti Govt Contractor,17-Feb-2020 04:40 PM,Rejected-Technical,As per technical Evaluation proceeding,25-Feb-2020 06:37 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work Done Certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equival",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work in hand certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equi",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Machinery Tool Plant as per bid documents along with documentary proof.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Both Gazetted and non-Gazetted officer HPPWD employees related to him (General Rule,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,AOC
