Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Providing WSS to PC habitation Gawaron and Rakhni in GP Bankala in Tehsil Nahan Distt Sirmour HP,Laying jointing and testing of GMS pipe of 65mm dia in rising main Providing and installation of submersible pumping machinery of 5 HP with allied accessories for Borewell to sumpwell Providing and installation of submersible pumping machinery of 30,Please refer Tender documents. ,NA ,"5,68,991",Pumps/Motors,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,"11,400",Yes,fixed,,Executive Engineer IPH Division Nahan,Nahan,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,19-Jul-2019 05:00 PM,09-Aug-2019 11:30 AM,19-Jul-2019 05:00 PM,09-Aug-2019 11:00 AM,NA ,NA ,19-Jul-2019 05:00 PM,09-Aug-2019 11:00 AM,27-Aug-2019 04:30 PM,Executive Engineer IPH Diviision Nahan,Executive Engineer IPH Division Nahan,250.0,Executive Engineer IPH Division Nahan,Nahan,No,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",IPH-DN-Nahan-TA-Tender/19-20- 3320-60 dt 18-07-19,2019_HPIPH_30295_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,AOC,Dr. Mandeep Gupta EE,Internal,Supdt HDM DAO TA,Mandeep Gupta,27-Aug-2019 04:25 PM,27-Aug-2019 04:30 PM,techsummary_43650.pdf (102.80 KB),1.0,127227.0,Anand Bhushan,09-Aug-2019 10:18 AM,Accepted-AOC,AOC,21-Mar-2020 04:43 PM,21-Mar-2020,"INR 568,991",90.0,Mandeep Gupta,21-Mar-2020 04:43 PM,AOC.pdf (716.00 KB),AOC,Finance,Financial Bid OPening Summary,Mandeep Gupta,27-Aug-2019 05:24 PM,finance_43650.pdf,BOQ Comparative Chart,Technical,Technical Bid Opening Summary,Mandeep Gupta,27-Aug-2019 04:17 PM,technical_43650.pdf,Er. JS Chouhan,Internal,EED CHD AED EENahan SE Nahan,Mandeep Gupta,21-Mar-2020 04:41 PM,finsummary_43650.pdf (716.36 KB),"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2019_HPIPH_30295_1,IPH-DN-Nahan-TA-Tender/19-20- 3320-60 dt 18-07-19,Providing WSS to PC habitation Gawaron and Rakhni in GP Bankala in Tehsil Nahan Distt Sirmour HP,1.0,127227.0,Anand Bhushan,INR,"474,980",AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Earnest Money,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2.0,127219.0,Himalaya Enterprises,09-Aug-2019 09:19 AM,Rejected-Finance,Rejected,21-Mar-2020 04:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration in HPIPH in valid Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3.0,127192.0,HYDRAULIC ENGINEERING COMPANY,08-Aug-2019 04:01 PM,Rejected-Finance,Rejetec,21-Mar-2020 04:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4.0,126559.0,shiv iron general engineers,02-Aug-2019 08:48 PM,Rejected-Finance,Rejetced,21-Mar-2020 04:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,UNdertaking Joint venture is not allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5.0,127170.0,The Nandini Enterprises and Sons,08-Aug-2019 02:08 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,27-Aug-2019 04:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN, GST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Dealership and sub dealership of quated pump/motor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking of the curve charts along with selection of pumps and motors.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit specifying that the benefit availed under earnest money exemption has not been exhausted s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking carefully study all terms conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
