Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
12-Feb-2020,"INR 22,519,964",365.0,Jitender Kumar,06-Mar-2020 04:47 PM,AOCshingari.PDF (550.00 KB),AOC,Er. J.K. Gupta,Internal,AE Padhar Supdt. HDM,Jitender Kumar,31-Dec-2019 12:32 PM,finsummary_47244.pdf (636.61 KB),Er. J.K. Gupta,Internal,AE Padhar Sr.DAO Supdt. HDM,Jitender Kumar,26-Dec-2019 03:05 PM,28-Dec-2019 11:00 AM,techsummary_47244.pdf (636.61 KB),PWD,2019_PWD_32777_1,PW-MDI-Tender-NIT- 15834-63 dated 13.11.2019,Metalling and tarring on Shingari Babli Chhahri Gajoun School road Km 0/0 to 5/0 in Distt. Mandi (H.P.) Under NABARD RIDF-XXV,Technical,summary,Jitender Kumar,11-Dec-2019 02:20 PM,technical_47244.pdf,1.0,139254.0,Ashadeep Construction Pvt Ltd,07-Dec-2019 04:08 PM,Accepted-AOC,AOC,06-Mar-2020 04:47 PM,1.0,139254.0,Ashadeep Construction Pvt Ltd,INR,"22,519,964",Finance,fbosummary,Jitender Kumar,31-Dec-2019 10:51 AM,finance_47244.pdf,BOQ Comparative Chart,AOC,1.0,DD - Demand Draft,Metalling and tarring on Shingari Babli Chhahri Gajoun School road Km 0/0 to 5/0 in Distt. Mandi (H.P.) Under NABARD RIDF-XXV,"C/O R/wall and breast wall, cross drainage works, granular sub- base GSB, WBM Base course G-II, G-III, premix carpet with seal coat, c/o road side drain, parapets in Km 0/0 to 5/0",As per bid documents ,NA ,"2,68,54,235",Civil Works - Roads,NA ,Tender,120.0,365.0,Mandi,175001.0,NA ,NA ,NA ,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",No ,No,PWD,PW-MDI-Tender-NIT- 15834-63 dated 13.11.2019,2019_PWD_32777_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"3,01,000",No,fixed,,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",Mandi,20-Nov-2019 05:00 PM,09-Dec-2019 11:30 AM,20-Nov-2019 05:00 PM,07-Dec-2019 05:00 PM,NA ,NA ,20-Nov-2019 05:00 PM,07-Dec-2019 05:00 PM,28-Dec-2019 11:00 AM,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi","Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",1.0,Corrigendum,Other,,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule F),"5,000","Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",Mandi,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,139217.0,Dinesh Kumar Sharma Const. (P) Ltd,07-Dec-2019 03:04 PM,Rejected-Finance,L-3,31-Dec-2019 12:32 PM,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money (Indicated in Schedule F),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,139248.0,Inder Singh Thakur,07-Dec-2019 03:35 PM,Rejected-Finance,L-2,31-Dec-2019 12:32 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.23),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rule No.21),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate(Gen.Rule No.19)Mini amount of work done as per Schedule-F,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Proof of registration under Employee Provident Funds and Miscellaneous provision Act, 1952",,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No.7 and 8 duly signed (General Rule No.26.7),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of both Gazetted and non gazetted Officer HPPWD employees related to him (Gen.Rule No.16,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,AOC
