Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage
"HP Irrigation and Public Health||Rohru Circle,Irrigation and Public Health,HP||Jubbal,Irrigation and Public Health,HP",2022_HPIPH_65116_1,JBL-SML-09-718,Augmentation and retrofitting of various GWSS under GP Baghi Bakhol Gumma Himri Kalbog Kiarvi Mahasu Nagan Purag Ram Nagar Ratnari and Rawlakiar to provide FHTC to leftout house hold under Jal Shakti Sub Division Gumma Tehsil Kotkhai Distt Shimla,1.0,303570.0,CHATTER SINGH RATHORE,INR,"9,041,934",SE Rohru,Internal,Supdt works CHD AED EEJ EED,BODHBERDHAN GUPTA,04-Feb-2023 01:24 PM,finsummary_97989.pdf (1851.46 KB),04-Feb-2023,"INR 9,505,309",365.0,BODHBERDHAN GUPTA,04-Feb-2023 02:42 PM,102.pdf (654.00 KB),Work awarded to Sh. Chatter Singh Rathore Contractor vide this office letter No. 6777-80 dated 13/10/2022 (Agg No. 266 for 2022-23),Finance,Financial Summary Attached,BODHBERDHAN GUPTA,04-Feb-2023 01:08 PM,None,BOQ Comparative Chart,Technical,Technical bid summary,BODHBERDHAN GUPTA,11-Oct-2022 02:32 PM,technical_97989.pdf,Executive Engineer,Internal,AE J Supdt DHD TA,BODHBERDHAN GUPTA,11-Oct-2022 02:41 PM,11-Oct-2022 02:45 PM,techsummary_97989.pdf (388.22 KB),1.0,303570.0,CHATTER SINGH RATHORE,25-Sep-2022 01:25 PM,Accepted-AOC,Lowest Bidder,04-Feb-2023 02:43 PM,AOC,Augmentation and retrofitting of various GWSS under GP Baghi Bakhol Gumma Himri Kalbog Kiarvi Mahasu Nagan Purag Ram Nagar Ratnari and Rawlakiar to provide FHTC to leftout house hold under Jal Shakti Sub Division Gumma Tehsil Kotkhai Distt Shimla,Augmentation and retrofitting of various GWSS under GP Baghi Bakhol Gumma Himri Kalbog Kiarvi Mahasu Nagan Purag Ram Nagar Ratnari and Rawlakiar to provide FHTC to leftout house hold under Jal Shakti Sub Division Gumma Tehsil Kotkhai Distt Shimla,Please refer Tender documents. ,NA ,"95,05,309",Civil Works,Civil and pipe line work ,Tender,120.0,365.0,Gumma,171202.0,NA ,NA ,NA ,JSV Division Jubbal,No ,No,1.0,CORRIGENDUM,Other,,"1,27,600",Yes,fixed,,Nil,Nil,"HP Irrigation and Public Health||Rohru Circle,Irrigation and Public Health,HP||Jubbal,Irrigation and Public Health,HP",JBL-SML-09-718,2022_HPIPH_65116_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of form,800.0,Nil,Nil,Yes,1.0,ICICI BANK,16-Sep-2022 05:00 PM,28-Sep-2022 11:30 AM,16-Sep-2022 05:00 PM,28-Sep-2022 11:00 AM,NA ,NA ,16-Sep-2022 05:00 PM,28-Sep-2022 11:00 AM,11-Oct-2022 02:45 PM,Executive Engineer,JSV Division Jubbal,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,304424.0,Harsh chauhan,27-Sep-2022 06:53 PM,Rejected-Finance,L2,04-Feb-2023 01:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money or exemption certificate duly attached with undertaking of balance exemption,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,304365.0,Suneel Dutt,28-Sep-2022 10:33 AM,Rejected-Finance,L3,04-Feb-2023 01:24 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid certificate of enlistment with JSV Department in appropriate Class,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN Number GST Number EPF Number and Latest ITR,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A Scanned copy of undertaking that I have carefully studied all the terms and conditions,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit/undertaking that no near relative of the bidder is working in JSV Department,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit/undertaking the bidder is not a black listed by any of Division of JSV Department,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid dealership/Sub dealership certificate with calculated curve chart,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,AOC
