Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog","Office of Sr. Executive Engineer,ED Karsog",HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,184619/2022-23-8281-90 Dated 02-02-2023,2023_HPSEB_68113_1,Yes,Open Tender,Item Wise,Services,2.0,No,No,Online,No,No,No,04-Feb-2023 05:05 PM,13-Feb-2023 12:30 PM,04-Feb-2023 05:05 PM,13-Feb-2023 10:30 AM,NA ,NA ,04-Feb-2023 05:05 PM,13-Feb-2023 10:30 AM,15-Feb-2023 04:05 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,1.0,ICICI BANK,"11,504",No,fixed,,Nil,Nil,590.0,Nil,Nil,No,Tender for replacement of 30 Nos. rotten wooden poles from existing 25KVA 22/0.4KV Sub-Station Richhani under Electrical Sub-Division HPSEBL Seri.,Tender for replacement of 30 Nos. rotten wooden poles from existing 25KVA 22/0.4KV Sub-Station Richhani under Electrical Sub-Division HPSEBL Seri.,Please refer tender document  ,N/A ,"4,60,165",Supply and Erection,Electrical work ,Tender,180.0,30.0,Seri,175011.0,NA ,NA ,NA ,"Office of Sr. Executive Engineer,ED Karsog",No ,No,AOC,Technical,Fulfill all the techno-commercial condition as per bid document,Ravinder Kumar,15-Feb-2023 03:49 PM,technical_102584.pdf,Finance,Financial bid opened by tender committee.,Sushil Kumar,23-Feb-2023 11:27 AM,finance_102584.pdf,BOQ Comparative Chart,23-Feb-2023,"INR 460,165",30.0,Sushil Kumar,23-Feb-2023 05:25 PM,award133richhni.pdf (1868.00 KB),Awarded to M/S Koyla Engineering Works because the price-bid was lowest 2 and found to be valid i.e. as per the terms and conditions mentioned in the tender document.,1.0,321773.0,KAMAKSHA POWER PROJECTS AND CONSTRUCTION PRIVATE LIMITED,11-Feb-2023 07:43 PM,Rejected-Finance,"Price bid was found to be the L 1, but at the same time it was also found to be less than 25 percent of the NIT amount as per the terms and conditions mentioned in the tender document hence rejected",23-Feb-2023 04:50 PM,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,Attached,Ravinder Kumar,15-Feb-2023 04:01 PM,15-Feb-2023 04:05 PM,techsummary_102584.pdf (355.10 KB),"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,Attached,Sushil Kumar,23-Feb-2023 04:50 PM,finsummary_102584.pdf (519.63 KB),HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,2023_HPSEB_68113_1,184619/2022-23-8281-90 Dated 02-02-2023,Tender for replacement of 30 Nos. rotten wooden poles from existing 25KVA 22/0.4KV Sub-Station Richhani under Electrical Sub-Division HPSEBL Seri.,1.0,321983.0,Koyla Engineering Works,INR,"345,123.75",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,321983.0,Koyla Engineering Works,12-Feb-2023 07:45 PM,Accepted-AOC,Awarded to M/S Koyla Engineering Works because the price-bid was lowest 2 and found to be valid i.e. as per the terms and conditions mentioned in the tender document.,23-Feb-2023 05:26 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A Class Electrical License from competent authority as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3.0,320731.0,VISHAL ELECTRICAL GOVT CONT,12-Feb-2023 01:42 PM,Rejected-Finance,L3,23-Feb-2023 04:50 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of turnover from CA as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience/ work done certificate as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Non- blacklisting as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking of no litigation in Govt./ Semi Govt. institution as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Registration of PAN, GST, EPF and insurance policies for work man as per bid document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cancelled Check as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
