Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,BOS,Jeet Singh Thakur,26-Mar-2022 06:42 PM,None,BOQ Comparative Chart,1.0,269859.0,Surinder Pal Dhall,INR,"49,666,606",Technical,BOS,Jeet Singh Thakur,17-Mar-2022 05:13 PM,technical_87023.pdf,1.0,269866.0,sahab singh thakur,14-Mar-2022 08:33 PM,Rejected-Finance,being 2nd lowest,02-Apr-2022 07:07 PM,04-Feb-2023,"INR 4,967,102",60.0,Jeet Singh Thakur,04-Feb-2023 05:59 PM,19961.pdf (964.00 KB),Annual Maintenance on Ludera Sungal Paluin road Km. 6/0 to 9/0 for the year 2022-23 Providing and Laying Bituminous Concrete ),EE,Internal,Assistant Engineer superintendent and senior Assistant,Jeet Singh Thakur,02-Apr-2022 07:07 PM,finsummary_87023.pdf (128.96 KB),EE,Internal,Assistant Engineer Superintendent and senior Assistant,Jeet Singh Thakur,17-Mar-2022 05:28 PM,22-Mar-2022 11:30 AM,techsummary_87023.pdf (235.55 KB),PWD,2022_PWD_57652_1,No.PWC- WA-II-16809-908 dated 25.2.22,Annual Maintenance on Ludera Sungal Paluin road Km. 6/0 to 9/0 for the year 2022-23 Providing and Laying Bituminous Concrete ),AOC,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,Annual Maintenance on Ludera Sungal Paluin road Km. 6/0 to 9/0 for the year 2022-23 Providing and Laying Bituminous Concrete ),Annual Maintenance on Ludera Sungal Paluin road Km. 6/0 to 9/0 for the year 2022-23 Providing and Laying Bituminous Concrete ),Please refer Tender documents. ,NA ,"49,67,102",Civil Works,NA ,Tender,75.0,60.0,Chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,"2,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form only online mode through e-payment,08-Mar-2022 01:00 PM,16-Mar-2022 11:30 AM,08-Mar-2022 01:00 PM,15-Mar-2022 05:00 PM,NA ,NA ,08-Mar-2022 01:00 PM,15-Mar-2022 05:00 PM,22-Mar-2022 11:30 AM,1.0,ICICI BANK,"99,400",No,fixed,,Nil,Nil,PWD,No.PWC- WA-II-16809-908 dated 25.2.22,2022_PWD_57652_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,2.0,269859.0,Surinder Pal Dhall,15-Mar-2022 04:48 PM,Accepted-AOC,Work completed,04-Feb-2023 05:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money only online mode through e-payment,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.24.3 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form HPPWD 7/8,duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Own Mini Hot Mix Plant, Paver Finisher and road Roller documentary proof",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of technical staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done at least one similar work of forty percent of the estimated value of work (without L.D.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
