Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Finance,SUMMARY,Daleep Singh Kaundal,21-Feb-2023 02:21 PM,finance_96388.pdf,BOQ Comparative Chart,1.0,297585.0,sachin chauhan,INR,"1,694,784",Technical,SUMMARY,Narender verma,01-Sep-2022 01:32 PM,technical_96388.pdf,1.0,297785.0,ankush thakur,29-Aug-2022 09:25 AM,Rejected-Finance,L3,21-Feb-2023 02:24 PM,21-Feb-2023,"INR 1,647,695",60.0,Daleep Singh Kaundal,21-Feb-2023 02:27 PM,AOC.pdf (1274.00 KB),work awarded to Sh. Sachin Chauhan,Er. Narender Kumar Verma EE,Internal,"Er. D.S Kaundal AE Smt. Pushpa Devi Supdt. G-II,Smt. Asha Devi HDM,Sh. Rajinder Kumar Supdt. G-II., Sh. Ghan Shyam Sr.Asstt.",Daleep Singh Kaundal,21-Feb-2023 02:24 PM,finsummary_96388.pdf (916.55 KB),Er. Narender Kumar Verma EE,Internal,"Er. D.S Kaundal AE Smt. Pushpa Devi Supdt. G-II, Smt. Asha KKamal HDM, Sh. Ghan Shyam Sr.Asstt.",Narender verma,01-Sep-2022 01:35 PM,01-Sep-2022 02:15 PM,techsummary_96388.pdf (1620.13 KB),PWD,2022_PWD_63964_6,No.PW.RGH.Tender-2022-23-5468 dt. 22.08.222,"C/o Kawga Katoli Sandhra road road km 0/0 to 3/0 (SH P/L WBM G-II,G-III and Premix carpet with seal coat in between km 1/300 to 2/00)",AOC,"33,000",No,fixed,,Nil,Nil,"C/o Kawga Katoli Sandhra road road km 0/0 to 3/0 (SH P/L WBM G-II,G-III and Premix carpet with seal coat in between km 1/300 to 2/00)","C/o Kawga Katoli Sandhra road road km 0/0 to 3/0 (SH P/L WBM G-II,G-III and Premix carpet with seal coat in between km 1/300 to 2/00)",Please refer Tender documents. ,NA ,"16,47,695",Civil Works - Roads,NA ,Tender,75.0,60.0,HIMACHAL PRADESH PUBLIC WORKS DEPARTMENT,171002.0,NA ,NA ,NA ,RAJGARH DIVISION HPPWD RAJGARH,No ,No,PWD,No.PW.RGH.Tender-2022-23-5468 dt. 22.08.222,2022_PWD_63964_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,EXECUTIVE ENGINEER,RAJGARH DIVISION HPPWD RAJGARH,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER,500.0,Nil,Nil,No,1.0,ICICI BANK,23-Aug-2022 05:00 PM,29-Aug-2022 11:00 AM,23-Aug-2022 05:00 PM,29-Aug-2022 10:30 AM,NA ,NA ,23-Aug-2022 05:00 PM,29-Aug-2022 10:30 AM,01-Sep-2022 02:15 PM,AOC
,,,,,,,,,,,,,,,,2.0,297585.0,sachin chauhan,26-Aug-2022 04:07 PM,Accepted-AOC,L1,21-Feb-2023 02:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,297615.0,Vikram Thakur,26-Aug-2022 05:26 PM,Rejected-Finance,L2,21-Feb-2023 02:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION-Refer General Rule,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"THE CONTRACTOR IS REQUIRED TO STUDY GENERAL RULES DIRECTIONS, CONDITIONS, F-8 Refer General Rule",,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen.,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide.,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,AOC
