EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"17,700",No,fixed,,Nil,Nil,PWD,C/O Link road to Village Chanti to Dhar,2022_PWD_62286_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,C/O Link road to Village Chanti to Dhar Km 0/0 to 3/500,Providing and Laying 2Cm thick Premix carpet and seal coat Km 0/700 to 2/00) (MNP),Please refer Tender documents. ,NA ,"8,82,609",Civil Works - Roads,NA ,Tender,75.0,60.0,Jaisinghpur,176095.0,NA ,NA ,NA ,Jaisinghpur,No ,No,350.0,Nil,Nil,No,1.0,ICICI BANK,29-Jun-2022 05:00 PM,06-Jul-2022 11:00 AM,29-Jun-2022 05:00 PM,05-Jul-2022 05:00 PM,NA ,NA ,29-Jun-2022 05:00 PM,05-Jul-2022 05:00 PM,08-Jul-2022 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,The valid enlistment/registration of contractor in appropriate class,Executive Engineer,"Executive Engineer, HPPWD Division Jaisinghpur",AOC,1.0,289580.0,ADARSH SOOD,02-Jul-2022 10:34 AM,Rejected-Finance,Rejected due to higher rates bidder L2,14-Jul-2022 04:42 PM,Technical,Summary,R.K Dhiman,07-Jul-2022 04:26 PM,technical_93947.pdf,Finance,Summary,R.K Dhiman,14-Jul-2022 04:35 PM,finance_93947.pdf,BOQ Comparative Chart,1.0,289575.0,HARBANS SINGH,INR,"1,386,373",PWD,2022_PWD_62286_1,C/O Link road to Village Chanti to Dhar,C/O Link road to Village Chanti to Dhar Km 0/0 to 3/500,Executive Engineer,Internal,"Executive Engineer, DA, HDM, Supdt G-II",R.K Dhiman,07-Jul-2022 04:27 PM,08-Jul-2022 11:00 AM,techsummary_93947.pdf (253.60 KB),Executive Engineer,Internal,"Executive Engineer, DA, HDM, Supdt G-II",R.K Dhiman,14-Jul-2022 04:42 PM,finsummary_93947.pdf (204.54 KB),20-Sep-2022,"INR 882,609",60.0,Vijay Kumar Verma,22-Feb-2023 03:28 PM,Award.pdf (574.00 KB),Award,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,.pdf,GST/PAN/ EPF,,,AOC,2.0,289637.0,arun kumar,04-Jul-2022 04:11 PM,Rejected-Finance,Rejected due to higher rates bidder L3,14-Jul-2022 04:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done detail/work in hand in last five year with base year indicated in performa of Schedule F i,,,AOC,3.0,289575.0,HARBANS SINGH,05-Jul-2022 02:15 PM,Accepted-AOC,Accepted due to lowest rates bidder L1,22-Feb-2023 03:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate and one work not less than 40 percent of estimated cost in similar nature,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery along with photo copy of RC and staff,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HPPWD department attested by notary / 1st class maji,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the contractor has not more than two work in hand attested by notary / 1st class maji,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid (Name of work) is correct in all respect. attested,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 duly signed on judicial paper.,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender form (Indicated in schedule F),,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
