Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Bank Name,Name,Address,Tender Stage
HPSEBL||CE(ES) Hamirpur||SE(Design) Hamirpur,2022_HPSEB_61700_1,SSD-499/2022,Procurement of 66 kV and 33 kV CRP,1.0,292372.0,Avana Electrosystems Pvt. Ltd.,INR,"11,695,393",SE Design,Internal,"SE Design, XEN, AE",Puneet Chaudhary,20-Feb-2023 12:20 PM,finsummary_93102.pdf (96.34 KB),Er. K. K. Bhardwaj,Internal,"SE, Sr. Xen, AE, AAO",Puneet Chaudhary,30-Sep-2022 03:07 PM,30-Sep-2022 03:10 PM,techsummary_93102.pdf (192.09 KB),1.0,292496.0,AARTECH SOLONICS LTD,29-Jul-2022 12:23 PM,Rejected-AOC,L-3,20-Feb-2023 12:22 PM,20-Feb-2023,"INR 11,695,393",180.0,Puneet Chaudhary,20-Feb-2023 12:21 PM,avana.pdf (309.00 KB),Finance,Bids of responsive firms have been opened,Megha Rana,30-Sep-2022 03:26 PM,finance_93102.pdf,BOQ Comparative Chart,Technical,"The tender opening committee comprises of Superintending Engineer, Sr. Executive Engineer, Assistant Engineer and Accounts Officer.",Megha Rana,22-Aug-2022 04:46 PM,technical_93102.pdf,AOC,"11,800",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,List of Past Supplies,HPSEBL||CE(ES) Hamirpur||SE(Design) Hamirpur,SSD-499/2022,2022_HPSEB_61700_1,Yes,Open Tender,Item Wise,Goods,2.0,No,No,Online,No,No,No,"1,32,000",No,fixed,,Nil,Nil,Procurement of 66 kV and 33 kV CRP,"DESIGN, ENGINEERING, MANUFACTURE, TESTING AT MANUFACTURER WORKS, DELIVERY AT F.O.R. DESTINATION STATION, SUPERVISION OF ERECTION, TESTING AND COMMISSIONING OF 66 KV and 33 KV CONTROL and RELAY PANELS Against SSD 499 2022",Please refer Tender documents. ,NA ,"1,32,00,000",Electrical Work/ Equipment,NA ,Tender,240.0,180.0,Various Sub-stations of HPSEBL,177004.0,NA ,NA ,NA ,Hamirpur,No ,No,1.0,Extension of due date-V,Date,,13-Jun-2022 05:00 PM,22-Aug-2022 03:00 PM,13-Jun-2022 06:00 PM,22-Aug-2022 01:00 PM,NA ,NA ,15-Jun-2022 10:00 AM,22-Aug-2022 01:00 PM,30-Sep-2022 03:10 PM,1.0,ICICI BANK,"SE (Design), ES, HPSEBL, Hamirpur","O/o SE (Design), ES, HPSEBL, Hamirpur",AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,292372.0,Avana Electrosystems Pvt. Ltd.,29-Jul-2022 10:55 AM,Accepted-AOC,L-1,20-Feb-2023 12:22 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,.xls,GTPs and Technocommercial Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Pre Bid Query IV,Technical Bid,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3.0,294003.0,Hartek India Private Limited,16-Aug-2022 08:12 PM,Rejected-Technical,Non-Responsive,30-Sep-2022 03:07 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,No Technical and Commercial Deviation certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4.0,288664.0,Popular Switchgears Pvt Ltd,29-Jul-2022 12:20 PM,Rejected-AOC,L-2,20-Feb-2023 12:22 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,"Abstract of Financial Qualifying requirements such as turnover, bank solvancy etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5.0,294309.0,Ultima Switchgears Limited,05-Aug-2022 12:20 PM,Rejected-Technical,Non-Responsive,30-Sep-2022 03:07 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,"Firm Registration certificate, GST Registration, PAN Card, ITRs and Non Blacklisting certificate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Tender Form and Tender Performa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Type Tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.rar,Any other documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Performance Certificates of offered/higher class rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Tender Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
