Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
14-Feb-2023,"INR 293,176",30.0,Narender verma,14-Feb-2023 03:42 PM,AOCChandniKathwar.pdf (588.00 KB),Restoration of rain damages on link road from Chandani Kathwar road Km 0/0 to 13/480 (SH- Construction Retaining wall in PCC 1-4-8 at RD 6/650 to 6/665 and Breast wall at RD 4/850 to 4/870),EE Shillai,Internal,"AE Shillai, HDM, Supdt. TA",Pramod Upreti,18-Feb-2022 11:31 AM,finsummary_84089.pdf (133.03 KB),EE Shillai,Internal,"AE Shillai, HDM, Supdt.",Pramod Upreti,04-Feb-2022 01:51 PM,04-Feb-2022 03:00 PM,techsummary_84089.pdf (1383.51 KB),PWD,2022_PWD_55939_3,TA-13886-13985dt-14-1-22,Restoration of rain damages on link road from Chandani Kathwar road Km 0/0 to 13/480 (SH- Construction Retaining wall in PCC 1-4-8 at RD 6/650 to 6/665 and Breast wall at RD 4/850 to 4/870),Technical,technical summary,Pramod Upreti,04-Feb-2022 01:45 PM,technical_84089.pdf,1.0,259901.0,CHATTAR SINGH CONTRACTOR,31-Jan-2022 03:52 PM,Rejected-Finance,Not lowest,18-Feb-2022 11:31 AM,Finance,financial summary,Pramod Upreti,04-Feb-2022 04:46 PM,finance_84089.pdf,BOQ Comparative Chart,1.0,259700.0,RAJENDER PARKASH,INR,"293,176",AOC,1.0,ICICI BANK,20-Jan-2022 05:00 PM,01-Feb-2022 12:30 PM,20-Jan-2022 05:00 PM,31-Jan-2022 05:00 PM,NA ,NA ,20-Jan-2022 05:00 PM,31-Jan-2022 05:00 PM,04-Feb-2022 03:00 PM,Restoration of rain damages on link road from Chandani Kathwar road Km 0/0 to 13/480 (SH- Construction Retaining wall in PCC 1-4-8 at RD 6/650 to 6/665 and Breast wall at RD 4/850 to 4/870),Restoration of rain damages on link road from Chandani Kathwar road Km 0/0 to 13/480 (SH- Construction Retaining wall in PCC 1-4-8 at RD 6/650 to 6/665 and Breast wall at RD 4/850 to 4/870),NA ,NA ,"4,18,824",Civil Works - Roads,NA ,Rate Contract,120.0,30.0,Shillai,173027.0,NA ,NA ,NA ,Shillai,No ,No,350.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Scanned copy Cost of tender indicated in schedule F at sr No 6.3,EE Shillai,Executive Engineer HPPWD shillai,"8,400",No,fixed,,Nil,Nil,PWD,TA-13886-13985dt-14-1-22,2022_PWD_55939_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,259700.0,RAJENDER PARKASH,31-Jan-2022 12:32 PM,Accepted-AOC,AOC,14-Feb-2023 03:42 PM,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Earnest money indicated in schedule F at sr No 6.5,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,259413.0,Ranveer Singh,28-Jan-2022 06:12 PM,Rejected-Finance,Not lowest,18-Feb-2022 11:31 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Contractor registrations refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,259861.0,virender sharma,31-Jan-2022 02:42 PM,Rejected-Finance,Not lowest,18-Feb-2022 11:31 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Sale tax registration refers general rule sr. No 21 and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy GST Registration,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant (Refer Schedule F with reference to Clause 18)",,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy From No 8 duly signed gen. Rule Sr. No 26.7,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,work in hand general rule sr. No 19,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,AOC
