Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address
Technical,TechnicalBidOpeningSummary,Arvind Chaudhary,16-Feb-2023 12:56 PM,technical_102177.pdf,1.0,321677.0,Shivalik Construction Company,13-Feb-2023 11:12 AM,Accepted-AOC,ok,19-Sep-2023,1.0,321677.0,Shivalik Construction Company,INR,"3,986,285",Finance,Proceedingregardingopeningoffinancialbids,Arvind Chaudhary,20-Feb-2023 04:02 PM,finance_102177.pdf,BOQ Comparative Chart,"Er. Rajesh Kumar, EE",Internal,"Er. Kuldeep Singh AE to EE Amit Singh DAO Harish Chander Sharma Head Draughtsman, Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II",Arvind Chaudhary,20-Feb-2023 04:55 PM,finsummary_102177.pdf (478.74 KB),25-Feb-2023,"INR 3,870,180",60.0,Baldev Singh,19-Sep-2023 05:27 PM,Awardletter.pdf (841.00 KB),Awardletter,PWD,2023_PWD_67834_1,Job 3 Periodical Maintenance from Gondpur Turf Jai,"Job 3 Periodical Maintenance from Gondpur Turf Jai Chand to Jhol Majra km. 2-0 to 2-500 VR 067, Gondpur Turf Jai Chand to Sahuwal km. 0-0 to 1-100 VR. 121, Gondpur Turf Jai Chand to Bilna km. 0-0 to 0-500 VR. 138, Link road to Lambibarhi of Bathu k",Er. Dev Raj. EE Una,Internal,"Er. Kuldeep Singh AE to EE Amit Singh DAO Harish Chander Sharma Head Draughtsman, Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II",Arvind Chaudhary,16-Feb-2023 01:19 PM,17-Feb-2023 10:00 AM,techsummary_102177.pdf (173.94 KB),PWD,Job 3 Periodical Maintenance from Gondpur Turf Jai,2023_PWD_67834_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"1,500",Nil,Nil,No,"Job 3 Periodical Maintenance from Gondpur Turf Jai Chand to Jhol Majra km. 2-0 to 2-500 VR 067, Gondpur Turf Jai Chand to Sahuwal km. 0-0 to 1-100 VR. 121, Gondpur Turf Jai Chand to Bilna km. 0-0 to 0-500 VR. 138, Link road to Lambibarhi of Bathu k","Job 3 Periodical Maintenance from Gondpur Turf Jai Chand to Jhol Majra km. 2-0 to 2-500 VR 067, Gondpur Turf Jai Chand to Sahuwal km. 0-0 to 1-100 VR. 121, Gondpur Turf Jai Chand to Bilna km. 0-0 to 0-500 VR. 138, Link road to Lambibarhi of Bathu k",Please refer to Bidding Documents ,NA ,"38,70,180",Civil Works - Roads,NA ,Tender,75.0,60.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender through online,"65,600",No,fixed,,Nil,Nil,1.0,Change of opening tender of tender,Date,,31-Jan-2023 06:30 PM,14-Feb-2023 11:00 AM,31-Jan-2023 06:30 PM,13-Feb-2023 05:00 PM,NA ,NA ,31-Jan-2023 06:30 PM,13-Feb-2023 05:00 PM,17-Feb-2023 10:00 AM,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una"
,,,,,2.0,321543.0,SS CONSTRUCTION COMPANY,13-Feb-2023 03:50 PM,Rejected-Finance,Not L-1,20-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money through online,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration with validity,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and NOC from concerned department,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and NOC from concerned department,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work Done Certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equival",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work in hand certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equi",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Machinery Tool Plant as per bid documents along with documentary proof.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Both Gazetted and non-Gazetted officer HPPWD employees related to him (General Rule,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,,,,,,,,,,,,
