Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog","Office of Sr. Executive Engineer,ED Karsog","13,612",No,fixed,,Nil,Nil,"Tender for replacement of 42 Nos rotten wooden poles from existing 63 KVA, 22/0.4 kV Sub-Station Bhadawan 1st and 25KVA Bdhawan 2nd under Electrical Sub-Division HPSEBL Chhatri.","Tender for replacement of 42 Nos rotten wooden poles from existing 63 KVA, 22/0.4 kV Sub-Station Bhadawan 1st and 25KVA Bdhawan 2nd under Electrical Sub-Division HPSEBL Chhatri.",Please refer tender document  ,N/A ,"5,44,496",Supply and Erection,Electrical Work ,Tender,180.0,30.0,Chhatri,175014.0,NA ,NA ,NA ,"Office of Sr. Executive Engineer,ED Karsog",No ,No,HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,184619/2022-23-8037-43 Dated 24-01-2023,2023_HPSEB_67688_1,Yes,Open Tender,Item Wise,Services,2.0,No,No,Online,No,No,No,28-Jan-2023 04:55 PM,03-Feb-2023 12:30 PM,28-Jan-2023 05:00 PM,03-Feb-2023 10:30 AM,NA ,NA ,28-Jan-2023 05:00 PM,03-Feb-2023 10:30 AM,06-Feb-2023 04:30 PM,1.0,ICICI BANK,"1,180",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,AOC,17-Feb-2023,"INR 544,496",30.0,Sushil Kumar,17-Feb-2023 04:03 PM,129bhadawan.pdf (1942.00 KB),Awarded to M/S Koyla Engineering Works because the price-bid was lowest 2 and found to be valid i.e. as per the terms and conditions mentioned in the tender document.,Technical,Fulfill all the techno-commercial condition as per bid document,Sushil Kumar,06-Feb-2023 03:39 PM,technical_102000.pdf,Finance,Financial bid opened by tender committee,Sushil Kumar,17-Feb-2023 11:22 AM,finance_102000.pdf,BOQ Comparative Chart,1.0,319837.0,KAMAKSHA POWER PROJECTS AND CONSTRUCTION PRIVATE LIMITED,03-Feb-2023 10:24 AM,Rejected-Finance,"Price bid was found to be the L 1, but at the same time it was also found to be less than 25 percent of the NIT amount as per the terms and conditions mentioned in the tender document hence rejected.",17-Feb-2023 02:36 PM,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,Attached,Sushil Kumar,06-Feb-2023 03:51 PM,06-Feb-2023 04:30 PM,techsummary_102000.pdf (429.07 KB),"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,Attached,Sushil Kumar,17-Feb-2023 02:36 PM,finsummary_102000.pdf (528.70 KB),HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,2023_HPSEB_67688_1,184619/2022-23-8037-43 Dated 24-01-2023,"Tender for replacement of 42 Nos rotten wooden poles from existing 63 KVA, 22/0.4 kV Sub-Station Bhadawan 1st and 25KVA Bdhawan 2nd under Electrical Sub-Division HPSEBL Chhatri.",1.0,317431.0,Koyla Engineering Works,INR,"408,389.86",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,.pdf,EMD,AOC,,,,,,,,,,,,,,,,,,,2.0,317431.0,Koyla Engineering Works,01-Feb-2023 08:19 PM,Accepted-AOC,Awarded to M/S Koyla Engineering Works because the price-bid was lowest 2 and found to be valid i.e. as per the terms and conditions mentioned in the tender document.,17-Feb-2023 04:04 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A Class Electrical License from competent authority as per bid document,AOC,,,,,,,,,,,,,,,,,,,3.0,319651.0,NAROTAM RAM,02-Feb-2023 03:00 PM,Rejected-Finance,L4,17-Feb-2023 02:36 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of turnover from CA as per bid document,AOC,,,,,,,,,,,,,,,,,,,4.0,319781.0,SUNEEL THAKUR ELECTRICAL,02-Feb-2023 09:07 PM,Rejected-Finance,L3,17-Feb-2023 02:36 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience/ work done certificate as per bid document,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of non blacklisting as per bid document,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking of no litigation in Govt./ Semi Govt. institution as per bid document,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Registration of PAN , GST, EPF and insurance policies for work man as per bid document",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cancelled Check as per bid document,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
