S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
1.0,ICICI BANK,"SE (Design), ES, HPSEBL, Hamirpur","O/o SE (Design), ES, HPSEBL, Hamirpur",09-Dec-2021 03:00 PM,21-Mar-2022 03:00 PM,09-Dec-2021 04:00 PM,21-Mar-2022 01:00 PM,NA ,NA ,15-Dec-2021 11:00 AM,21-Mar-2022 01:00 PM,18-Apr-2022 03:15 PM,1.0,Extension,Date,,HPSEBL||CE(ES) Hamirpur||SE(Design) Hamirpur,SSD-494/2021,2021_HPSEB_54506_1,Yes,Open Tender,Item Wise,Goods,2.0,No,No,Online,No,No,No,Procurement of 24/36 kV Indoor Switchgear Panels,Procurement of 24/36 kV Indoor Switchgear Panels for various s/stns against SSD-494/2021,Please refer Tender documents. ,NA ,"1,80,00,000",Electrical Work/ Equipment,NA ,Tender,240.0,270.0,Various Sub-stations of HPSEBL,171004.0,Hamirpur ,"O/o SE (Design), ES, HPSEBL, Hamirpur ",14-Dec-2021 10:00 AM ,Hamirpur,No ,No,"10,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Tender Documents,"1,80,000",No,fixed,,Nil,Nil,AOC,SE (Design),Internal,"SE Design, XEN, AE",Puneet Chaudhary,01-Feb-2023 03:20 PM,finsummary_81626.pdf (96.19 KB),HPSEBL||CE(ES) Hamirpur||SE(Design) Hamirpur,2021_HPSEB_54506_1,SSD-494/2021,Procurement of 24/36 kV Indoor Switchgear Panels,1.0,270288.0,M/s Megawin Swicthgear P Limited,INR,"21,271,471.78",1.0,270288.0,M/s Megawin Swicthgear P Limited,19-Mar-2022 05:35 PM,Accepted-AOC,LI,01-Feb-2023 03:25 PM,SE (Design),Internal,"SE, Sr. Xen, AE",Narender Pal Abrol,18-Apr-2022 03:14 PM,18-Apr-2022 03:15 PM,techsummary_81626.pdf (96.37 KB),Technical,Techno commercial bid part 1 has been opened,Megha Rana,22-Mar-2022 03:43 PM,technical_81626.pdf,Finance,price bid of responsive bidder has been opened,Megha Rana,18-Apr-2022 03:24 PM,finance_81626.pdf,BOQ Comparative Chart,01-Feb-2023,"INR 21,271,471.78",270.0,Puneet Chaudhary,01-Feb-2023 03:24 PM,PO.pdf (367.00 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,2.0,Pre Bid Clarifications,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Test Reports,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Past Supplies,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PERFORMANCE CERTIFICATE OF OFFERED RATING OF SAME /HIGHER VOLTAGE CLASS Panels,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Form and Tender Performa,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,GTPs and Technocommercial Schedule,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,No Technical and Commercial Deviation certificate,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Abstract of Financial Qualifying requirements such as turnover, bank solvancy and bid capacity etc",,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Firm Registration certificate, GST Registration, PAN Card, ITRs and Non Blacklisting certificate",,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.rar,Any other documents,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
