Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
SE Design ES HPSEBL Hamirpur,O/o SE Design ES HPSEBL Hamirpur,1.0,Fee/PreQual/Technical,.pdf,Tender Form and Tender Performa,1.0,ICICI BANK,Procurement of 66/22kV 10 MVA 3-Phase Power Transformer for 66/22 kV Sub-Station HPSEBL Gumma in District Shimla HP,Procurement of 66/22kV 10 MVA 3-Phase Power Transformer for 66/22 kV Sub-Station HPSEBL Gumma in District Shimla HP,Please refer Tender documents. ,NA ,"1,98,00,000",Electrical Work/ Equipment,NA ,Tender,240.0,180.0,Shimla,171004.0,O/o SE Design ES HPSEBL Hamirpur ,O/o SE Design ES HPSEBL Hamirpur ,27-Jul-2022 02:00 PM ,O/o SE Design ES HPSEBL Hamirpur,No ,No,"1,98,000",No,fixed,,Nil,Nil,1.0,Corrigendum6,Date,,25-Jul-2022 05:40 PM,19-Sep-2022 03:00 PM,25-Jul-2022 05:45 PM,19-Sep-2022 11:00 AM,NA ,NA ,28-Jul-2022 04:00 PM,19-Sep-2022 11:00 AM,29-Sep-2022 03:35 PM,"5,900",Nil,Nil,Yes,HPSEBL||CE(ES) Hamirpur||SE(Design) Hamirpur,SSD-503/22,2022_HPSEB_63064_1,Yes,Open Tender,Item Wise,Goods,2.0,No,Yes,Online,No,No,No,AOC,Er KK Bhardwaj,Internal,Sr XEN AAO AE,Puneet Chaudhary,11-Oct-2022 02:53 PM,finsummary_95106.pdf (101.83 KB),HPSEBL||CE(ES) Hamirpur||SE(Design) Hamirpur,2022_HPSEB_63064_1,SSD-503/22,Procurement of 66/22kV 10 MVA 3-Phase Power Transformer for 66/22 kV Sub-Station HPSEBL Gumma in District Shimla HP,1.0,293560.0,KANOHAR ELECTRICALS LIMITED,INR,"22,104,940",22-Dec-2022,"INR 22,104,940",180.0,Puneet Chaudhary,01-Feb-2023 04:06 PM,PO.pdf (1559.00 KB),PO Placed on firm Ms KEL,Finance,The part-II bid has been opened,Puneet Chaudhary,29-Sep-2022 03:43 PM,finance_95106.pdf,BOQ Comparative Chart,Technical,The part I bid has been opened,Puneet Chaudhary,19-Sep-2022 04:37 PM,technical_95106.pdf,Er KK Bhardwaj,Internal,Sr XEN AAO AE,Puneet Chaudhary,29-Sep-2022 03:33 PM,29-Sep-2022 03:35 PM,techsummary_95106.pdf (15.77 KB),1.0,293560.0,KANOHAR ELECTRICALS LIMITED,03-Aug-2022 02:35 PM,Accepted-AOC,PO Placed,01-Feb-2023 04:06 PM,AOC
,,,,.pdf,No Technical and Commercial Deviation certificate,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,"Abstract of Financial Qualifying requirements such as turnover, bank solvancy and bid capacity etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,"Firm Registration certificate, GST Registration, PAN Card, ITRs and Non Blacklisting certificate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,List of Past Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,PERFORMANCE CERTIFICATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Test Reports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.xls,GTPs and Technocommercial Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Power of attorney to sign tender documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.rar,Any other documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
