Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Instrument Type,S.No.2,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"periodical renewal of Nh 22 new Nh 05 Kalka shimla Wangtoo Road from km 131/00 to 145/100, 0/0 to 13/00 and 20/450 to 24/250 on Shimla Bye Pass Road",Periodical renewal with 50 mm DGBM and 40 mm BC road furniture and road marking etc,Please refer Tender documents. ,NA ,"21,52,11,369",Civil Works - Roads,NA ,Tender,120.0,270.0,Shimla,171001.0,NA ,NA ,NA ,Solan,No ,No,"41,50,000",No,fixed,,Executive Engineer NH Division HPPWD Solan,Solan,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,DD - Demand Draft,1.0,Corrigendum No.IV,Date,,23-Sep-2021 05:00 PM,21-Oct-2021 11:00 AM,23-Sep-2021 05:00 PM,21-Oct-2021 10:30 AM,NA ,NA ,23-Sep-2021 05:00 PM,21-Oct-2021 10:30 AM,26-Oct-2021 12:00 PM,1.0,Fee/PreQual/Technical,.pdf,cost of tender and earnest money deposit,PWD,3134-50,2021_PWD_52620_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer NH Division HPPWD Solan,"Executive Engineer NH Division, HPPWD Solan","5,000",Executive Engineer NH Division HPPWD Solan,Solan,No,AOC,Er Kulbir Singh Thakur EE,Internal,Ms Akriti Aggarwal DAO Sh Ghanshyam Mehta HDM Sh Rajender Singh Supdt GRII and Smt Samriti Verma TA,Kulbir Singh Thakur,26-Oct-2021 11:55 AM,26-Oct-2021 12:00 PM,techsummary_78669.pdf (2116.54 KB),PWD,2021_PWD_52620_1,3134-50,"periodical renewal of Nh 22 new Nh 05 Kalka shimla Wangtoo Road from km 131/00 to 145/100, 0/0 to 13/00 and 20/450 to 24/250 on Shimla Bye Pass Road",23-Nov-2021,"INR 195,522,381",270.0,Kulbir Singh Thakur,21-Feb-2023 02:34 PM,LOAAtulsharma.pdf (525.00 KB),LOA,Er Kulbir Singh Thakur EE,Internal,Miss Akriti Aggarawal AO Sh Ghanshyam Mehta HDM Sh Rajinder Singh Supdtt Gr II Smt Samriti Verma TA,Kulbir Singh Thakur,27-Oct-2021 12:52 PM,finsummary_78669.pdf (692.60 KB),Finance,Financial summary,Kulbir Singh Thakur,27-Oct-2021 12:45 PM,finance_78669.pdf,BOQ Comparative Chart,1.0,239997.0,Atul Sharma,INR,"195,522,381",1.0,239997.0,Atul Sharma,21-Oct-2021 10:06 AM,Accepted-AOC,being lowest bidder,21-Feb-2023 02:34 PM,1.0,corrigendum,Corrigendum,26-Oct-2021 11:34 AM,Corrigendum.pdf ,629.86,Technical Opening,Technical,Bid opening summary,Kulbir Singh Thakur,26-Oct-2021 11:47 AM,technical_78669.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,2.0,BG - Bank Guarantee,2.0,corrigendum III,Technical Bid,,,,,,,,,,,,,.pdf,contractors registration,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,239976.0,P K Construction Shimla Pvt Ltd,07-Oct-2021 01:09 PM,Rejected-Finance,Being L3,27-Oct-2021 12:52 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,.pdf,sales tax/GST,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,239387.0,S G Constructions,20-Oct-2021 05:21 PM,Rejected-Finance,Being L2,27-Oct-2021 12:52 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,4.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,.pdf,List of machinery tools and plants,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,239788.0,S.S. Associates,20-Oct-2021 05:34 PM,Rejected-Technical,Non-Responsive,26-Oct-2021 11:55 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,5.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of correctness of all the documents,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,6.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding both gazetted and non gazetted employees of HPPWD related to him,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,form of bid,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Number as mentioned in SBD,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,work done certificate,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
