Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No.2,Category,Sub Category,Sub Category Description,Format/File,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1.1,Bank Name
Er Dalip Singh Patial EE,Internal,Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt Sh Manish Kumar TA,Dalip singh Patial,23-Jun-2021 03:32 PM,finsummary_71187.pdf (278.56 KB),02-Feb-2023,"INR 568,641",765.0,Munish Bhopal,06-Sep-2023 02:37 PM,AOC.pdf (332.00 KB),work awarded to Sh Rajeev Singh Elect Contractor class C being L1,PWD,2021_PWD_47415_1,PW/MED/TA/NIT/ e-notice/21-22-620-25 dt 28.04.21,"Construction of Type II 6 Nos. quarters of Atal Adarsh Vidyalya at Marhi, District Mandi HP SH Providing EI therein",Er Dalip Singh Patial EE,Internal,Smt Karuna Sharma Superintendent Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt,Dalip singh Patial,11-Jun-2021 12:20 PM,11-Jun-2021 12:30 PM,techsummary_71187.pdf (317.70 KB),Finance,finsummary,Dalip singh Patial,23-Jun-2021 02:39 PM,finance_71187.pdf,BOQ Comparative Chart,1.0,212773.0,Rajiv Contactor,INR,"551,106",Technical,techbidsummary,Dalip singh Patial,11-Jun-2021 11:36 AM,technical_71187.pdf,1.0,212738.0,Krishan Pal,18-May-2021 11:14 AM,Rejected-Finance,Rejected being L2 firm/ contractor,23-Jun-2021,"Construction of Type II 6 Nos. quarters of Atal Adarsh Vidyalya at Marhi, District Mandi HP SH Providing EI therein","Construction of Type II 6 Nos. quarters of Atal Adarsh Vidyalya at Marhi, District Mandi HP SH Providing EI therein",Please refer to bid document ,NA ,,Electrical Works,NA ,Tender,75.0,365.0,Marhi,175040.0,NA ,NA ,NA ,"Electrical Division, HPPWD Mandi H.P",No ,No,350.0,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,No,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER and EARNEST MONEY as INDICATED IN SHEDULE F,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,PWD,PW/MED/TA/NIT/ e-notice/21-22-620-25 dt 28.04.21,2021_PWD_47415_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,13-May-2021 10:00 AM,20-May-2021 11:30 AM,13-May-2021 10:00 AM,19-May-2021 06:00 PM,NA ,NA ,13-May-2021 10:00 AM,19-May-2021 06:00 PM,11-Jun-2021 12:30 PM,"Executive Engineer, Electrical Division, HP.PWD M","Executive Engineer, Electrical Division, HP.PWD Mandi","11,400",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,1.0,ICICI BANK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,212961.0,NITIN PROP A VIGHNA ELECTRICALS,19-May-2021 04:23 PM,Rejected-Technical,Bid non responsive and unqualified,11-Jun-2021,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION in HPPWD in appropriate Class B or C (Electrical) with valid Elect license,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,212773.0,Rajiv Contactor,18-May-2021 01:00 PM,Accepted-AOC,work awarded being L1,06-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN, GST and EPF REGITRATION GENERAL RULES NO. 21",3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,212762.0,Ramesh Dhalaria,18-May-2021 12:11 PM,Rejected-Finance,Rejected being L2 firm/ contractor,23-Jun-2021,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FORM NO 7/8 duly signed REFER GENERAL RULES NO 26.7,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,5.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,6.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information being furnished with the bid is true and correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the bidder has not been blacklisted in any Govt Deptt / Board / PSU.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
