Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
Er. K. L. Chaudhary,Internal,"Sh. Vishal Upadhyay DAO, Sh. B.S. Rawat Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,11-Oct-2022 11:28 AM,finsummary_96814.pdf (302.53 KB),09-Feb-2023,"INR 48,895,992",540.0,Dalip Singh Tomar,09-Feb-2023 11:34 AM,aoc.pdf (484.00 KB),AOC,PWD,2022_PWD_64295_3,Corrigendum/7612-31 dated 30.08.2022,"Improvement of link road from NH-07 to Amargarh, Johoron, Kyarda, Jagatpur, IPH Colony Majra km. 0/0 to 5/055.",Er. K. L. Chaudhary,Internal,"Sh. Vishal Upadhyay DAO, Sh. B.S. Rawat Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,21-Sep-2022 06:06 PM,22-Sep-2022 10:45 AM,techsummary_96814.pdf (1014.98 KB),Technical,Bid Opening Summary,Kishan Lal Chaudhary,21-Sep-2022 05:56 PM,technical_96814.pdf,1.0,300820.0,Arya Construction company,13-Sep-2022 07:33 PM,Rejected-Finance,L6,11-Oct-2022 11:28 AM,1.0,300508.0,Shanti Flats Foundation PVT LTD,INR,"34,227,194.4",Finance,Fin Opening Summary,Kishan Lal Chaudhary,11-Oct-2022 11:08 AM,finance_96814.pdf,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of tender,PWD,Corrigendum/7612-31 dated 30.08.2022,2022_PWD_64295_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,01-Sep-2022 04:30 PM,14-Sep-2022 11:00 AM,01-Sep-2022 05:00 PM,14-Sep-2022 10:30 AM,NA ,NA ,01-Sep-2022 05:00 PM,14-Sep-2022 10:30 AM,22-Sep-2022 10:45 AM,"9,78,000",No,fixed,,Nil,Nil,Executive Engineer,Executive Engineer HPPWD Division Paonta Sahib District Sirmour (HP),"5,000",Nil,Nil,No,"Improvement of link road from NH-07 to Amargarh, Johoron, Kyarda, Jagatpur, IPH Colony Majra km. 0/0 to 5/055.","(SH- Providing and laying metalling and tarring, ROFD, retaining and breast wall with wire crates, vented causeway, U a V shape drain, sign board and kilometre stone in km. 0/0 to 5/055). (including five year routine maintenance) (Under NABARD RIDF-X",Please refer tender document ,NA ,"4,88,95,992",Civil Works - Roads,NA ,Tender,75.0,540.0,Paonta Sahib,173025.0,NA ,NA ,NA ,Paonta Sahib,No ,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,300973.0,H. C. Bansal Engg. & Contt.,14-Sep-2022 10:14 AM,Rejected-Finance,L4,11-Oct-2022 11:28 AM,,,,,,,,,,,,AOC,,,.pdf,Earnest money/Bid Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,300484.0,Lal Singh Chauhan Contractor,13-Sep-2022 11:20 AM,Rejected-Finance,L3,11-Oct-2022 11:28 AM,,,,,,,,,,,,AOC,,,.pdf,Contractor registration and Bid Validity.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,299394.0,Rashid Ali Civil Contractor,14-Sep-2022 08:43 AM,Rejected-Finance,L5,11-Oct-2022 11:28 AM,,,,,,,,,,,,AOC,,,.pdf,"Copy of GST Registration, PAN and EPF.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,300508.0,Shanti Flats Foundation PVT LTD,13-Sep-2022 03:21 PM,Accepted-AOC,Work awarded and FDR received.,09-Feb-2023 11:37 AM,,,,,,,,,,,,AOC,,,.pdf,Scanned copy of 33.33 percent work done certificate for similar nature and Existing Commitment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,300756.0,S.S. Associates,13-Sep-2022 09:05 PM,Rejected-Finance,L2,11-Oct-2022 11:28 AM,,,,,,,,,,,,AOC,,,.pdf,List of incomplete works in hand more than 100 Lakhs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Total Monitor of civil Construction work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Bidding Capacity/C.A. annual report and Financial Turnover.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Machinery, lab Equipment Detail and Technical Personal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Financial Reports, Credit and other financial Resources (10 percent of estimated cost)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
