Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
ErSudhirGupta,Internal,ShAmarSinghVermaHDMShManojKumarSupdtShVaibhavJindalDAO,Sudhir Kumar Gupta,17-Aug-2021 11:37 AM,finsummary_73267.pdf (867.84 KB),24-Feb-2023,"INR 2,219,948",60.0,Sudhir Kumar Gupta,24-Feb-2023 01:55 PM,AOC48891_5.pdf (882.00 KB),AOC,PWD,2021_PWD_48891_5,SD-I-CTR-Tender-21-22- 4385 dt 9-6-21,"Metaling Tarring on Chamyana to Surala road km. 0/00 to 6/00 (SH C/O R/wall at RD. 1/450 to 1/460 and Hume pipe culvert at RD. 4/705, 5/165 toe wall and P/F erecting of WBM crash barrier in km. 3/780 to 4/00(Under SCCP",ErSudhirGupta,Internal,ShAmarSinghVermaHDMShManojKumarSupdtShVaibhavJindalDAO,Sudhir Kumar Gupta,06-Jul-2021 01:13 PM,07-Jul-2021 11:00 AM,techsummary_73267.pdf (878.09 KB),Technical,Bid opening summary,Sudhir Kumar Gupta,05-Jul-2021 01:45 PM,technical_73267.pdf,1.0,220656.0,Depinder Pal Singh,02-Jul-2021 02:44 PM,Rejected-Technical,no,06-Jul-2021 01:13 PM,Finance,Bid opening summary,Sudhir Kumar Gupta,13-Jul-2021 06:06 PM,finance_73267.pdf,BOQ Comparative Chart,1.0,220476.0,SURINDER SINGH,INR,"2,011,488",AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form with UTR No (as per Schedule F),1.0,ICICI BANK,500.0,Nil,Nil,No,23-Jun-2021 06:00 PM,03-Jul-2021 11:00 AM,23-Jun-2021 06:00 PM,02-Jul-2021 04:00 PM,NA ,NA ,23-Jun-2021 06:00 PM,02-Jul-2021 04:00 PM,07-Jul-2021 11:00 AM,PWD,SD-I-CTR-Tender-21-22- 4385 dt 9-6-21,2021_PWD_48891_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"Metaling Tarring on Chamyana to Surala road km. 0/00 to 6/00 (SH C/O R/wall at RD. 1/450 to 1/460 and Hume pipe culvert at RD. 4/705, 5/165 toe wall and P/F erecting of WBM crash barrier in km. 3/780 to 4/00(Under SCCP","Metaling Tarring on Chamyana to Surala road km. 0/00 to 6/00 (SH C/O R/wall at RD. 1/450 to 1/460 and Hume pipe culvert at RD. 4/705, 5/165 toe wall and P/F erecting of WBM crash barrier in km. 3/780 to 4/00(Under SCCP",As per SBD ,NA ,,Civil Works,NA ,Tender,75.0,60.0,Shimla,171003.0,NA ,NA ,NA ,Executive Engineer Division No-IHPPWD Shimla-3,No ,No,"44,500",No,fixed,,Nil,Nil,Executive Engineer Division No-IHPPWD Shimla-3,Executive Engineer Division No-IHPPWD Shimla-3,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,220650.0,HARMANJOT SINGH,02-Jul-2021 01:26 PM,Rejected-Technical,no,06-Jul-2021 01:13 PM,,,,,,,,,,,,AOC,,,.pdf,EMD with UTR No (As per schedule F),2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,220639.0,MADAN VERMA,02-Jul-2021 01:05 PM,Rejected-Technical,no,06-Jul-2021 01:13 PM,,,,,,,,,,,,AOC,,,.pdf,Contractor registration (Refer General rule No.23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,220657.0,rajeev verma,02-Jul-2021 02:36 PM,Rejected-Technical,no,06-Jul-2021 01:13 PM,,,,,,,,,,,,AOC,,,.pdf,GST registration (Refer General rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,220896.0,SANDEEP KANT SHARMA,02-Jul-2021 02:55 PM,Rejected-Technical,no,06-Jul-2021 01:13 PM,,,,,,,,,,,,AOC,,,.pdf,Work done certificate (As per Performa given in General rule No.19 counter signed by EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,220165.0,SUNIL KUMAR,02-Jul-2021 03:56 PM,Rejected-Finance,2nd Lowest,17-Aug-2021 11:37 AM,,,,,,,,,,,,AOC,,,.pdf,Work in hand certificate (As per Performa given in General rule No.19 countersigned by EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,220476.0,SURINDER SINGH,02-Jul-2021 03:44 PM,Accepted-AOC,Awarded,24-Feb-2023 01:55 PM,,,,,,,,,,,,AOC,,,.pdf,Proof of registration under EPF and Miscellaneous provision Act. 1952 (latest copy of Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No. 7 8 (Refer General rule No 26.7). (submit the original as per schedule time and date),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.( submit the original as,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Any additional information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Mobile No and Full Address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
