Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
HIRING OF THIRD PARTY INSPECTION AGENCY,HIRING OF THIRD PARTY INSPECTION AGENCY,Please refer Tender documents. ,NA ,,Miscellaneous Services,NA ,Tender,180.0,365.0,"Golaghat, Assam",785621.0,AGCL Guwahati Office ,"Assam Gas Company Ltd, Central Mall, 6th Floor Christian Basti, Mahapurush Srimanta Sankardev Path (G. S. Road) Guwahati-781005 Assam  ",20-Aug-2022 10:30 AM ,Duliajan,No ,No,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,Commercial Cover,09-Aug-2022 04:00 PM,05-Sep-2022 03:00 PM,09-Aug-2022 04:30 PM,05-Sep-2022 02:30 PM,10-Aug-2022 09:00 AM ,25-Aug-2022 06:00 PM ,22-Aug-2022 09:00 AM,05-Sep-2022 02:30 PM,31-Oct-2022 03:40 PM,1.0,Corrigendum 1,Date,,Industries and Commerce Department||Assam Gas Company Ltd - ICD,AGCL/GMB/BCPL/TPIA/2022/02,2022_ICD_26594_1,Yes,Open Tender,Works,Services,2.0,No,No,Online,No,No,No,500.0,Nil,Nil,Yes,GM OGMB,"Assam Gas Company Limited Duliajan - 786602, Dibrugarh, Assam","50,000",Yes,fixed,,Nil,Nil,AOC,MANAGING DIRECTOR,Internal,Approved by PC members.,Utpal Borgohain,10-Feb-2023 08:50 AM,finsummary_41035.pdf (298.01 KB),Finance,Total 10 Nos Financial bids opened.,Utpal Borgohain,10-Feb-2023 08:33 AM,finance_41035.pdf,BOQ Comparative Chart,Technical,Total 12 nos. bidders received for the tender,Utpal Borgohain,31-Oct-2022 03:27 PM,technical_41035.pdf,10-Feb-2023,INR 1467448.0,365.0,Utpal Borgohain,10-Feb-2023 09:35 AM,AOC-BCPL_TPIA.pdf (298.00 KB),"The tender is awarded to M/s Gulf Lloyd Industrial Services India Pvt. Ltd. as L1 bidder at Rs. 14,67,448.00 only inclusive of GST.",1.0,157122.0,GULF LLOYDS INDUSTRIAL SERVICES INDIA PRIVATE LIMITED,INR,1467448.0,1,156696,BOSAI SAFETY PRIVATE LIMITED,05-Sep-2022 12:23 PM,Rejected-Technical,Technical Disqualified,31-Oct-2022 03:36 PM,Industries and Commerce Department||Assam Gas Company Ltd - ICD,2022_ICD_26594_1,AGCL/GMB/BCPL/TPIA/2022/02,HIRING OF THIRD PARTY INSPECTION AGENCY,MANAGING DIRECTOR,Internal,"G K Sarma, H C Mahanta, M K Baruah, N H Hazarika, J K Bora, J Gogoi, D Barman",Utpal Borgohain,31-Oct-2022 03:36 PM,31-Oct-2022 03:40 PM,techsummary_41035.pdf (100.27 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Cover,,,,,,,,,,2.0,Reply to Bidders Queries,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,157114,Bureau Veritas (India) Pvt. Ltd.,30-Aug-2022 05:41 PM,Rejected-AOC,Rejected as L10 Bidder.,10-Feb-2023 09:38 AM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,156568,DR AMIN CONTROLLERS PVT LTD,05-Sep-2022 02:00 PM,Rejected-AOC,Rejected as L3 Bidder.,10-Feb-2023 09:38 AM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,156988,Edlipse Engineering Global Pvt Ltd,30-Aug-2022 03:17 PM,Rejected-AOC,Rejected as L2 Bidder.,10-Feb-2023 09:38 AM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,157122,GULF LLOYDS INDUSTRIAL SERVICES INDIA PRIVATE LIMITED,31-Aug-2022 01:07 PM,Accepted-AOC,Awarded as L1 bidder,10-Feb-2023 09:38 AM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,156679,INTERNATIONAL CERTIFICATION SERVICES PVT LTD,31-Aug-2022 09:54 AM,Rejected-AOC,Rejected as L8 Bidder.,10-Feb-2023 09:38 AM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,156965,IRCLASS SYSTEMS AND SOLUTIONS PRIVATE LIMITED,30-Aug-2022 04:12 PM,Rejected-AOC,Rejected as L7 Bidder.,10-Feb-2023 09:38 AM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,157401,NK Narang,05-Sep-2022 02:09 PM,Rejected-AOC,Rejected as L6 Bidder.,10-Feb-2023 09:38 AM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,157038,RINA India Pvt Ltd,30-Aug-2022 11:55 PM,Rejected-AOC,Rejected as L4 Bidder.,10-Feb-2023 09:38 AM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,156666,"testing, Inspection, Certification,Safety Audits,",30-Aug-2022 04:49 PM,Rejected-Technical,Technically Disqualified,31-Oct-2022 03:36 PM,,,,,,,,,,,,AOC
