Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Vijay Kumar Chauhan,Internal,"Lekh Ram Shandil, Head D/Man, Jia Lal D/man",Vijay Kumar Chauhan,26-Aug-2021 03:12 PM,finsummary_74981.pdf (381.83 KB),24-Sep-2021,"INR 729,419",60.0,Rajesh Kumar,22-Feb-2023 04:35 PM,Award.pdf (572.00 KB),Award letter,PWD,2021_PWD_50103_7,PW.THD/CB-tender/2021-2764-78,Resstoration of rain damages on Kiaroo Guthandhar road km 0.00 to 10.500,Vijay Kumar Chauhan,Internal,"Deepak Sharma, Sr. DAO, L.R. Shandil, HDM, Satya pal, Supdt. Gr-II, Leela Verma, Sr. Asstt.",Vijay Kumar Chauhan,10-Aug-2021 09:56 AM,10-Aug-2021 11:00 AM,techsummary_74981.pdf (802.22 KB),Technical,Bid Opening Summary,Vijay Kumar Chauhan,30-Jul-2021 11:24 AM,technical_74981.pdf,1.0,225593.0,Aman Thakur,28-Jul-2021 02:35 PM,Rejected-Finance,Being Higher rate,26-Aug-2021 03:12 PM,Finance,Financial summary,Vijay Kumar Chauhan,11-Aug-2021 12:33 PM,finance_74981.pdf,BOQ Comparative Chart,1.0,225986.0,Narinder Singh,INR,"816,479",AOC,1.0,Fee/PreQual/Technical,.pdf,Copy of On line receipt/UTR No. for EMD and cost of form,"14,600",No,fixed,,Nil,Nil,1.0,ICICI BANK,350.0,Nil,Nil,No,Executive Engineer,"Theog Division, H.P.P.W.D., Theog Distt. Shimla, HP",20-Jul-2021 05:00 PM,29-Jul-2021 11:00 AM,20-Jul-2021 05:00 PM,28-Jul-2021 05:00 PM,NA ,NA ,20-Jul-2021 05:00 PM,28-Jul-2021 05:00 PM,10-Aug-2021 11:00 AM,Resstoration of rain damages on Kiaroo Guthandhar road km 0.00 to 10.500,"Constructioon Retaining wall at Rd 9.590 to 9.600,10.270 to 10.292 and 10.435 to 10.447",As per SBD ,NA ,"7,29,419",Civil Works - Roads,NA ,Tender,60.0,60.0,"Theog Tehsil Theog Distt. Shimla, HP",171201.0,NA ,NA ,NA ,Theog Division,No ,No,1.0,Corrigendum,Other,,PWD,PW.THD/CB-tender/2021-2764-78,2021_PWD_50103_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,225584.0,Amit Thakur,28-Jul-2021 02:42 PM,Rejected-Finance,Being higher rate,26-Aug-2021 03:12 PM,,,,,,,,,,,,AOC,,,.pdf,Contractor Registration,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,225494.0,Indu Verma,26-Jul-2021 04:50 PM,Rejected-Finance,Being higher rates,26-Aug-2021 03:12 PM,,,,,,,,,,,,AOC,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,225986.0,Narinder Singh,28-Jul-2021 01:58 PM,Accepted-AOC,Being L1,22-Feb-2023 04:36 PM,,,,,,,,,,,,AOC,,,.pdf,Proof of registration under EPF and Miscellaneous prov. Act.1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,225989.0,RAJAT VERMA,28-Jul-2021 01:49 PM,Rejected-Finance,Being higher rate,26-Aug-2021 03:12 PM,,,,,,,,,,,,AOC,,,.pdf,"List of Machinery, Tools and plants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,225630.0,Ramesh Chand Verma,28-Jul-2021 04:29 PM,Rejected-Technical,Non responsive,10-Aug-2021 09:56 AM,,,,,,,,,,,,AOC,,,.pdf,Form No-7/8 submit the original signed by the bidder and witnesses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,226089.0,Sandeep Verma,28-Jul-2021 04:31 PM,Rejected-Finance,Being higher rate,26-Aug-2021 03:12 PM,,,,,,,,,,,,AOC,,,.pdf,Contractor shall give affidavit regarding list of both Gazette and non-gazette HPPWD Employees relat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,All other obligatory documents required d as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
