Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Technical,TechnicalBidOpeningSummary,Rajesh Kumar,16-Jun-2022 06:00 PM,technical_92750.pdf,1.0,286249.0,Harpal Singh,12-Jun-2022 06:50 PM,Rejected-Finance,Not L-1,27-Jun-2022 12:02 PM,1.0,286382.0,Nitish Thakur,INR,"455,130",Finance,Proceedingregardingopeningoffinancialbids,Rajesh Kumar,27-Jun-2022 11:06 AM,finance_92750.pdf,BOQ Comparative Chart,"Er. Rajesh Kumar, E.E.",Internal,"Er. Kuldeep Singh AE to EE Harish Chander Sharma Head Draughtsman, Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II",Rajesh Kumar,27-Jun-2022 12:02 PM,finsummary_92750.pdf (413.87 KB),08-Jul-2022,"INR 526,223",30.0,Arvind Chaudhary,10-Feb-2023 04:50 PM,Awardletter.pdf (989.00 KB),Work awarded vide this office letter No. 5622-31 dt. 08.07.2022,PWD,2022_PWD_61466_1,Job 9 Construction of Link road Lawana Basti Ispur,Job 9 Construction of Link road Lawana Basti Ispur to Dera Baba Damiyan GP Ispur Tehsil Haroli Distt. Una km. 0-0 to 4-100 Sub Head C.O Hume pipe culvert 900 mm dia NP2 at RD. 1-300 and Retaining wall at RD. 1-315 to 1-335 Under OTMNP,"Er. Rajesh Kumar, E.E.",Internal,"Er. Kuldeep Singh AE to EE Harish Chander Sharma Head Draughtsman, Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II",Rajesh Kumar,18-Jun-2022 05:29 PM,20-Jun-2022 10:00 AM,techsummary_92750.pdf (647.67 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender through online,PWD,Job 9 Construction of Link road Lawana Basti Ispur,2022_PWD_61466_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,07-Jun-2022 10:00 AM,13-Jun-2022 11:00 AM,07-Jun-2022 10:30 AM,13-Jun-2022 09:00 AM,NA ,NA ,07-Jun-2022 10:30 AM,13-Jun-2022 09:00 AM,20-Jun-2022 10:00 AM,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una","10,300",No,fixed,,Nil,Nil,Job 9 Construction of Link road Lawana Basti Ispur to Dera Baba Damiyan GP Ispur Tehsil Haroli Distt. Una km. 0-0 to 4-100 Sub Head C.O Hume pipe culvert 900 mm dia NP2 at RD. 1-300 and Retaining wall at RD. 1-315 to 1-335 Under OTMNP,Job 9 Construction of Link road Lawana Basti Ispur to Dera Baba Damiyan GP Ispur Tehsil Haroli Distt. Una km. 0-0 to 4-100 Sub Head C.O Hume pipe culvert 900 mm dia NP2 at RD. 1-300 and Retaining wall at RD. 1-315 to 1-335 Under OTMNP,Please refer to Bidding Documents ,NA ,"5,11,223",Civil Works - Others,NA ,Tender,75.0,30.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,500.0,Nil,Nil,No,AOC
,,,,,2.0,286382.0,Nitish Thakur,11-Jun-2022 09:08 PM,Accepted-AOC,ok,10-Feb-2023 04:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Earnest Money through online,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractors Registration with validity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,G.S.T. No. and NOC from concerned department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,E.P.F. No. and NOC from concerned department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Work Done Certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equival",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Work in hand certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An Affidavit of Machinery Tool Plant as per bid documents along with documentary proof.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An Affidavit of Both Gazetted and non-Gazetted officer HPPWD employees related to him (General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
