Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,S.No.1,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No.3,Bank Name,Cover No,Cover,Document Type,Description
Technical,Technical bid opening summary,Manoj Sood,01-Feb-2023 02:54 PM,technical_101027.pdf,1.0,Corrigendum,Revocation of tender,28-Jan-2023 03:23 PM,18523.pdf ,146.55,Technical Opening,1.0,315848.0,DOLORARTZ PRIVATE LIMITED,12-Jan-2023 02:46 AM,Rejected-Technical,Non-Responsive,01-Feb-2023,1.0,315841.0,SUNIL DUTT SHARMA,INR,"1,776,728",Finance,Financial bid opening summary,Manoj Sood,04-Feb-2023 10:48 AM,,BOQ Comparative Chart,06-Feb-2023,"INR 1,590,581",90.0,Vineet Kumar Sharma,11-Jan-2024 04:21 PM,67014.pdf (470.00 KB),AOC,"Er. B.M. Thakur, EE",Internal,"T/A, Supdt, HDM, DAO, AE to EE , AE, Gopalpur",Manoj Sood,04-Feb-2023 10:52 AM,finsummary_101027.pdf (150.71 KB),"Er. B.M.Thakur,EE",Internal,"TA, Supdt, HDM, DAO, AE Gopalpur, AE to EE",Manoj Sood,01-Feb-2023 02:58 PM,02-Feb-2023 11:00 AM,techsummary_101027.pdf (163.83 KB),PWD,2023_PWD_67014_1,EE Plp NIT No. 16603-52 dt 12.12.22,Construction of Additioanal shed on side of Toodi store at Kudan Dehal Distt. Kangra HP (SH- C/o brick work and providing fixing prepainted sheet roofing).,500.0,Nil,Nil,No,05-Jan-2023 10:00 AM,12-Jan-2023 11:30 AM,05-Jan-2023 10:00 AM,12-Jan-2023 11:00 AM,NA ,NA ,05-Jan-2023 10:00 AM,12-Jan-2023 11:00 AM,02-Feb-2023 11:00 AM,Construction of Additioanal shed on side of Toodi store at Kudan Dehal Distt. Kangra HP (SH- C/o brick work and providing fixing prepainted sheet roofing).,Construction of Additioanal shed on side of Toodi store at Kudan Dehal Distt. Kangra HP (SH- C/o brick work and providing fixing prepainted sheet roofing).,Please refer Tender documents. ,NA ,"15,90,581",Civil Works - Buildings,NA ,Tender,75.0,90.0,Palampur,176061.0,NA ,NA ,NA ,HPPWD Division Palampur,No ,No,PWD,EE Plp NIT No. 16603-52 dt 12.12.22,2023_PWD_67014_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"31,900",No,fixed,,Nil,Nil,"Er. B.M. Thakur, EE",Palampur Division HPPWD Palampur,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form
,,,,,,,,,,,,2.0,315853.0,M/S ER RAJ SHARMA GOVT CONTRACTOR,11-Jan-2023 08:20 PM,Rejected-Finance,Fidder is found L-2,04-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Contractor Registration
,,,,,,,,,,,,3.0,315841.0,SUNIL DUTT SHARMA,11-Jan-2023 05:44 PM,Accepted-AOC,AOC,11-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with the bid are true
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and Equipment as per SBD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the Contractor
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ
